"","name","taal","m"
"00220","সেই তো আমি চাই--","তেওরা","তেওড়া"
"00236","আমার যে আসে কাছে, যে যায় চলে দূরে","তেওরা","দাদরা"
"00242","এই করেছ ভালো, নিঠুর হে, নিঠুর হে, এই করেছ ভালো।","একতাল","দাদরা"
"00252","তোমার কাছে শান্তি চাব না","তেওরা","তেওড়া"
"00255","তোমার পতাকা যারে দাও তারে বহিবারে দাও শকতি।","ত্রিতাল","কাহারবা"
"00256","তোমার সোনার থালায় সাজাব আজ দুখের অশ্রুধার।","ত্রিতাল","তিনতালা"
"00261","নয় এ মধুর খেলা--","ত্রিতাল","দাদরা"
"00270","যখন তুমি বাঁধছিলে তার সে যে বিষম ব্যথা--","তেওরা","তেওড়া"
"00291","নিদ্রাহারা রাতের এ গান বাঁধব আমি কেমন সুরে।","ষষ্ঠী","দাদরা"
"00293","যায় নিয়ে যায় আমায় আপন গানের টানে","২+ ২ ছন্দ","তালমুক্ত"
"00294","দিয়ে গেনু বসন্তের এই গান্খানি--","কাহারবা","কাওয়ালি(৪/৪)"
"00310","আমার পরান লয়ে কী খেলা খেলাবে ওগো","মধ্যমান","দাদরা"
"00318","হে নিরুপমা","তালফেরতা (কাহারবা-ষষ্ঠী-তেওরা-দাদরা)","কাহারবা"
"00321","ফিরে যাও কেন ফিরে ফিরে যাও বহিয়া বিফল বাসনা॥","ঝাঁপতাল","অর্দ্ধঝাঁপ"
"00365","বেদনায় ভরে গিয়েছে পেয়ালা, নিয়ো হে নিয়ো।","তেওরা","তেওড়া"
"00381","শাঙনগগনে ঘোর ঘনঘটা, নিশীথযামিনী রে।","ত্রিতাল","তিনতালা"
"00382","গহন ঘন ছাইল গগন ঘনাইয়া।","ত্রিতাল","তিনতালা"
"00383","বিশ্ববীণারবে বিশ্বজন মোহিছে।","ঝাঁপতাল-কাহারবা","তালমুক্ত"
"00386","ওই আসে ওই অতি ভৈরব হরষে","ত্রিতাল-দাদরা","তিনতালা"
"00388","মেঘের পরে মেঘ জমেছে, আঁধার করে আসে।","ত্রিতাল বা একতাল","দাদরা"
"00390","আজ বারি ঝরে ঝরঝর ভরা বাদরে","তেওরা","তেওড়া"
"00397","উতল-ধারা বাদল ঝরে। সকল বেলা একা ঘরে॥","কাহারবা বা রূপকড়া","দাদরা"
"00446","ধরণীর গগনের মিলনের ছন্দে","২ + ২ ছন্দ","তালমুক্ত"
"00456","এসো নীপবনে ছায়াবীথিতলে, এসো করো স্নান নবধারাজলে॥","২ + ২ ছন্দ","তালমুক্ত"
"00459","অশ্রুভরা বেদনা দিকে দিকে জাগে।","ত্রিতাল","তিনতালা"
"00460","বন্ধু, রহো রহো সাথে","মধ্যমান","তালমুক্ত"
"00472","আহ্বান আসিল মহোৎসবে","খেমটা/ষষ্ঠী","দাদরা"
"00477","চক্ষে আমার তৃষ্ণা ওগো, তৃষ্ণা আমার বক্ষ জুড়ে","ঝাঁপতাল","দাদরা"
"00479","এসো শ্যামল সুন্দর,","ত্রিতাল","তিনতালা"
"00481","আবার শ্রাবণ হয়ে এলে ফিরে","ত্রিতাল","তিনতালা"
"00483","হৃদয়ে মন্দ্রিল ডমরু গুরু গুরু","তেওরা","রুপক(৩/৪)"
"00484","মধু-গন্ধে ভরা মৃদু-স্নিগ্ধছায়া নীপ-কুঞ্জতলে","দাদরা-কাহারবা","তালমুক্ত"
"00493","হৃদয় আমার নাচে রে আজিকে ময়ূরের মতো নাচে রে।","২ + ২ ছন্দ","তালমুক্ত"
"00503","মোর ভাবনারে কী হাওয়ায় মাতালো","ত্রিতাল","তিনতালা"
"00504","আমার প্রিয়ার ছায়া","দাদরা","কাশ্মীরি"
"00507","আজি তোমায় আবার চাই শুনাবারে","২ + ২ ছন্দ","তালমুক্ত"
"00508","এসো গো, জ্বেলে দিয়ে যাও প্রদীপখানি","২ + ২ ছন্দ","তালমুক্ত"
"00509","আজি ঝরো ঝরো মুখর বাদরদিনে","২ + ২ ছন্দ (বা ষষ্ঠী)","একাদশী(২/৪/২/৪)"
"00513","এসেছিলে তবু আস নাই জানায়ে গেলে","২ + ২ ছন্দ","তালমুক্ত"
"00516","আমার যে দিন ভেসে গেছে চোখের জলে","কাহারবা","দাদরা"
"00531","শরত-আলোর কমলবনে","রূপকড়া","রুপকড়া"
"00532","তোমার মোহন রূপে কে রয় ভুলে।","দাদরা","কাহারবা"
"00541","এসো শরতের অমল মহিমা, এসো হে ধীরে।","কাহারবা","যৎ"
"00544","মরি লো) কার বাঁশি নিশিভোরে বাজিল মোর প্রাণে।","ত্রিতাল","তিনতালা"
"00549","পোহালো পোহালো বিভাবরী","কাহারবা","তিনতালা"
"00550","নব কুন্দধবলদলসুশীতলা","ত্রিতাল","তিনতালা"
"00568","নব বসন্তের দানের ডালি","ষষ্ঠী","দাদরা"
"00570","আজি বসন্ত জাগ্রত দ্বারে।","ত্রিতাল","তিনতালা"
"00575","অনন্তের বাণী তুমি, বসন্তের মাধুরী-উৎসবে","তেওরা","তেওড়া"
"00579","ওগো বধূ সুন্দরী, তুমি মধুমঞ্জরী","দাদরা","কাহারবা"
"00587","ওরে ভাই, ফাগুন লেগেছে বনে বনে--","ত্রিতাল","তিনতালা"
"00592","দিনশেষে বসন্ত যা প্রাণে গেল ব'লে","কাহারবা","কাওয়ালি(৪/৪)"
