"","name","taal","m"
"01196","দিন যায় রে দিন যায় বিষাদে-","মধ্যমান","আড়াঠেকা"
"01199","কেমনে ফিরিয়া যাও না দেখি তাঁহারে!","চৌতাল","দাদরা"
"01202","ইচ্ছা যবে হবে লইয়ো পারে","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"01206","সত্য মঙ্গল প্রেমময় তুমি, ধ্রুবজ্যোতি তুমি অন্ধকারে।","তেওরা","তেওড়া"
"01210","শক্তিরূপ হেরো তাঁর","চৌতাল","দাদরা"
"01211","শ্রান্ত কেন ওহে পান্থ, পথপ্রান্তে বসে এ কী খেলা!","ত্রিতাল","তিনতালা"
"01216","পেয়েছি সন্ধান তব অন্তর্যামী, অন্তরে দেখেছি তোমারে॥","চৌতাল","দাদরা"
"01218","জননী, তোমার করুণ চরণখানি","নবপঞ্চতাল","নবপঞ্চ(২/৪/৪/৪/৪)"
"01219","তিমিরদুয়ার খোলো-- এসো, এসো নীরবচরণে।","ত্রিতাল","দাদরা"
"01220","তুমি জাগিছ কে?","চৌতাল","দাদরা"
"01223","বাণী তব ধায় অনন্ত গগনে লোকে লোকে","চৌতাল","দাদরা"
"01224","প্রথম আদি তব শক্তি-","সুরফাঁকতাল","সুরফাঁক(৪/২/৪)"
"01226","হে মহাপ্রবল বলী","চৌতাল","দাদরা"
"01227","জগতে তুমি রাজা, অসীম প্রতাপ-","চৌতাল","দাদরা"
"01229","তাঁহারে আরতি করে চন্দ্র তপন, দেব মানব বন্দে চরণ-","চৌতাল","দাদরা"
"01231","ওই রে তরী দিল খুলে।","রূপকড়া","দাদরা"
"01232","আমি কী ব'লে করিব নিবেদন","অর্ধঝাঁপ","দাদরা"
"01235","সবাই যারে সব দিতেছে তার কাছে সব দিয়ে ফেলি।","তেওরা","তেওড়া"
"01236","আমার যে সব দিতে হবে সে তো আমি জানি-","একতাল","দাদরা"
"01239","আনন্দ রয়েছে জাগি ভুবনে তোমার","চৌতাল","দাদরা"
"01240","সকল ভয়ের ভয় যে তারে কোন্‌ বিপদে কাড়বে?","তেওরা","তেওড়া"
"01243","এ মণিহার আমায় নাহি সাজে-","একতাল","দাদরা"
"01245","ওই আসনতলের মাটির ' পরে লুটিয়ে রব","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"01246","আমার মাথা নত করে দাও হে তোমার চরণধুলার তলে।","তেওরা","তেওড়া"
"01247","গরব মম হরেছ, প্রভু, দিয়েছ বহু লাজ।","তেওরা","ধামার(৩/২/২/৩/৪)"
"01250","যে-কেহ মোরে দিয়েছ সুখ দিয়েছ তাঁরি পরিচয়","তেওরা","তেওড়া"
"01253","আঁখিজল মুছাইলে জননী-","ত্রিতাল","তিনতালা"
"01261","আজি মম জীবনে নামিছে ধীরে","ত্রিতাল","তিনতালা"
"01274","আমারে দিই তোমার হাতে","তেওরা","দাদরা"
"01276","আমি আছি তোমার সভার দুয়ার-দেশে","তেওরা","দাদরা"
"01280","আমি যখন ছিলেম অন্ধ","তেওরা","তেওড়া"
"01286","এই তো তোমার আলোকধেনু সূর্য তারা দলে দলে-","ঝম্পক","দাদরা"
"01288","এই-যে তোমার প্রেম, ওগো হৃদয়হরণ","কাহারবা বা দাদরা","কাওয়ালি(৪/৪)"
"01290","একি এ সুন্দর শোভা! কী মুখ হেরি এ","ত্রিতাল","তিনতালা"
"01300","কে গো অন্তরতর সে","একতাল","দাদরা"
"01302","কেমনে রাখিবি তোরা তাঁরে লুকায়ে","একতাল","ঝাঁপ"
"01304","কোন্‌ আলোতে প্রাণের প্রদীপ জ্বালিয়ে তুমি ধরায় আস-","কাহারবা","দাদরা"
"01307","চিরদিবস নব মাধুরী, নব শোভা তব বিশ্বে-","চৌতাল","দাদরা"
"01308","ছিন্ন পাতার সাজাই তরণী, একা একা করি খেলা-","কাহারবা","কাওয়ালি(৪/৪)"
"01310","জয় ভৈরব, জয় শঙ্কর","দাদরা","অখন্ড ৬ মাত্রা"
"01311","জরজর প্রাণে, নাথ, বরিষন করো তব প্রেমসুধা-","ত্রিতাল","দাদরা"
"01319","তোমার অসীমে প্রাণমন লয়ে যত দূরে আমি ধাই-","ত্রিতাল","তিনতালা"
"01322","তোমারি নামে নয়ন মেলিনু পুণ্যপ্রভাতে আজি","তেওরা","তেওড়া"
"01323","তোমারি মধুর রূপে ভরেছ ভুবন-","চৌতাল","দাদরা"
"01325","দিন ফুরালো হে সংসারী","মুক্তছন্দ","তালমুক্ত"
"01328","দুঃখ যে তোর নয় রে চিরন্তন-","ত্রিতাল","দাদরা"
"01330","নমি নমি চরণে","কাহারবা","দাদরা"
"01340","পেয়েছি ছুটি, বিদায় দেহো ভাই-","ঝম্পক  বা ঝাঁপতাল","দাদরা"
"01347","মরণসাগরপারে তোমরা অমর","কাহারবা","কাওয়ালি(৪/৪)"
"01349","মহারাজ, একি সাজে এলে হৃদয়পুরমাঝে","ঝাঁপতাল","ঝাঁপ(২/৩/২/৩)"
"01350","মেঘ বলেছে 'যাব যাব', রাত বলেছে 'যাই'","তেওরা","যৎ(৩/৪/৩/৪)"
"01353","যদি প্রেম দিলে না প্রাণে","একতাল","দাদরা"
"01358","রহি রহি আনন্দতরঙ্গ জাগে॥","ত্রিতাল","তিনতালা"
"01361","লহো লহো তুলে লহো নীরব বীণাখানি।","তেওরা","তেওড়া"
"01367","হাওয়া লাগে গানের পালে-","তেওরা","দাদরা"
"01368","হার মানালে গো, ভাঙিলে অভিমান হায় হায়।","কাহারবা","কাওয়ালি(৪/৪)"
"01371","হে নিখিলভারধারণ বিশ্ববিধাতা","ঝাঁপতাল","দাদরা"
"01373","নৃত্যের তালে তালে, নটরাজ, ঘুচাও ঘুচাও ঘুচাও সকল বন্ধ হে।","তালফেরতা  দাদরা- ষষ্ঠী- কাহারবা- ঝাঁপতাল","তালমুক্ত"
"01377","মম চিত্তে নিতি নৃত্যে কে যে নাচে","খেমটা/ষষ্ঠী","কাশ্মীরি"
"01396","পাগল যে তুই, কণ্ঠ ভরে","কাহারবা","দাদরা"
"01399","আমার জীর্ণ পাতা যাবার বেলায় বারে বারে","তেওরা","তেওড়া"
"01400","এ শুধু অলস মায়া, এ শুধু মেঘের খেলা","ত্রিতাল","তিনতালা"
"01404","আমি ফিরব না রে, ফিরব না আর, ফিরব না রে-","দাদরা","কাশ্মীরি"
"01416","আমি যে সব নিতে চাই, সব নিতে ধাই রে।","কাহারবা","দাদরা"
"01420","আনন্দেরই সাগর হতে এসেছে আজ বান।","তেওরা","তেওড়া"
"01421","খরবায়ু বয় বেগে, চারি দিক ছায় মেঘে","কাহারবা","কাওয়ালি(৪/৪)"
"01430","এমনি করেই যায় যদি দিন যাক-না।","তেওরা","তেওড়া"
"01435","আমাকে যে বাঁধবে ধরে, এই হবে যার সাধন","দাদরা","কাশ্মীরি"
"01438","তরী আমার হঠাৎ ডুবে যায়","দাদরা","কাহারবা"
"01443","দূর রজনীর স্বপন লাগে আজ নূতনের হাসিতে","কাহারবা","কাওয়ালি(৪/৪)"
"01446","কৃষ্ণকলি আমি তারেই বলি, কালো তারে বলে গাঁয়ের লোক।","অর্ধঝাঁপ (বা মুক্তছন্দ)","দাদরা"
"01449","ওরে প্রজাপতি, মায়া দিয়ে কে যে পরশ করল তোরে","কাহারবা","কাওয়ালি(৪/৪)"
"01451","ওগো নদী, আপন বেগে পাগল-পারা","একতাল","দাদরা"
"01465","পাখি বলে, 'চাঁপা, আমারে কও","ঝম্পক","সুরফাঁক(৩/২/৩/২)"
"01468","মাটির প্রদীপখানি আছে মাটির ঘরের কোলে","ত্রিতাল","দাদরা"
"01500","যাহা পাও তাই লও, হাসিমুখে ফিরে যাও","তেওরা","তেওড়া"
"01501","যে কাঁদনে হিয়া কাঁদিছে সে কাঁদনে সেও কাঁদিল।","একতাল","নবতাল(৬/৩)"
"01505","সন্ন্যাসী যে জাগিল ওই, জাগিল ওই, জাগিল।","তেওরা","তেওড়া"
"01512","পথ দিয়ে কে যায় গো চলে","তেওরা","তেওড়া"
"01531","বিশ্বরাজালয়ে বিশ্ববীণা বাজিছে।","ঝাঁপতাল-কাহারবা","তালমুক্ত"
"01538","দিবানিশি করিয়া যতন","ত্রিতাল","তিনতালা"
"01540","কী করিলি মোহের ছলনে।","ত্রিতাল","তিনতালা"
"01542","আজি শুভদিনে পিতার ভবনে অমৃতসদনে চলো যাই","একতাল-ত্রিতাল","তালমুক্ত"
"01545","তুমি কি গো পিতা আমাদের।","ত্রিতাল","তিনতালা"
"01548","কী দিব তোমায়। নয়নেতে অশ্রুধার","ত্রিতাল","তিনতালা"
"01554","চলিয়াছি গৃহপানে, খেলাধুলা অবসান।","ত্রিতাল","তিনতালা"
"01556","ভবকোলাহল ছাড়িয়ে","ত্রিতাল","তিনতালা"
"01558","তবে কি ফিরিব ম্লানমুখে সখা","ত্রিতাল","তিনতালা"
"01561","দাও হে হৃদয় ভরে দাও।","ত্রিতাল","তিনতালা"
"01564","চলেছে তরণী প্রসাদপবনে, কে যাবে এসো হে শান্তিভবনে।","তেওরা","তেওড়া"
"01572","ঘোরা রজনী, এ মোহঘনঘটা-","ত্রিতাল","তিনতালা"
"01574","মিটিল সব ক্ষুধা, তাঁহার প্রেমসুধা, চলো রে ঘরে লয়ে যাই।","ত্রিতাল","কাওয়ালি(৪/৪)"
"01575","তারো তারো, হরি, দীনজনে।","ত্রিতাল","তিনতালা"
"01576","তব প্রেম সুধারসে মেতেছি","ত্রিতাল","তিনতালা"
"01578","ফিরো না ফিরো না আজি-- এসেছ দুয়ারে।","ত্রিতাল","তিনতালা"
"01579","সবে মিলি গাও রে, মিলি মঙ্গলাচরো।","চৌতাল","দাদরা"
"01584","আজ বুঝি আইল প্রিয়তম, চরণে সকলে আকুল ধাইল॥","ত্রিতাল","তিনতালা"
"01585","হে মন, তাঁরে দেখো আঁখি খুলিয়ে","রূপক","রুপক"
"01589","মহাবিশ্বে মহাকাশে মহাকালমাঝে","ত্রিতাল","তিনতালা"
"01592","আমারে করো জীবনদান","চৌতাল","দাদরা"
"01594","মহানন্দে হেরো গো সবে গীতরবে চলে শ্রান্তিহারা","তেওরা","তেওড়া"
"01610","খেলার সাথি, বিদায়দ্বার খোলো-","ঠুংরি (বা মুক্তছন্দ)","তালমুক্ত"
"01611","যাওয়া-আসারই এই কি খেলা","মুক্তছন্দ","তালমুক্ত"
"01612","বুঝি ঐ সুদূরে ডাকিল মোরে","মুক্তছন্দ","তালমুক্ত"
"01616","শুভ্র প্রভাতে","মুক্তছন্দ","তালমুক্ত"
"01641","হা সখী ও আদরে আরো বাড়ে মনোব্যথা।","ত্রিতাল","তিনতালা"
"01644","চরাচর সকলই মিছে মায়া ছলনা।","ত্রিতাল","তিনতালা"
"01657","সহে না যাতনা।","ত্রিতাল","তিনতালা"
"01661","ফিরায়ো না মুখখানি","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"01662","হিয়া কাঁপিছে সুখে কি দুখে সখী","ধামার","তালমুক্ত"
"01663","দাঁড়াও মাথা খাও যেয়ো না সখা।","ত্রিতাল","তিনতালা"
"01665","আবার মোরে পাগল করে দিবে কে।","ঝম্পক","দাদরা"
"01670","আজি মোর দ্বারে কাহার মুখ হেরেছি॥","পঞ্চমসওয়ারি","তিনতালা"
"01673","বিধি ডাগর আঁখি যদি দিয়েছিল","ত্রিতাল","তিনতালা"
"01686","অবেলায় যদি এসেছ আমার বনে দিনের বিদায়ক্ষণে","তেওরা","তেওড়া"
"01695","কী ধ্বনি বাজে","মুক্তছন্দ","তালমুক্ত"
"01709","রিমিকি ঝিমিকি ঝরে ভাদরের ধারা","২ + ২ ছন্দ","তালমুক্ত"
"01712","নির্জন রাতে নিঃশব্দ চরণপাতে কেন এলে।","চার মাত্রার তাল","অখন্ড ৪ মাত্রা"
"01715","যারা বিহান বেলায় গান এনেছিল আমার মনে","মুক্তছন্দ","তালমুক্ত"
"01720","বিশ্ববিদ্যাতীর্থপ্রাঙ্গণ কর' মহোজ্জ্বল আজ হে।","তেওরা","তেওড়া"
"01736","হৃদয়ে রাখো গো দেবী, চরণ তোমার।","কাহারবা/দাদরা","তিনতালা"
"01738","ক্ষমা করো মোরে সখী, শুধায়ো না আর-","অর্ধঝাঁপ","অর্দ্ধঝাঁপ"
"01752","বুঝেছি বুঝেছি সখা, ভেঙ্গেছে প্রণয়!","দাদরা","আড়াঠেকা"
"01769","হা, কে বলে দেবে সে ভালোবাসে কি মোরে।","ত্রিতাল","তিনতালা"
"01771","প্রমোদে ঢালিয়া দিনু মন, তবু প্রাণ কেন কাঁদে রে।","ত্রিতাল","তিনতালা"
"01775","কোথা ছিলি সজনী লো","ত্রিতাল","তিনতালা"
"01777","মধুর মিলন।","কাহারবা-দাদরা","দাদরা"
"01779","মা আমার, কেন তোরে ম্লান নেহারি-","ত্রিতাল","তিনতালা"
"01786","খাঁচার পাখি ছিল সোনার খাঁচাটিতে, বনের পাখি ছিল বনে।","তেওরা","যৎ(৩/৪/৩/৪)"
"01797","অভয় দাও তো বলি আমার","মুক্তছন্দ","তালমুক্ত"
"01798","কত কাল রবে বল' ভারত রে","ত্রিতাল","তিনতালা"
"01799","কী জানি কী ভেবেছ মনে","মুক্তছন্দ","তালমুক্ত"
"01800","পাছে চেয়ে বসে আমার মন","মুক্তছন্দ","তালমুক্ত"
"01801","বড়ো থাকি কাছাকাছি","মুক্তছন্দ","তালমুক্ত"
"01806","স্বর্গে তোমায় নিয়ে যাবে উড়িয়ে-","মুক্তছন্দ","তালমুক্ত"
"01822","মলিন মুখে ফুটুক হাসি, জুড়াক দু নয়ন।","তেওরা","তেওড়া"
"01836","বাজে রে বাজে ডমরু বাজে হৃদয়মাঝে, হৃদয়মাঝে।","তেওরা","দাদরা"
"01867","গহন কুসুমকুঞ্জ-মাঝে মৃদুল মধুর বংশি বাজে","একতাল","দাদরা"
"01868","বজাও রে মোহন বাঁশি!","মুক্তছন্দ","তালমুক্ত"
"01870","সতিমির রজনী, সচকিত সজনী শূন্য নিকুঞ্জ-অরণ্য।","ত্রিতাল","তিনতালা"
"01880","হৃদয়ক সাধ মিশাওল হৃদয়ে, কণ্ঠে শুখাওল মালা।","একতাল","তিনতালা"
"01892","কে এসে যায় ফিরে ফিরে আকুল নয়ননীরে।","তেওরা","তেওড়া"
"01921","চক্ষে আমার তৃষ্ণা ওগো","ঝাঁপতাল","দাদরা"
"01925","নব বসন্তের দানের ডালি এনেছি তোদেরই দ্বারে","ষষ্ঠী","দাদরা"
"01929","ওগো তোমরা যত পাড়ার মেয়ে","খেমটা","দাদরা"
"01935","শুধু একটি গণ্ডূষ জল","তেওরা","তেওড়া"
"01937","ওগো ডেকো না মোরে ডেকো না।","তেওরা","তেওড়া"
"01938","স্বর্ণবর্ণে সমুজ্জ্বল নব চম্পাদলে","তেওরা","তেওড়া"
"01940","কিসের ডাক তোর কিসের ডাক।","তেওরা","তেওড়া"
"01944","সে যে পথিক আমার","ঝাঁপতাল","অর্দ্ধঝাঁপ"
"01983","আমি তোমারে করিব নিবেদন","ঝাঁপতাল","দাদরা"
"01986","তোমার বৈশাখে ছিল প্রখর রৌদ্রের জ্বালা","রূপক","রুপক(৩/৪)"
"01987","আমার এই রিক্ত ডালি","খেমটা","দাদরা"
"01996","পাণ্ডব আমি অর্জুন গাণ্ডীবধন্বা নৃপতিকন্যা!","খেমটা","দাদরা"
"02003","কেন রে ক্লান্তি আসে আবেশভার বহিয়া","খেমটা","ষষ্ঠী(২/৪)"
"02012","লহো লহো ফিরে লহো","খেমটা","দাদরা"
"02014","বিনা সাজে সাজি দেখা দিবে তুমি কবে-","ষষ্ঠী (দাদরা)","দাদরা"
"02024","ভালো ভালো, তুমি দেখব পালাও কোথা।","খেমটা","দাদরা"
"02026","ফিরে যাও, কেন ফিরে ফিরে যাও","ঝাঁপতাল","অর্দ্ধঝাঁপ"
"02051","প্রেমের জোয়ারে ভাসাবে দোঁহারে-","দাদরা","একতালা"
"02053","পুরী হতে পালিয়েছে যে পুরসুন্দরী","দাদরা","একতালা"
"02071","পথহারা তুমি পথিক যেন গো সুখের কাননে","কাহারবা","দাদরা"
"02074","আমার পরান যাহা চায়","ত্রিতাল","দাদরা"
"02076","দে লো, সখী, দে পরাইয়ে গলে","কাহারবা","দাদরা"
"02079","প্রেমের ফাঁদ পাতা ভুবনে-","তেওরা","দাদরা"
"02080","যেয়ো না, যেয়ো না ফিরে-","ঝাঁপতাল","দাদরা"
"02081","কে ডাকে! আমি কভু ফিরে নাহি চাই।","ত্রিতাল","দাদরা"
"02082","এসেছি গো এসেছি, মন দিতে এসেছি-","ত্রিতাল","দাদরা"
"02084","আমি মিছে ঘুরি এ জগতে কিসের পাকে","কাহারবা","দাদরা"
"02085","তারে দেখাতে পারি নে কেন প্রাণ খুলে গো।","ঝাঁপতাল","দাদরা"
"02086","সখা, আপন মন নিয়ে কাঁদিয়ে মরি","তেওরা","দাদরা"
"02087","আমি জেনে শুনে বিষ করেছি পান।","তেওরা","দাদরা"
"02088","ভালোবেসে যদি সুখ নাহি","কাহারবা","দাদরা"
"02089","দেখো চেয়ে দেখো ওই কে আসিছে।","ঝাঁপতাল","দাদরা"
"02091","ভালোবেসে দুখ সেও সুখ, সুখ নাহি আপনাতে।","একতাল","দাদরা"
"02092","ওই কে গো হেসে চায়, চায় প্রাণের পানে।","কাহারবা","দাদরা"
"02093","দূরে দাঁড়ায়ে আছে","কাহারবা","দাদরা"
"02096","ওকে বোঝা গেল না-- চলে আয়, চলে আয়।","কাহারবা","দাদরা"
"02097","দিবসরজনী আমি যেন কার","ত্রিতাল","দাদরা"
"02098","সখী, সাধ করে যাহা দিবে তাই লইব।","ত্রিতাল","দাদরা"
"02099","আমি হৃদয়ের কথা বলিতে ব্যাকুল","একতাল","দাদরা"
"02100","নিমেষের তরে শরমে বাধিল, মরমের কথা হল না।","কাহারবা","দাদরা"
"02102","এ তো খেলা নয়, খেলা নয়।","কাহারবা","দাদরা"
"02105","তারে কেমনে ধরিবে, সখী, যদি ধরা দিলে।","কাহারবা","দাদরা"
"02106","সকল হৃদয় দিয়ে ভালোবেসেছি যারে","কাহারবা","দাদরা"
"02108","তবে সুখে থাকো সুখে থাকো-- আমি যাই-- যাই।","কাহারবা","দাদরা"
"02109","সেই শান্তিভবন ভুবন কোথা গেল-","ত্রিতাল","দাদরা"
"02111","দেখো, সখা, ভুল করে ভালোবেসো না।","কাহারবা","দাদরা"
"02112","ভুল করেছিনু, ভুল ভেঙেছে।","কাহারবা","দাদরা"
"02114","ওই কে আমায় ফিরে ডাকে।","কাহারবা","দাদরা"
"02115","বিদায় করেছ যারে নয়নজলে","ঝাঁপতাল","দাদরা"
"02118","প্রভাত হইল নিশি কানন ঘুরে","কাহারবা","দাদরা"
"02120","মধুর বসন্ত এসেছে মধুর মিলন ঘটাতে।","কাহারবা","দাদরা"
"02121","আজি আঁখি জুড়ালো হেরিয়ে","ত্রিতাল","দাদরা"
"02122","এ কি স্বপ্ন! এ কি মায়া!","ত্রিতাল","দাদরা"
"02123","আহা, আজি এ বসন্তে এত ফুল ফুটে","ত্রিতাল","দাদরা"
"02124","আমি তো বুঝেছি সব, যে বোঝে না- বোঝে","ঝাঁপতাল","ঝাঁপ(২/৩/২/৩)"
"02125","এতদিন বুঝি নাই, বুঝেছি ধীরে-","ঝাঁপতাল","দাদরা"
"02126","চাঁদ হাসো, হাসো-","খেমটা","দাদরা"
"02128","এ ভাঙা সুখের মাঝে নয়নজলে","ঝাঁপতাল","দাদরা"
"02129","যদি কেহ নাহি চায় আমি লইব","কাহারবা","দাদরা"
"02130","দুখের মিলন টুটিবার নয়-","ঝাঁপতাল","দাদরা"
"02131","কেন এলি রে, ভালোবাসিলি, ভালোবাসা পেলি নে।","ঝাঁপতাল","দাদরা"
"02134","ও ভাই, দেখে যা, কত ফুল তুলেছি।","ত্রিতাল","তিনতালা"
"02137","সমুখেতে বহিছে তটিনী","ত্রিতাল","তিনতালা"
"02138","ফুলে ফুলে ঢ'লে ঢ'লে বহে কিবা মৃদু বায়","দাদরা","খেমটা"
"02139","নেহারো, লো সহচরী","ত্রিতাল","তিনতালা"
"02141","না, না, কাজ নাই, যেয়ো না বাছা-","ত্রিতাল","তিনতালা"
"02142","আমা-তরে অকারণে, ওগো পিতা, ভেবো না।","ত্রিতাল","তিনতালা"
"02143","সঘন ঘন ছাইল গগন ঘনাইয়া","ত্রিতাল","তিনতালা"
"02144","ঝম্‌ ঝম্‌ ঘন ঘন রে বরষে","ত্রিতাল","তিনতালা"
"02145","আয় লো সজনী, সবে মিলে--","ত্রিতাল","তিনতালা"
"02146","কী ঘোর নিশীথ, নীরব ধরা","ত্রিতাল","তিনতালা"
"02147","মানা না মানিলি, তবুও চলিলি-","ত্রিতাল","তিনতালা"
"02152","প্রাণ নিয়ে তো সটকেছি রে","দাদরা","খেমটা"
"02154","আঃ বেঁচেছি এখন।","কাহারবা-দাদরা","তালমুক্ত"
"02156","কে এল আজি এ ঘোর নিশীথে","তেওরা","তালমুক্ত"
"02157","না জানি কোথা এলুম, এ যে ঘোর বন।","ত্রিতাল","তিনতালা"
"02161","বলো বলো, পিতা, কোথা সে গিয়েছে।","ত্রিতাল","তিনতালা"
"02162","কে জানে কোথা সে","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"02163","এতক্ষণে বুঝি এলি রে","চৌতাল","দাদরা"
"02164","অজ্ঞানে করো হে ক্ষমা তাত, ধরি চরণে।","ত্রিতাল","তিনতালা"
"02165","কী বলিলে, কী শুনিলাম, এ কি কভু হয়!","ত্রিতাল","তিনতালা"
"02166","ক্ষমা করো মোরে, তাত-- আমি যে পাতকী ঘোর","ত্রিতাল","ঝাঁপ"
"02174","আজকে তবে মিলে সবে করব লুটের ভাগ-","খেমটা- তেওরা","দাদরা"
"02176","এখন করব কী বল্‌","খেমটা","দাদরা"
"02181","এ কী এ ঘোর বন! এনু কোথায়!","ত্রিতাল","তিনতালা"
"02182","পথ ভুলেছিস সত্যি বটে? সিধে রাস্তা দেখতে চাস?","খেমটা","একতালা"
"02183","মরি ও কাহার বাছা, ওকে কোথায় নিয়ে যায়","ত্রিতাল","তিনতালা"
"02184","রাঙাপদপদ্মযুগে প্রণমি গো ভবদারা!","ত্রিতাল","একতাল(৪/৪/৪)"
"02185","দেখো হো ঠাকুর, বলি এনেছি মোরা","খেমটা","দাদরা"
"02189","আরে, কী এত ভাবনা কিছু তো বুঝি না","ত্রিতাল","তিনতালা"
"02191","ব্যাকুল হয়ে বনে বনে","ত্রিতাল","তিনতালা"
"02192","ছাড়ব না ভাই, ছাড়ব না ভাই","খেমটা","দাদরা"
"02196","হা, কী দশা হল আমার!","ত্রিতাল","তিনতালা"
"02197","এত রঙ্গ শিখেছ কোথা মুণ্ডমালিনী!","খেমটা","দাদরা"
"02198","অহো! আস্পর্ধা একি তোদের নরাধম!","ত্রিতাল","তিনতালা"
"02200","রিম্‌ ঝিম্‌ ঘন ঘন রে বরষে","ত্রিতাল","তিনতালা"
"02201","কোথায় জুড়াতে আছে ঠাঁই-","ত্রিতাল","তিনতালা"
"02202","কেন রাজা, ডাকিস কেন, এসেছি সবে","খেমটা","দাদরা"
"02206","কে এল আজি এ ঘোর নিশীথে","তেওরা","তালমুক্ত"
"02208","বলব কী আর বলব খুড়ো--উঁ উঁ-","ত্রিতাল","তিনতালা"
"02212","জীবনের কিছু হল না হায়-","ত্রিতাল","তিনতালা"
"02213","দেখ্‌ দেখ্‌, দুটো পাখি বসেছে গাছে","কাহারবা","তিনতালা"
"02214","থাম্‌ থাম্‌, কী করিবি বধি পাখিটির প্রাণ","ঝাঁপতাল","কাহারবা"
"02215","কী বলিনু আমি! এ কী সুললিত বাণী রে!","২ + ২ ছন্দ","চৌতাল(২/২/২/২/২/২)"
"02219","কোথা লুকাইলে!","ত্রিতাল","তিনতালা"
"02223","এই-যে হেরি গো দেবী আমারি!","ত্রিতাল-দাদরা","একতাল(৪/৪/৪)"
"02224","হে বিদেশী এসো এসো","অর্ধঝাঁপ","অর্দ্ধঝাঁপ"
