"id","name","taal","abartan","tableWidth"
"00465","তপের তাপের বাঁধন কাটুক","দাদরা","১",17
"00466","গগনে গগনে আপনার মনে","দাদরা","১",19
"00467","কেন পান্থ,এ চঞ্চলতা","কাহারবা","১",24
"00468","নমো নমো, হে বৈরাগী","কাহারবা","১",21
"00469","নমো, নমো, নমো করুণাঘন, নমো হে","কাহারবা","১",21
"00470","ওই কি এলে আকাশপারে","কাহারবা","১",21
"00471","শ্রাবণ ,তুমি বাতাসে কার আভাস পেলে","কাহারবা","১",21
"00472","আহ্বান আসিল মহোৎসবে","দাদরা","১",17
"00473","কোন্ পুরাতন প্রাণের টানে","কাহারবা","১",21
"00474","নীল অঞ্জনঘন পুঞ্জছায়ায়","দাদরা","২",21
"00475","আজ শ্রাবণের আমন্ত্রণে","দাদরা","১",17
"00476","ওরে ঝড় নেমে আয়","কাহারবা","১",21
"00477","চক্ষে আমার তৃষ্ণা","দাদরা","১",26
"00479","এসো শ্যামল সুন্দর","তিনতালা","১",21
"00480","ব্যাকুল বকুলের ফুলে","নবতাল(৩/৬)","২",23
"00481","আবার শ্রাবণ হয়ে এলে ফিরে","তিনতালা","১",21
"00482","ধরণী, দূরে চেয়ে কেন আজ আছিস জেগে","দাদরা","১",17
"00483","হৃদয়ে মন্দ্রিল ডমরু গুরু গুরু","রুপক(৩/৪)","২",19
"00484","মধু গন্ধে-ভরা মৃদু-স্নিগ্ধছায়া","তালমুক্ত","১",27
"00485","আমি তখন ছিলেম মগন","দাদরা","২",22
"00489","থামাও রিমিকি-ঝিমিকি বরিষন,","কাহারবা","২",24
"00492","আঁধার অম্বরে প্রচণ্ড ডম্বরু","কাহারবা","২",21
"00493","হৃদয় আমার নাচে রে আজিকে","তালমুক্ত","২",20
"00495","মনে হল যেন পেরিয়ে এলেম","দাদরা","২",18
"00497","মম মন-উপবনে চলে অভিসারে","কাহারবা","২",21
"00498","আজি বরিষনমুখরিত শ্রাবণরাতি","কাহারবা","২",24
"00499","যায় দিন,শ্রাবণদিন যায়","কাহারবা","২",21
"00500","আমি কী গান গাব যে ভেবে না পাই","দাদরা","২",17
"00501","কিছু বলব ব'লে এসেছিলেম","কাহারবা","২",23
"00502","মন মোর মেঘের সঙ্গী","কাহারবা","২",21
"00503","মোর ভাবনারে কী হাওয়ায় মাতালো","তিনতালা","১",25
"00504","আমার প্রিয়ার ছায়া আকাশে আজ ভাসে, হায় হায় !","কাশ্মীরি","২",20
"00505","ওগো সাঁওতালি ছেলে","দাদরা","২",17
"00506","বাদল-দিনের প্রথম কদম ফুল করেছ দান,","দাদরা","২",21
"00507","আজি তোমায় আবার চাই শুনাবারে","তালমুক্ত","৩",24
"00508","এসো গো, জ্বেলে দিয়ে যাও প্রদীপখানি","তালমুক্ত","৩",27
"00509","আজি ঝরো ঝরো মুখর বাদরদিনে","একাদশী(২/৪/২/৪)","১",20
"00511","স্বপ্নে আমার মনে হল কখন ঘা দিলে আমার দ্বারে, হায়","ষষ্ঠী(২/৪)","২",20
"00512","শেষ গানেরই রেশ নিয়ে যাও চলে,","দাদরা","২",18
"00513","এসেছিলে তবু আস নাই জানায়ে গেলে","তালমুক্ত","৩",21
"00514","এসেছিনু দ্বারে তব শ্রাবণরাতে","ষষ্ঠী(২/৪)","৩",25
"00515","নিবিড় মেঘের ছায়ার মন দিয়েছি মেলে","ষষ্ঠী(২/৪)","৩",25
"00516","আমার  যে দিন","দাদরা","২",27
"00517","পাগলা হাওয়ার বাদল-দিনে","দাদরা","২",21
"00518","আজি মেঘ কেটে গেছে সকালবেলায়","কাহারবা","২",24
"00519","সঘন গহন রাত্রি, ঝরিছে শ্রাবণধারা---","কাহারবা","২",23
"00521","আজি শরততপনে প্রভাতস্বপনে","একতালা","১",20
"00523","আজ ধানের ক্ষেতে রৌদ্রছায়ায় লুকোচুরি খেলা","কাহারবা","২",24
"00524","বেঁধেছি কাশের গুচ্ছ, আমরা গেঁথেছি","একতালা","১",19
"00525","অমল ধবল পালে লেগেছে মন্দ মধুর হাওয়া","একতালা","১",21
"00526","আমার নয়ন-ভুলানো এলে","দাদরা","২",17
"00527","শিউলি ফুল","দাদরা","১",17
"00529","আজ প্রথম ফুলের পাব প্রসাদখানি","কাহারবা","২",23
"00530","ওগো শেফালিবনের মনের কামনা","দাদরা","২",17
"00531","শরত-আলোর কমলবনে","রুপকড়া","২",23
"00532","তোমার মোহন রূপে কে রয় ভুলে","কাহারবা","২",21
"00533","শরৎ, তোমার অরুণ আলোর অঞ্জলি","দাদরা","২",17
"00534","তোমরা যা বলো তাই বলো","দাদরা","১",20
"00535","কোন্ খেপা শ্রাবণ ছুটে এল","দাদরা","১",17
"00536","আকাশ হতে খসল তারা","দাদরা","২",17
"00537","হৃদয়ে ছিলে জেগে","একতালা","১",17
"00538","সারা নিশি ছিলেম শুয়ে","দাদরা","১",23
"00539","দেখো দেখো দেখো শুকতারা","দাদরা","২",21
"00540","ওলো শেফালি, ওলো শেফালি","দাদরা","২",17
"00541","এসো শরতের অমল মহিমা,এসো হে ধীরে","যৎ","১",25
"00542","এবার অবগুণ্ঠন খোলো","দাদরা","১",23
"00543","তোমার নাম জানি নে","দাদরা","২",17
"00544","কার বাঁশি নিশিভোরে বাজিল মোর প্রাণে","তিনতালা","১",21
"00545","আমার রাত পোহালো শারদ প্রাতে","দাদরা","১",17
"00546","নির্মল কান্ত, নমো হে নমো","কাহারবা","১",21
"00548","সেই তো তোমার পথের বঁধু","কাহারবা","১",21
"00549","পোহালো পোহালো বিভাবরী","তিনতালা","১",21
"00550","নব কুন্দধবলদলসুশীতলা","তিনতালা","১",21
"00551","হিমের রাতে ওই গগনের দীপগুলিরে","দাদরা","১",17
"00552","হায হেমন্তলক্ষ্মী, তোমার নয়ন কেন ঢাকা-","কাহারবা","১",21
"00554","সে দিন আমায় বলেছিলে","কাহারবা","১",24
"00555","নমো, নমো, নমো। নমো, নমো, নমো। তুমি ক্ষুধার্তজনশরণ্য","দাদরা","১",17
"00556","শীতের হাওয়ায় লাগল নাচন","দাদরা","১",17
"00557","শিউলি-ফোটা ফুরোল যেই শীতের বনে","দাদরা","১",17
"00558","এল যে শীতের বেলা বরষ-পরে","দাদরা","১",23
"00559","পৌষ তোদের ডাক দিয়েছে, আয় রে চলে,","দাদরা","১",17
"00561","আমরা নূতন প্রাণের চর হা হা","দাদরা","১",19
"00562","আর নাই যে দেরি, নাই যে দেরি","দাদরা","১",23
"00563","এ কী মায়া লুকাও কায়া জীর্ণ শীতের সাজে","দাদরা","১",21
"00566","নমো, নমো। নমো, নমো। নমো, নমো। নির্দয় অতি","দাদরা","১",21
"00568","নব বসন্তের দানের ডালি","দাদরা","১",17
"00569","এস' এস' বসন্ত, ধরাতলে","কাহারবা","১",21
"00570","আজি বসন্ত জাগ্রত দ্বারে","তিনতালা","১",26
"00571","এনেছ ওই শিরীষ বকুল আমের মুকুল সাজিখানি হাতে করে","কাহারবা","১",21
"00572","ও মঞ্জরী, ও মঞ্জরী, আমের মঞ্জরী,","দাদরা","১",17
"00573","কার যেন এই মনের বেদন","দাদরা","১",17
"00574","দোলে দোলে দোলে প্রেমের দোলন-চাঁপা","দাদরা","১",17
"00575","অনন্তের বাণী তুমি, বসন্তের মাধুরী-উৎসবে","তেওড়া","২",21
"00576","এবার এল সময়","ষষ্ঠী(২/৪)","২",17
"00577","ওরে গৃহবাসী খোল্‌, দ্বার খোল্‌","কাহারবা","১",21
"00579","ওগো বধূ সুন্দরী","কাহারবা","১",21
"00580","আমার বনে বনে ধরল মুকুল","কাহারবা","২",26
"00581","আমি  পথভোলা এক পথিক এসেছি","দাদরা","১",17
"00582","আজি দখিন দুয়ার","কাহারবা","২",24
"00583","বসন্তে কি শুধু কেবল ফোটা ফুলের মেলা রে","কাহারবা","২",21
"00584","ওগো দখিন হাওয়া","কাহারবা","১",26
"00585","আকাশ আমার","দাদরা","১",19
"00587","ওরে ভাই, ফাগুন লেগেছে বনে বনে","তিনতালা","১",26
"00588","এত দিন যে বসে ছিলেম","দাদরা","২",19
"00589","বসন্তে ফুল গাঁথল","দাদরা","২",17
"00590","ওরে আয় রে তবে, মাত্ রে সবে আনন্দে","কাহারবা","১",25
"00591","বসন্ত তোর শেষ ক'রে দে,","কাহারবা","১",24
"00592","দিনশেষে বসন্ত যা প্রাণে গেল ব'লে","কাওয়ালি(৪/৪)","২",21
"00593","সব দিবি কে, সব দিবি পায়","কাহারবা","১",23
"00594","বাকি আমি রাখব না","দাদরা","১",23
"00595","ফল ফলাবার আশা আমি মনে রাখি নে রে","দাদরা","১",17
"00596","যদি তারে নাই চিনি গো সে কি","তেওড়া","১",21
"00597","ধীরে ধীরে ধীরে বও","কাহারবা","১",24
"00598","দখিন হাওয়া  জাগো জাগো","কাহারবা","১",23
"00599","সহসা ডালপালা তোর উতলা যে","দাদরা","১",17
"00600","সে কি ভাবে গোপন রবে লুকিয়ে হৃদয় কাড়া","দাদরা","১",18
"00601","ভাঙল হাসির বাঁধ","দাদরা","১",22
"00602","ও আমার চাঁদের আলো","দাদরা","১",21
"00603","ও চাঁদ, তোমায় দোলা","দাদরা","১",20
"00605","তোমার বাস কোথা যে, পথিক ওগো","দাদরা","১",21
"00606","আজ দখিন বাতাসে","দাদরা","১",19
"00607","বিদায় যখন চাইবে তুমি দক্ষিণসমীরে","দাদরা","১",21
"00608","এ বেলা ডাক পড়েছে কোনখানে","দাদরা","১",23
"00609","না, যেয়ো না, যেয়ো নাকো","কাহারবা","১",21
"00610","এবার বিদায়বেলার সুর ধরো ধরো","দাদরা","১",21
"00611","আজ খেলা ভাঙার খেলা খেলবি","কাহারবা","১",21
"00612","আজ কি তাহার বারতা পেল রে কিশলয়","কাহারবা","১",26
"00613","চরণরেখা তব যে পথে দিলে লেখি","দাদরা","১",17
"00614","নমো নমো, নমো নমো, নমো নমো, তুমি সুন্দরতম","দাদরা","১",17
"00615","তোমার আসন পাতব কোথায় হে অতিথি","দাদরা","১",17
"00616","রঙ লাগালে বনে বনে কে","ষষ্ঠী(২/৪)","২",19
"00617","মন যে বলে চিনি চিনি যে গন্ধ বয় এই সমীরে","কাহারবা","২",21
"00618","বকুলগন্ধে বন্যা এল দখিন-হাওয়ার স্রোতে","দাদরা","২",17
"00619","বাসন্তী, হে ভূবনমোহিনী","কাহারবা","২",21
"00621","ফাগুন, হাওয়ায় হাওয়ায় করেছি যে দান","দাদরা","১",21
"00623","হে মাধবী, দ্বিধা কেন","দাদরা","২",20
"00624","ওরা অকারণে চঞ্চল (ওরা অকারণে চঞ্চল ডালে)","কাহারবা","২",26
"00625","ফাগুনের নবীন আনন্দে","কাহারবা","১",26
"00626","বেদনা কী ভাষায় রে","কাহারবা","২",21
"00627","চলে যায় মরি হায় বসন্তের দিন","কাহারবা","১",23
"00628","বসন্তে বসন্তে তোমার কবিরে দাও ডাক","দাদরা","১",17
"00629","আমার মল্লিকাবনে (যখন মল্লিকাবনে প্রথম ধরেছে)","দাদরা","১",21
"00630","ক্লান্ত যখন আম্রকলির কাল","দাদরা","১",17
"00631","তুমি কিছু দিয়ে যাও","কাহারবা","১",21
"00632","আজি এই গন্ধবিধুর সমীরণে","তিনতালা","১",21
"00633","এবার ভাসিয়ে দিতে হবে আমার এই তরী","দাদরা","২",17
"00634","বসন্তে আজ ধরার চিত্ত হল উতলা","একতালা","১",21
"00635","তুমি কোন্ পথে যে এলে","দাদরা","১",20
"00636","অনেক দিনের মনের মানুষ জেন এলে কে","দাদরা","১",23
"00637","পুরাতনকে বিদায় দিলে না যে ওগো নবীন রাজা","দাদরা","১",17
"00638","ঝরো-ঝরো ঝরো-ঝরো ঝরে রঙের ঝরনা","দাদরা","১",21
"00639","পূর্বাচলের পানে তাকাই","কাহারবা","১",21
"00640","নীল আকাশের কোণে কোণে ওই","দাদরা","২",18
"00641","মাধবী হঠাৎ কোথা হতে","দাদরা","২",22
"00642","নীল দিগন্তে ওই ফুলের আগুন লাগল","দাদরা","১",17
"00643","বসন্ত তার গান লিখে যায় ধূলির, পরে","কাহারবা","১",21
"00644","ফাগুনের শুরু হতেই শুকনো পাতা ঝরল যত","দাদরা","১",23
"00645","ফাগুনের পূর্ণিমা এল কার লিপি হাতে","কাহারবা","১",26
"00646","এক ফাগুনের গান সে আমার","তেওড়া","১",21
"00647","ওরে বকুল পারুল ওরে","দাদরা","১",17
"00648","নিশীথরাতের প্রাণ","তেওড়া","১",23
"00649","চেনা ফুলের গন্ধস্রোতে","তেওড়া","২",21
"00651","আমার মালার ফুলের দলে আছে লেখা","দাদরা","১",17
"00652","আজি কমলমুকুলদল খুলিল","দাদরা","১",26
"00653","পুষ্প ফুটে কোন্ কুন্জ্ঞবনে","দাদরা","১",15
"00655","বিদায় নিয়ে গিয়েছিলেম","ষষ্ঠী(২/৪)","২",17
"00656","এই কথাটাই ছিলেম ভুলে","ষষ্ঠী(২/৪)","২",22
"00657","এবার তো যৌবনের কাছে","দাদরা","২",19
"00658","সেই তো বসন্ত ফিরে এল","তিনতালা","১",26
"00659","নিবিড় অন্তরতর বসন্ত","ঝাঁপ","১",15
"00660","নব নব পল্লবরাজি","দাদরা","১",19
"00661","মম অন্তর উদাসে","তিনতালা","১",24
"00662","ফাগুন-হাওয়ায় রঙে রঙে","দাদরা","২",17
"00663","ঝরা পাতা গো, আমি তোমারি দলে","দাদরা","১",17
"00665","কে যায় অমৃতধামযাত্রী","দাদরা","১",19
"00666","চোখের আলোয় দেখেছিলেম","দাদরা","২",17
"00668","এক মনে তোর একতারাতে","যৎ(৩/৪/৩/৪)","১",19
"00669","গভীর রজনী নামিল হৃদয়ে","রুপকড়া","১",23
"00670","ভুবন হইতে ভুবনবাসী","দাদরা","১",17
"00671","জীবন যখন ছিল ফুলের মতো","দাদরা","২",19
"00673","তুই কেবল থাকিস সরে সরে","দাদরা","১",17
"00674","দাঁড়াও, মন,অনন্ত ব্রহ্মান্ড-মাঝে","দাদরা","১",14
"00676","শান্ত হ রে মম চিত্ত নিরাকুল","কাহারবা","১",21
"00677","শুভ্র নব শঙ্খ তব গগন ভরি বাজে,","ঝম্পক","২",15
"00678","পূর্বগগনভাগে দীপ্ত হইল সুপ্রভাতে","দাদরা","১",17
"00679","মন, জাগ' মঙ্গললোকে","তিনতালা","১",24
"00680","ভোরের বেলা কখন এসে","দাদরা","১",21
"00681","এখনো ঘোর ভাঙে না তোর","দাদরা","২",21
"00682","আজি নির্ভয়নিদ্রিত ভুবনে জাগে","কাওয়ালি(৪/৪/৪/৪)","১",21
"00683","ভোর হল বিভাবরী -------","কাহারবা","২",24
"00684","নিশার স্বপন ছুটল রে এই ছুটল রে,","দাদরা","২",17
"00685","অনেক দিনের শূন্যতা","তেওড়া","১",22
"00686","হে চিরনূতন, আজি এ দিনের প্রথম গানে","কাহারবা","১",21
"00687","প্রাণের প্রাণ জাগিছে তোমারি প্রাণে","দাদরা","১",21
"00688","জাগো নির্মল নেত্রে   রাত্রির","একতাল(৪/৪/৪)","১",16
"00689","স্বপন যদি ভাঙিলে রজনী প্রভাতে","একতালা","১",17
"00690","বাজাও তুমি ,কবি, তোমার সঙ্গীত সুমধুর","সুরফাঁক","১",14
"00691","মনোমোহন, গহন যামিনীশেষে","ঝাঁপ","১",15
"00692","পান্হ , এখনো কেন অলসিত অঙ্গ","সুরফাঁক","১",14
"00693","দুঃখরাতে,হে নাথ, কে ডাকিলে","ঝাঁপ","১",15
"00694","ডাকো মোরে আজি এ নিশীথে","তিনতালা","১",21
"00695","হরষে জাগো আজি","ধামার(৩/২/২/৩/৪)","১",23
"00696","বিমল আনন্দে জাগো রে","আড়াঠেকা","১",23
"00697","সবে আনন্দ করো","আড়াচৌতাল(২/৪/২/৪)","১",19
"00698","তুমি আপনি জাগাও মোরে","তিনতালা","১",21
"00699","নূতন প্রাণ দাও, প্রাণসখা","ধামার(৩/২/২/৩/৪)","১",20
"00700","শোনো তাঁর সুধাবাণী","দাদরা","১",19
"00701","নিশিদিন  চাহো রে তাঁর পানে","তিনতালা","১",28
"00702","ওঠো ওঠো রে","দাদরা","১",19
"00703","ওদের কথায় ধাঁদা লাগে","দাদরা","২",21
"00704","জানি নাই গো সাধন তোমার বলে কারে","দাদরা","২",17
"00705","আমায় ভুলতে দিতে নাইকো তোমার ভয়","দাদরা","২",17
"00706","আমার   সকল কাঁটা ধন্য করে","দাদরা","২",26
"00707","তাই তোমার আনন্দ আমার 'পর","দাদরা","২",17
"00708","তব সিংহাসনের আসন হতে","দাদরা","২",21
"00709","জীবনে যত পূজা হল না সারা","তেওরা","২",21
"00710","জানি জানি কোন্ আদি কাল হতে","তিনতালা","১",21
"00711","তুমি যে আমারে চাও আমি সে জানি","তিনতালা","১",26
"00712","জানি হে যবে প্রভাত হবে","ঝাঁপ","১",15
"00715","এসেছে সকলে কত আশে","দাদরা","১",19
"00716","ধ্বনিল আহ্বান মধুর গম্ভীর প্রভাত অম্বর মাঝে","তেওড়া","১",21
"00717","কী গাব আমি, কী শুনাব","একতালা","১",17
"00718","সফল করো হে প্রভু আজি সভা","তিনতালা","১",21
"00719","হৃদিমন্দিরদ্বারে বাজে","ধামার(৩/২/২/৩/৪)","১",20
"00720","ওই পোহাইল তিমিররাতি","তিনতালা","১",26
"00721","আজি বহিছে বসন্ত পবন","তেওড়া","১",24
"00722","আনন্দগান উঠুক তবে বাজি","দাদরা","২",18
"00723","এ দিন আজি কোন্ ঘরে গো","দাদরা","২",19
"00724","ওই অমল হাতে রজনী প্রাতে আপনি জ্বালো","তেওড়া","২",21
"00725","তার অন্ত নাই গো","দাদরা","১",17
"00726","তোমার আনণ্দ ওই গো","দাদরা(৩/৩)","২",25
"00727","প্রাণে খুশির তুফান উঠেছে","একতালা","১",20
"00728","পারবি না কি যোগ দিতে এই ছন্দে রে","তেওড়া","২",24
"00729","প্রেমে প্রাণে গানে গন্ধে","নবতাল","১",27
"00730","জগতে আনন্দ যজ্ঞে আমার নিমন্ত্রন","দাদরা","১",17
"00731","গায়ে আমার পুলক লাগে,","তালমুক্ত","১",21
"00732","আলোয় আলোকময় করে হে এলে আলোর আলো","তেওড়া","২",21
"00733","আজি এ আনন্দসন্ধ্যা সুন্দর","তেওড়া","১",21
"00734","বাজে বাজে রম্যবীণা বাজে","তেওড়া","১",23
"00735","বিপুল তরঙ্গ রে","তেওড়া","১",21
"00736","সদা থাকো আনন্দে","ঝাঁপ","১",15
"00737","বহে নিরন্তর অনন্ত আনন্দধারা","ঝাঁপ","১",15
"00738","অমল কমল সহজে জলের কোলে","একতালা","১",17
"00739","আনন্দধারা বহিছে ভুবনে","তিনতালা","১",21
"00740","নব আনন্দে জাগো","তিনতালা","১",21
"00741","হেরি তব বিমলমুখভাতি","ঝাঁপ","১",15
"00742","এত আনন্দধ্বনি উঠিল কোথায়","ধামার(৩/২/২/৩/৪)","১",20
"00743","আঁধার রজনী পোহালো","একতালা","১",17
"00744","হৃদয়বাসনা পূর্ণ হল আজি মম পূর্ণ হল,","তালমুক্ত","১",19
"00745","ক্ষত যত ক্ষতি যত","কাওয়ালি(৪/৪)","২",22
"00746","আমি সংসারে মন দিয়েছিনু","একতালা","১",17
"00747","আজিকে এই সকালবেলাতে","দাদরা","২",27
"00748","যে-ধ্রুবপদ দিয়েছ বাঁধি বিশ্বতানে","ঝম্পক","১",20
"00750","মহাবিশ্বে মহাকাশে মহাকাল - মাঝে","তেওড়া","১",21
"00752","আমার মুক্তি আলোয় আলোয়","তেওড়া","১",21
"00753","আমার প্রাণে গভীর গোপন","রুপক","২",21
"00754","আজি মর্মরধ্বনি কেন জাগিল রে","তিনতালা","১",24
"00755","প্রথম আলোর চরণধ্বনি উঠল বেজে যেই","একতালা","১",17
"00756","তোমার হাতের রাখীখানি বাঁধো আমার দখিন-হাতে","দাদরা","৩",25
"00757","বুঝেছি কি বুঝি নাই বা","কাহারবা","১",21
"00759","দেওয়া নেওয়া ফিরিয়ে দেওয়া","দাদরা","১",17
"00761","আমি জ্বালব না মোর বাতায়নে","দাদরা","২",19
"00762","আমি যখন তাঁর দুয়ারে ভিক্ষা নিতে","দাদরা","২",21
"00763","আকাশ জুড়ে শুনিনু ওই বাজে","কাহারবা","১",21
"00765","ও আমার দেশের মাটি, তোমার 'পরে ঠেকাই মাথা","দাদরা","২",23
"00766","যদি তোর ডাক শুনে কেউ","দাদরা","২",21
"00767","তোর আপন জনে ছাড়বে তোরে","দাদরা","২",20
"00768","এবার তোর মরা গাঙে বান এসেছে","কাহারবা","২",21
"00769","নিশিদিন ভরসা রাখিস","দাদরা","২",17
"00770","আমি ভয় করব না ভয় করব না","দাদরা","২",17
"00771","আপনি অবশ হলি, তবে বল দিবি তুই কারে   ?","দাদরা","২",21
"00772","আমরা মিলেছি আজ মায়ের ডাকে","দাদরা","২",21
"00773","আমা সবাই রাজা","দাদরা","২",17
"00775","নাই নাই ভয়","কাওয়ালি(৪/৪)","২",21
"00776","আমাদের যাত্রা হল শুরু,","একতালা","১",21
"00777","জনগণমন-অধিনায়ক জয় হে ভারতভাগ্যবিধাতা","কাহারবা","২",21
"00778","হে মোর চিত্ত, পুণ্য তীর্থে","দাদরা","২",17
"00779","দেশে দেশে নন্দিত করি","একতালা","১",17
"00780","মাতৃমন্দির-পুণ্য-অঙ্গন কর","তেওড়া","২",21
"00782","আনন্দধ্বনি জাগাও গগনে","তেওড়া","২",21
"00783","বাংলার মাটি বাংলার জল","একতালা","১",18
"00784","আজি বাংলাদেশের হৃদয় হতে","একতালা","১",17
"00785","আমায় বোলো না গাহিতে বোলো না","একতালা","১",21
"00786","অয়ি ভুবনমনোমোহিনী, মা,","কাহারবা","২",24
"00788","যে তোমায় ছাড়ে ছাড়ুক","দাদরা","২",17
"00789","যে তোরে পাগল বলে তারে তুই বলিস নে কিছু","দাদরা","২",17
"00790","ওরে, তোরা নেই বা কথা বললি","একতালা","১",21
"00791","যদি তোর ভবনা থাকে ফিরে যা -না","দাদরা","২",17
"00792","মা কি তুই পরের দ্বারে পাঠাবি তোর ঘরের ছেলে","দাদরা","২",17
"00793","ছি ছি চোখের জলে ভেজাস নে আর মাটি","দাদরা","২",19
"00795","এখন আর দেরি নয় ধর্ গো তোরা হাতে হাতে ধর্ গো","কাহারবা","২",23
"00796","বুক বেঁধে তুই দাঁড়া দেখি,","একতালা","১",21
"00797","আমরা পথে পথে যাব সারে সারে","একতালা","১",21
"00798","এ ভারতে রাখো নিত্য, প্রভু,","চৌতাল(২/২/২/২/২/২)","১",19
"00799","রইল বলে রাখলে কারে,","দাদরা","১",17
"00800","জননীর দ্বারে আজি ওই শুন গো শঙ্খ বাজে","একতাল(৪/৪/৪)","১",16
"00801","আজি এ ভারত লজ্জিত হে","তিনতালা","১",28
"00802","চলো যাই চলো ,যাই চলো, যাই চলো, যাই","কাহারবা","২",21
"00803","শুভ কর্মপথে ধর' নির্ভয় গান","কাহারবা","২",26
"00804","ওরে, নূতন যুগের ভোরে","দাদরা","২",17
"00806","ওদের বাঁধন যতই শক্ত হবে ততই বাঁধন টুটবে,","দাদরা","২",21
"00807","বিধির বাঁধন কাটবে তুমি এমন শক্তি মান","দাদরা","২",17
"00808","খেপা তুই আছিস আপন খেয়াল ধরে","দাদরা","২",17
"00810","দিনশেষের রাঙা মুকুল জাগল চিতে","কাহারবা","২",21
"00811","আছ আকাশ - পানে তুলে মাথা","দাদরা","২",17
"00812","না, না গো না, কোরো না ভাবনা","দাদরা","১",23
"00813","চৈত্রপবনে মম চিত্তবনে","কাহারবা","২",24
"00814","নূপুর বেজে যায় রিনিরিনি","কাওয়ালি(৪/৪)","২",23
"00817","মেঘছায়ে সজল বায়ে মন আমার","তালমুক্ত","৩",23
"00819","আমার   প্রাণের মাঝে সুধা আছে, চাও কি-","দাদরা","২",20
"00820","তোমার মনের একটি কথা আমায় বলো বলো","ষষ্ঠী(২/৪)","২",22
"00821","উদাসিনী-বেশে বিদেশিনী কে সে নাইবা তাহারে জানি","কাহারবা","২",21
"00824","বাজিবে, সখী, বাঁশি বাজিবে","তেওড়া","১",23
"00827","এ কী সুধারস আনে","কাহারবা","১",24
"00828","ও যে মানে না মানা","দাদরা","১",17
"00829","মান অভিমান ভাসিয়ে দিয়ে","খেমটা","১",17
"00831","যদি বারণ কর তবে গাহিব না","কাওয়ালি(৪/৪/৪/৪)","১",21
"00832","কেন বাজাও কাঁকন কনকন কত ছল ভরে","তেওড়া","১",24
"00833","কেন যামিনী না যেতে জাগালে না","একতালা","১",17
"00836","নিশীথে কী কয়ে গেল মনে","কাহারবা","১",21
"00839","এবার মিলন- হাওয়ায়- হাওয়ায়","দাদরা","১",17
"00841","আজ সবার রঙে রঙ মিশাতে হবে","দাদরা","২",21
"00844","আমার লতার প্রথম মুকুল চেয়ে","দাদরা","১",17
"00846","একদিন চিনে নেবে তারে","দাদরা","২",23
"00849","সে আসে ধীরে","দাদরা","১",21
"00850","পুষ্পবনে পুষ্প নাহি, আছে অন্তরে","দাদরা","১",21
"00851","আমার পরান যাহা চায়","ত্রিতাল","১",24
"00853","সখি,  ওই বুঝি বাঁশি বাজে","তিনতালা","১",21
"00855","কার চোখের চাওয়ার হাওয়ায়","ষষ্ঠী(২/৪)","১",21
"00856","অনেক কথা যাও যে বলে","দাদরা","১",17
"00857","না বলে যায় পাছে সে","দাদরা","১",26
"00858","তবে শেষ করে দাও শেষ গান","তিনতালা","১",21
"00859","সখী   আমারি দুয়ারে কেন আসিল","কাহারবা","২",21
"00861","তুমি যেয়ো না এখনি","তিনতালা","১",21
"00862","আকুল কেশে আসে","কাহারবা","১",24
"00863","কে দিল আবার আঘাত আমার","কাহারবা","১",21
"00868","মুখপানে চেয়ে দেখি, ভয় হয় মনে","কাহারবা","১",24
"00871","হে ক্ষণিকের অতিথি","কাহারবা","২",21
"00873","মুখখানি কর মলিন বিধুর যাবার বেলা","দাদরা","২",17
"00874","ওকে বাঁধিবি কে রে","দাদরা","১",17
"00876","শেষ বেলাকার শেষের গানে","তেওড়া","১",23
"00877","কাঁদার সময় অল্প ওরে","দাদরা","১",17
"00878","কেন রে এতই যাবার ত্বরা","দাদরা","২",17
"00880","আমার যাবার বেলায় পিছু ডাকে","কাহারবা","২",24
"00881","কে বলে 'যাও যাও'","দাদরা","১",17
"00882","কেন আমায় পাগল করে যাস","তেওড়া","১",21
"00883","যদি হল যাবার ক্ষণ","দাদরা","১",17
"00884","ক্লান্ত বাঁশির শেষ রাগিণী","কাহারবা","১",21
"00885","কখন দিলে পরায়ে","ষষ্ঠী(২/৪)","১",17
"00886","যাবার বেলা শেষ কথাটি যাও বলে","তেওড়া","১",21
"00887","জানি তুমি ফিরে আসিবে আবার জানি","দাদরা","১",17
"00888","না রে না রে ভয় করব না বিদায় বেদনারে","দাদরা","১",17
"00890","মরণ রে","কাহারবা","১",24
"00891","উতল হাওয়া লাগল আমার","দাদরা","১",17
"00892","ডাকব না,ডাকব না","দাদরা","১",17
"00894","ও আমার ধ্যানেরই ধন","দাদরা","১",17
"00895","হায় রে, ওরে যায় না কি জানা","দাদরা","১",18
"00897","কে আমারে যেন এনেছে-ডাকিয়া","দাদরা","২",17
"00898","সে দিন দুজনে দুলেছিনু বনে","কাহারবা","১",23
"00900","কাছে যবে ছিল পাশে হল না যাওয়া","দাদরা","১",21
"00901","আমার প্রাণের 'পরে চলে গেল কে","দাদরা","১",25
"00902","মনে রয়ে গেল মনের কথা","ঝাঁপ","১",15
"00906","বাজে করুণ সুরে হায় দূরে","কাহারবা","১",21
"00908","সখী, তোরা দেখে যা এবার এল সময়","দাদরা","২",17
"00909","আমি আশায় আশায় থাকি","কাহারবা","২",21
"00910","আমার নিখিল ভুবন হারালেম আমি যে","দাদরা","২",17
"00912","ভুল করেছিনু, ভুল ভেঙেছে","দাদরা","২",22
