misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,{প,p,,হ,1,,
,ধ,d,,ল,1,,
,প,p,,না,1,,
,ম,m,,লো,1,,
,|,|,,,0,,
,গ,g,,হ,1,,
,গ,g,,ল,1,,
,ম,m,,না,1,,
,-ধ,-d,,৹,1,,
,|,|,,,0,,
,ধ,d,,স,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,(-নস',-n+s',,৹ ই,2,,
,|,|,,,0,,
,^নস',^n+s',,হা,1,,
,-নধ,-n+d,,৹ ৹,2,,
,-পহ্ম,-p+M,,৹ ৹,2,,
,-প)},-p,,য়্,1,,
,⌶,⌶,,,0,,
,-,-,,ই,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
|,|-,|-,,০,0,,CHECK
,⌶,⌶,,,0,,
,প,p,,ম,1,,
,হ্ম,M,,র,1,,
,প,p,,মে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,প,p,,ম,1,,
,হ্ম,M,,র,1,,
,প,p,,মে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,প,p,,লু,1,,
,হ্ম,M,,কা,1,,
,প,p,,নো,1,,
,-হ্মধ,-M+d,,৹ ৹,2,,
,|,|,,,0,,
,প,p,,র,1,,
,হ্ম,M,,হি,1,,
,প,p,,ল,1,,
,-র,-r,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,র,r,,ব,1,,
,-,-,,৹,1,,
,গ,g,,লা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,হ,1,,
,-,-,,৹,1,,
,ধ,d,,ল,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,প,p,,না,1,,
,-ম,-m,,৹,1,,
,-গ,-g,,৹,1,,
,-ম,-m,,৹,1,,
,|,|,,,0,,
,-র,-r,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,{স',s',,ব,1,,
,স',s',,লি,1,,
,স',s',,ব,1,,
,স',s',,লি,1,,
,|,|,,,0,,
,স',s',,ব,1,,
,নস',n+s',,লি ৹,2,,
,ধ,d,,তা,1,,
,প,p,,রে,1,,
,|,|,,,0,,
,ধ,d,,ক,1,,
,ধর',d+r',,ত ৹,2,,
,স',s',,ম,1,,
,ন,n,,নে,1,,
,|,|,,,0,,
,ধ,d,,ক,1,,
,নধ,n+d,,রি ৹,2,,
,প,p,,নু,1,,
,-ধ},-d,,৹,1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
,স,s,,না,1,,
,-,-,,৹,1,,
,ধ,d,,কি,1,,
,প,p,,ছু,1,,
,|,|,,,0,,
,ধ,d,,ক,1,,
,ধ,d,,হি,1,,
,ধ,d,,ল,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ণ,N,,চা,1,,
,-,-,,৹,1,,
,ণ,N,,হি,1,,
,ণ,N,,য়া,1,,
,|,|,,,0,,
,ধ,d,,র,1,,
,ণ,N,,হি,1,,
,ধণ,d+N,,ল ৹,2,,
,-ধ,-d,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,প,p,,গে,1,,
,-ধ,-d,,৹,1,,
,প,p,,ল,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ধ,d,,সে,1,,
,-র',-r',,৹,1,,
,-স',-s',,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ধ,d,,চ,1,,
,-ণধ,-N+d,,৹ ৹,2,,
,প,p,,লি,1,,
,-ধ,-d,,৹,1,,
,|,|,,,0,,
,প,p,,য়া,1,,
,-,-,,৹,1,,
,-,-,BEGIN,৹,1,,
,-র,-r,END,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,র,r,,আ,1,,
,-গ,-g,,৹,1,,
,-র,-r,,৹,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,গ,g,,সে,1,,
,-ধ,-d,,৹,1,,
,-প,-p,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,গ,g,,ফি,1,,
,-ম,-m,,৹ ৹,1,,CHECK
,র,r,,রি,1,,
,র,r,,ল,1,,
,|,|,,,0,,
,স,s,,না,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,{স',s',,ফি,1,,
,স',s',,রা,1,,
,স',s',,ব,1,,
,স',s',,ফি,1,,
,|,|,,,0,,
,স',s',,রা,1,,
,নধ,n+d,,ব ৹,2,,
,প,p,,ব,1,,
,ধ,d,,লে,1,,
,|,|,,,0,,
,ধ,d,,ক,1,,
,র',r',,ত,1,,
,স',s',,ম,1,,
,ন,n,,নে,1,,
,|,|,,,0,,
,ধ,d,,ক,1,,
,নধ,n+d,,রি ৹,2,,
,প,p,,নু,1,,
,-ধ},-d,,৹,1,,
,⌶⌶⌶⌶,⌶⌶⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
