misc,onote,note,meed,words,noteCount,slurOK,countOK
,স,s,,আজ্,1,,
,⌶⌶,⌶⌶,,,0,,
,{র,r,,যে,1,,
,গমপ,g+m+p,,ম ৹ ৹,3,,
,-ধধপ,-d+d+p,,৹ ৹ ৹,3,,
,-মপ,-m+p,,৹ ন্,2,,
,,,,,0,,
,ম,m,,ক,1,,
,গ,g,,রে,1,,
|,-,-,,৹,1,,
,(-,-,,৹,1,,
,,,,,0,,
,র,r,,গা,1,,
,-গ,-g,,ই,1,,
,গ,g,,ছে,1,,
,গ,g,,আ,1,,
,,,,,0,,
,রগ,r+g,,কা ৹,2,,
,-ম,-m,,৹,1,,
,-গম,-g+m,,৹ ৹,2,,
,-গর,-g+r,,০শ্,2,,CHECK
,স,s,,তে,1,,
,-,-,BEGIN,৹,1,,
,-র,-r,END,ম্,1,,
,র,r,,নি,1,,
,,,,,0,,
,র,r,,ক,1,,
,গ,g,,রে,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,,,,,0,,
,রগ,r+g,,গা ৹,2,,
,-মপ,-m+p,,৹ ৹,2,,
,-,-,,ও,1,,
,ধপ,d+p,,গো ৹,2,,
,,,,,0,,
,-মগ,-m+g,,৹ ৹,2,,
,-রস,-r+s,,৹ ৹,2,,
,-,-,,৹,1,,
,স)},s,,আজ্,1,,
,গ,g,,আজ্,1,,
,,,,,0,,
,গ,g,BEGIN,যে,1,,
,প,p,END,ম,1,,
,-,-,,ন্,1,,
,প,p,,ক,1,,
,,,,,0,,
,প,p,,রে,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,,,,,0,,
,গ,g,BEGIN,চা,1,,
,-প,-p,END,ই,1,,
,প,p,,ছে,1,,
,ধ,d,,আ,1,,
,,,,,0,,
,^ধস'ন,^d+s'+n,,কা ৹,2,,
,-ধপ,-d+p,,৹ ৹,2,,
,-,-,,৹,1,,
,-,-,,শ্,1,,
,,,,,0,,
,,,,,0,,
,প,p,,তে,1,,
,-ধ,-d,,ম্,1,,
,পধ,p+d,,নি ৹,2,,
,-ন,-n,,৹,1,,
,,,,,0,,
,^নধ,^n+d,,ক,1,,
,প,p,,রে,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,,,,,0,,
,প,p,,চা,1,,
,-ধ,-d,,৹,1,,
,-,-,,ও,1,,
,পধ,p+d,,গো ৹,2,,
,,,,,0,,
,-পম,-p+m,,৹ ৹,2,,
,-গর,-g+r,,৹ ৹,2,,
,-সন.,-s+n.,,৹ ৹,2,,
,স,s,,"আজ্",1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,গ,g,,আজ্,1,,
,⌶⌶,⌶⌶,,,0,,
,{গ,g,,হাও,1,,
,গ,g,,য়া,1,,
,প,p,,যে,1,,
,ধ,d,,মন্,1,,
,,,,,0,,
,^ধস',^d+s',,পা,1,,
,^নস',^n+s',,তা,1,,
,-ধন,-d+n,,৹ ৹,2,,
,স'র',s'+r',,৹ য়্,2,CHECK,
,,,,,0,,
,স'ন,s'+n,,পা ৹,2,,
,স',s',,তা,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,,,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,য়্,1,,
,ধস',d+s',,ম ৹,2,,
,-,-,,র্,1,,
,স',s',,ম,1,,
,ন,n,,রি,1,,
,,,,,0,,
,ধ,d,,য়া,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,,,,,0,,
,পধ,p+d,,ব ৹,2,,
,-নস',-n+s',,৹ ন্,2,,
,^র'স'ন,^r'+s'+n,,কে ৹,2,,
,ধন,d+n,,কাঁ ৹,2,,
,,,,,0,,
,ধপ,d+p,,দা ৹,2,,
,-^হ্মপ,-^M+p,,৹,1,,
,-,-,,৹,1,,
,-মগ},-m+g,,৹ য়্,2,,
,,,,,0,,
,,,,,0,,
,গ,g,,তে,1,,
,-,-,BEGIN,৹,1,,
,-প,-p,END,ম্,1,,
,-,-,,নি,1,,
,,,,,0,,
,পহ্ম,p+M,,আ ৹,2,,
,^ধপ,^d+p,,মা,1,,
,-,-,,৹,1,,
,-,-,,র্,1,,
,,,,,0,,
,প,p,,বু,1,,
,^হ্মপধ,^M+p+d,,কে ৹,2,,
,-নস',-n+s',,৹ ৹,2,,
,-র'র'স',-r'+r'+s',,৹ ৹ র্,3,,
,,,,,0,,
,ধন,d+n,,মা ৹,2,,
,ধপ,d+p,,ঝে ৹,2,,
,-,-,,৹,1,,
,-মগ,-m+g,,৹ ৹,2,,
,,,,,0,,
,,,,,0,,
,গ,g,,কাঁ,1,,
,গম,g+m,,দি ৹,2,,
,-পধ,-p+d,,৹ ৹,2,,
,-,-,,৹,1,,
,,,,,0,,
,পধ,p+d,,য়া ৹,2,,
,^হ্মপ,^M+p,,কাঁ,1,,
,-,-,,৹,1,,
,-মগ,-m+g,,৹ ৹,2,,
,,,,,0,,
,গম,g+m,,দা ৹,2,,
,-রগ,-r+g,,৹ ৹,2,,
,-মপ,-m+p,,৹ ৹,2,,
,-,-,,ও,1,,
,,,,,0,,
,ধপ,d+p,,গো ৹,2,,
,-মগ,-m+g,,৹ ৹,2,,
,-রস,-r+s,,৹ ৹,2,,
,স,s,,"আজ্",1,,
,⌶⌶⌶⌶,⌶⌶⌶⌶,,,0,,
,,,,,0,,
