misc,onote,note,meed,words,noteCount,slurOK,countOK
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,ম,m,,নি,1,,
,প,p,,ক,1,,
,প,p,,টা,1,,
,|,|,,,0,,
3,^ণদ,^N+D,,দে,1,,
,-,-,,৹,1,,
,দ,D,,খি,1,,
,প,p,,ব,1,,
,⌶,⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
1',{ম,m,,তো,1,,
,-,-,,৹,1,,
,-দপ,-D+p,,৹ ৹,2,,
,-মপ,-m+p,,৹ ৹,2,,
,|,|,,,0,,
2,ম,m,,মা,1,,
,-,-,,৹,1,,
,ম,m,,রে,1,,
⌶⌶,-প,-p,,৹,1,,
,|,|,,,0,,
0,-গ,-g,,৹,1,,
,ম,m,,ক,1,,
,গ,g,,রে,1,,
,ঋ,R,,ছি,1,,
,|,|,,,0,,
,স,s,,বা,1,,
,-ঋ,-R,,৹,1,,
,ম,m,,স,1,,
,ম,m,,না,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,ম,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-গ,-g,,৹,1,,
,-পম,-p+m,,৹ ৹,2,,
,ম,m,,নে,1,,
,-প,-p,,৹,1,,
,|,|,,,0,,
,(-গ,-g,,৹,1,,
,ম,m,,নি,1,,
,প,p,,ক,1,,
,প,p,,টে,1,,
,|,|,,,0,,
,^ণদ,^N+D,,দে,1,,
,-,-,,৹,1,,
,দ,D,,খি,1,,
,প)},p,,ব,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,-গ,-g,,৹,1,,
,প,p,,চা,1,,
,দ,D,,হি,1,,
,দ,D,,ব,1,,
,|,|,,,0,,
,দ,D,,না,1,,
,-ঋ'স',-R'+s',,৹ ৹,2,,
,স',s',,হে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,প,p,,চা,1,,
,ণ,N,,হি,1,,
,দ,D,,ব,1,,
,|,|,,,0,,
,দ,D,,না,1,,
,-,-,,৹,1,,
,দ,D,,হে,1,,
,-ণদ,-N+D,,৹ ৹,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,-প,-p,,৹,1,,
,দঋ',D+R',,দূ ৹,2,,
,স',s',,র,1,,
,স',s',,দূ,1,,
,|,|,,,0,,
,স',s',,রা,1,,
,-,-,,ন্,1,,
,স',s',,ত,1,,
,স'ঋ',s'+R',,র ৹,2,,
,|,|,,,0,,
,ন,n,,গ,1,,
,স',s',,গ,1,,
,ন,n,,নে,1,,
,-দ,-D,,৹,1,,
,|,|,,,0,,
,-প,-p,,৹,1,,
,-দ,-D,,৹,1,,
,-প,-p,,৹,1,,
,-দ,-D,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,-ঋ,-R,,৹,1,,
,স',s',,"নি,1,,
,ন,n,,ক,1,,
,প,p,,টে,1,,
,|,|,,,0,,
,^ণদ,^N+D,,দে,1,,
,-,-,,৹,1,,
,দ,D,,খি,1,,
,প,p,,ব",1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
,{দ,D,,দে,1,,
,দ,D,,খি,1,,
,দ,D,,ব,1,,
,দ,D,,তো,1,,
,|,|,,,0,,
,ন,n,,মা,1,,
,-,-,,৹,1,,
,স',s',,রে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,-,-,,৹,1,,
,ঋ',R',,গৃ,1,,
,ঋ',R',,হ,1,,
,স',s',,মা,1,,
,|,|,,,0,,
,ন,n,,ঝা,1,,
,-,-,,৹,1,,
,স',s',,রে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,দ,D,,জ,1,,
