misc,onote,note,meed,words,noteCount,slurOK,countOK
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,ন,n,,চ,1,,
,ন,n,,লো,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,ধ,d,,নি,1,,
,ন,n,,য়,1,,
,-স',-s',,ম্,1,,
,|,|,,,0,,
,ন,n,,ম,1,,
,^ধপ,^d+p,,তে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,|,|,,,0,,
,ধ,d,,চ,1,,
,প,p,,লো,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,নি,1,,
,প,p,,য়,1,,
,-ধ,-d,,ম্,1,,
,|,|,,,0,,
,^মপ,^m+p,,ম,1,,
,^মগ,^m+g,,তে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,|,|,,,0,,
,গ,g,,চ,1,,
,গ,g,BEGIN,লো,1,,
,-ম,-m,END,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,নি,1,,
,ম,m,,য়,1,,
,-প,-p,,ম্,1,,
,|,|,,,0,,
,প,p,,ম,1,,
,প,p,,তে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,|,|,,,0,,
,প,p,,দূ,1,,
,প,p,,রে,1,,
,-ধ,-d,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ধ,d,,তা,1,,
,স',s',,কি,1,,
,স',s',,য়ো,1,,
,|,|,,,0,,
,স',s',,না,1,,
,স',s',,কো,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,|,|,,,0,,
,প,p,,ঘা,1,,
,-,-,,৹,1,,
,-ধ,-d,,ড়,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ধ,d,,বাঁ,1,,
,স',s',,কি,1,,
,স',s',,রো,1,,
,|,|,,,0,,
,স',s',,না,1,,
,স',s',,কো,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,|,|,,,0,,
,স',s',,চ,1,,
,ন,n,,লো,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ধ,d,,স,1,,
,ন,n,,মা,1,,
,-স',-s',,ন্,1,,
,|,|,,,0,,
,^ধন,^d+n,,প,1,,
,^ধপ,^d+p,,থে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,|,|,,,0,,
,ধ,d,,চ,1,,
,প,p,,লো,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,নি,1,,
,প,p,,য়,1,,
,-ধ,-d,,ম্,1,,
,|,|,,,0,,
,^মপ,^m+p,,ম,1,,
,^মগ,^m+g,,তে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,|,|,,,0,,
,গ,g,,চ,1,,
,গ,g,,লো,1,,
,-ম,-m,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,নি,1,,
,ম,m,,য়,1,,
,-প,-p,,ম্,1,,
,|,|,,,0,,
,প,p,,ম,1,,
,প,p,,তে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,-,-,,,1,,CHECK
,|,|,,,0,,
,{প,p,,হে,1,,
,প,p,,রো,1,,
,-ধ,-d,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ধ,d,,অ,1,,
