misc,onote,note,meed,words,noteCount,slurOK,countOK
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
0,স',s',,ভু,1,,
,ন,n,,ব,1,,
,^ধপ,^d+p,,নে,1,,
,|,|,,,0,,
3,-,-,,৹,1,,
,স,s,,শ্ব,1,,
,র,r,,র,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
1',^রপ,^r+p,,হে,1,,
,-,-,,৹,1,,
,-হ্মপ,-M+p,,৹ ৹,2,,
,|,|,,,0,,
2,-গ,-g,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,গহ্ম,g+M,,মো ৹,2,,
,-গহ্মপ,-g+M+p,,৹ ৹ ৹,3,,
,প,p,,চ,1,,
,|,|,,,0,,
,প,p,,ন,1,,
,প,p,,ক,1,,
,প,p,,র',1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,পহ্ম,p+M,,ব ৹,2,,
,-ধ,-d,,ন্,1,,
,প,p,,ধ,1,,
,|,|,,,0,,
,হ্ম,M,,ন,1,,
,গ,g,,স,1,,
,গ,g,,ব,1,,
,|,|,,,0,,
,সর,s+r,,মো ৹,2,,
,-সরগ,-s+r+g,,৹ ৹ ৹,3,,
,গ,g,,চ,1,,
,|,|,,,0,,
,গ,g,,ন,1,,
,রগ,r+g,,ক ৹,2,,
,র,r,,র,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,স,s,,হে,1,,
,-,-,,৹,1,,
|,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,প,p,,প্র,1,,
,ধ,d,,ভু,1,,
,|,|,,,0,,
,{প,p,,মো,1,,
,-স',-s',,৹,1,,
,স',s',,চ,1,,
,|,|,,,0,,
,স',s',,ন,1,,
,স',s',,ক,1,,
,স'ন,s'+n,,র ৹,2,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,^র'স',^r'+s',,ভ,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,য়্,1,,
,স',s',,স,1,,
,র',r',,ব,1,,
,|,|,,,0,,
,স'র',s'+r',,দৈ ৹,2,,
,-গ',-g',,৹,1,,
,গ'র',g'+r',,ন্য ৹,2,,
,|,|,,,0,,
,র'স',r'+s',,ক ৹,2,,
,স'ন,s'+n,,র ৹,2,,
,-নধ,-n+d,,হ ৹,2,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,^ধন,^d+n,,ল,1,,
,-,-,,৹,1,,
,-ধ,-d,,৹,1,,
,|,|,,,0,,
,(-প,-p,,য়্,1,,
,প,p,,প্র,1,,
,ধ)},d,,ভু,1,,
,|,|,,,0,,
,-প,-p,,৹,1,,
,-,-,,৹,1,,
,-,-,,য়্,1,,
,|,|,,,0,,
,{^পন,^p+n,,নি,1,,
,-ধ,-d,,ত্,1,,
,^ধন,^d+n,,ত,1,,
,|,|,,,0,,
,ধ,d,,চ,1,,
,ধপ,d+p,,কি ৹,2,,
,প,p,,ত,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,পহ্ম,p+M,,চ ৹,2,,
,-ধ,-d,,ন্,1,,
,প,p,,চ,1,,
,|,|,,,0,,
,হ্ম,M,,ল,1,,
,গ,g,,চি,1,,
,গ,g,,ত,1,,
,|,|,,,0,,
,স,s,,ক,1,,
,র,r,,র,1,,
,গ,g,,নি,1,,
,|,|,,,0,,
,-হ্ম,-M,,৹,1,,
,হ্ম,M,,স,1,,
,-গহ্মপ,-g+M+p,,৹ ৹ ঙ্,3,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,প,p,,শ,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
