misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,{পণ,p+N,,পা ৹,2,,
,^ণদ,^N+D,,খি,1,,
,-প,-p,,৹,1,,
,|,|,,,0,,
,মপ,m+p,,আ ৹,2,,
,^পজ্ঞ,^p+G,,মা,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,ম,m,,নী,1,,
,^মঋ,^m+R,,ড়ে,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,জ্ঞ,G,,পা,1,,
,^ঋস,^R+s,,খি,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,(দ,D,,অ,1,,
,দ,D,,ধী,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,দ,D,,হ,1,,
,দস',D+s',,ল ৹,2,,
,-ঋ',-R',,৹,1,,
,⌶,⌶,,,0,,
,-ণস',-N+s',,৹ ৹,2,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-ণ,-N,,৹,1,,
,-দ,-D,,৹,1,,
,-পম,-p+m,,৹ ৹,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^মদ,^m+D,,অ,1,,
,দ,D,,ধী,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,দ,D,,হ,1,,
,স',s',,ল,1,,
,-জ্ঞ',-G',,৹,1,,
,⌶,⌶,,,0,,
,^জ্ঞ'ঋ',^G'+R',,কে,1,,
,স',s',,ন,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,ণ,N,,জা,1,,
,দপ)},D+p,,নি ৹,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,,আ,1,,
,স,s,,কা,1,,
,-দ,-D,,শ্,1,,
,|,|,,,0,,
,দ,D,,কো,1,,
,^দপ,^D+p,,ণে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-পদ,-p+D,,৹ ৹,2,,
,-ণস',-N+s',,৹ ৹,2,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^স'প,^s'+p,,যা,1,,
,-ণ,-N,,য়্,1,,
