misc,onote,note,meed,words,noteCount,slurOK,countOK
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,মজ্ঞ,m+G,,এ ৹,2,,
,|,|,,,0,,
,-রস,-r+s,,৹ ৹,2,,
,র,r,,বা,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
,{র,r,,র,1,,
,ণ,N,,ঙি,1,,
,ণ,N,,য়ে,1,,
,|,|,,,0,,
,-^ণধ,-^N+d,,৹,1,,
,প,p,,গে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,ম,m,,ল,1,,
,-,-,,৹,1,,
,^মজ্ঞ,^m+G,,হৃ,1,,
,|,|,,,0,,
,-র,-r,,৹,1,,
,স,s,,দ,1,,
,-,-,,য়্,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,র,r,,গ,1,,
,-মজ্ঞ,-m+G,,৹ ৹,2,,
,-,-,,৹,1,,
,|,|,,,0,,
,^জ্ঞর,^G+r,,গ,1,,
,-,-,,৹,1,,
,(-,-,,ন্,1,,
,⌶,⌶,,,0,,
,গ,g,,সাঁ,1,,
,-,-,,৹,1,,
,ম,m,,ঝে,1,,
,|,|,,,0,,
,-,-,,র্,1,,
,^মগ,^m+g,,র,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,^পম,^p+m,,ঙে,1,,
,-,-,,৹,1,,
,মজ্ঞ,m+G,,এ ৹,2,,
,|,|,,,0,,
,-রস,-r+s,,৹ ৹,2,,
,র,r,,বা,1,,
,-)},-,,র্,1,,
,⌶,⌶,,,0,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-,-,,ন্,1,,
,গ,g,,আ,1,,
,গ,g,,মার্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,গ,g,,স,1,,
,-,-,,৹,1,,
,গ,g,,ক,1,,
,|,|,,,0,,
,-,-,,ল্,1,,
,গ,g,,বা,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,গ,g,,ণী,1,,
,-,-,,৹,1,,
,স,s,,হ,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,^সগ,^s+g,,ল,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,ম,m,,ম,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,গম,g+m,,গ ৹,2,,
,-পদ,-p+D,,৹ ৹,2,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,-মপ,-m+p,,৹ ৹,2,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,ন্,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,^মজ্ঞ,^m+G,,সাঁ,1,,
,-র,-r,,৹,1,,
,জ্ঞ,G,,ঝে,1,,
,|,|,,,0,,
,-,-,,র্,1,,
,^জ্ঞর,^G+r,,র,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,^মজ্ঞ,^m+G,,ঙে,1,,
,-,-,,৹,1,,
,মজ্ঞ,m+G,,"এ ৹,2,,
,|,|,,,0,,
,-রস,-r+s,,৹ ৹,2,,
,র,r,,বা,1,,
,-,-,,র্",1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,ন্,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
,ন,n,,ম,1,,
,-,-,,৹,1,,
,^নস',^n+s',,নে,1,,
