misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
[প,{ম,m,,লু,1,,
ম],ম,m,,কি,1,,
,মপদপ,m+p+D+p,,য়ে ৹ ৹ ৹,4,,
,-মপগ,-m+p+g,,৹ ৹ ৹,3,,
,|,|,,,0,,
,ম,m,,আ,1,,
,-,-,,৹,1,,
,প,p,,স,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,দ,D,,আঁ,1,,
[-স',-,-,,৹,1,,
স',প,p,,ধা,1,,
র'স',প,p,,র,1,,
,|,|,,,0,,
ণ,দ,D,,রা,1,,
-স'],-প,-p,,৹,1,,
,^ণদ,^N+D,,তে,1,,
,-প,-p,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,মপ,m+p,,তু ৹,2,,
,প,p,,মি,1,,
,-,-,,৹,1,,
,ম,m,,আ,1,,
,|,|,,,0,,
,জ্ঞ,G,,মা,1,,
,-র,-r,,৹,1,,
,-স,-s,,৹,1,,
,র,r,,র,1,,
,⌶,⌶,,,0,,
,জ্ঞ,G,,ব,1,,
,-ম,-m,,৹,1,,
,-র,-r,,ন্,1,,
,জ্ঞ,G,,ধু,1,,
,|,|,,,0,,
,রজ্ঞ,r+G,,ধে ৹,2,,
,-মপ,-m+p,,৹ ৹,2,,
,-দণ,-D+N,,৹ ৹,2,,
,-দ},-D,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,লু,1,,
,ম,m,,কে,1,,
,মপদপ,m+p+D+p,,য়ে ৹ ৹ ৹,4,,
,-মপগ,-m+p+g,,৹ ৹ ৹,3,,
,|,|,,,0,,
,ম,m,,আ,1,,
,-,-,,৹,1,,
,প,p,,স,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,ধ,d,,ল,1,,
,-,-,,৹,1,,
,ধ,d,,ও,1,,
,ধ,d,,যে,1,,
,|,|,,,0,,
,ণ,N,,টে,1,,
,-ধ,-d,,৹,1,,
,ণ,N,,নে,1,,
,-,-,,৹,1,,
