misc,onote,note,meed,words,noteCount,slurOK,countOK
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,র,r,,কি,1,,
,⌶,⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,^রগ,^r+g,,ছু,1,,
,-রগ,-r+g,,৹ ৹,2,,
,-ম,-m,,৹,1,,
,ম,m,,ই,1,,
,|,|,,,0,,
,গ,g,,তো,1,,
,-মগ,-m+g,,৹ ৹,2,,
,-রগ,-r+g,,৹ ৹,2,,
,স,s,,হ,1,,
,|,|,,,0,,
,র,r,,ল,1,,
,-গর,-g+r,,৹ ৹,2,,
,-সর,-s+r,,৹ ৹,2,,
,-গম,-g+m,,৹ ৹,2,,
,|,|,,,0,,
,^মগ,^m+g,,না,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,,সে,1,,
,-,-,,ই,1,,
,র,r,,স,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,ব্,1,,
,র,r,,সে,1,,
,|,|,,,0,,
,রগ,r+g,,ই ৹,2,,
,-মগ,-m+g,,৹ ৹,2,,
,-রস,-r+s,,৹ ৹,2,,
,-নধ.ন.,-n+d.+n.,,৹ ৹ ৹,3,,
,|,|,,,0,,
,স,s,,স,1,,
,-,-,,৹,1,,
,-,-,,ব্,1,,
,স,s,,সে,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,,ই,1,,
,-প,-p,,৹,1,,
,-,-,,৹,1,,
,ম,m,,হা,1,,
,|,|,,,0,,
,প,p,,হা,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-মগ,-m+g,,৹ ৹,2,,
,|,|,,,0,,
,গম,g+m,,কা ৹,2,,
,-পধপ,-p+d+p,,৹ ৹ ৹,3,,
,-মপম,-m+p+m,,৹ ৹ ৹,3,,
,-,-,,র্,1,,
,|,|,,,0,,
,গ,g,,র,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-রস,-r+s,,৹ ব্,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,,সে,1,,
,-,-,,ই,1,,
,র,r,,অ,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,র,r,,শ্রু,1,,
,র,r,,বা,1,,
,র,r,,রি,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-রগ,-r+g,,৹ ৹,2,,
,-মগর,-m+g+r,,৹ ৹ ৹,3,,
,-সন.,-s+n.,,৹ ৹,2,,
,ন.,n.,,ধা,1,,
,|,|,,,0,,
,স,s,,রা,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,স,s,,হৃ,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,,দ,1,,
,-প,-p,,৹,1,,
,-,-,,৹,1,,
,ম,m,,য়,1,,
,|,|,,,0,,
,প,p,,বে,1,,
,-,-,,৹,1,,
,-মগ,-m+g,,৹ ৹,2,,
,গ,g,,দ,1,,
,|,|,,,0,,
,গম,g+m,,না ৹,2,,
,-পধপ,-p+d+p,,৹ ৹ ৹,3,,
,-মপম,-m+p+m,,৹ ৹ ৹,3,,
,-গমগ,-g+m+g,,৹ ৹ ৹,3,,
,|,|,,,0,,
,-^রগ,-^r+g,,৹,1,,
,-,-,,৹,1,,
,-রস,-r+s,,৹ ৹,2,,
,র,r,,"কি",1,,
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,{স,s,,কি,1,,
,স,s,,ছু,1,,
,র,r,,তে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-সর,-s+r,,৹ ৹,2,,
,-গম,-g+m,,৹ ৹,2,,
,-পমগ,-p+m+g,,৹ ৹ ৹,3,,
,গ,g,,ম,1,,
,|,|,,,0,,
,গ,g,,নে,1,,
,গ,g,,র,1,,
,গ,g,,মা,1,,
,গ,g,,ঝে,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
