misc,onote,note,meed,words,noteCount,slurOK,countOK
,-ঋ'@,-R',,৹,1,,
,-জ্ঞ',-G',,৹,1,,
,-ঋ',-R',,৹,1,,
,|,|,,,0,,
,-স',-s',,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স'জ্ঞ',s'+G',,কো ৹,2,,
,জ্ঞ',G',,ণে,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,^জ্ঞ'র',^G'+r',,প্র,1,,
,জ্ঞ',G',,দী,1,,
,-,-,,প্,1,,
,|,|,,,0,,
,র',r',,মি,1,,
,জ্ঞ',G',,লা,1,,
,-,-,,য়্,1,,
,|,|,,,0,,
,^জ্ঞ'র',^G'+r',,শি,1,,
,ম'জ্ঞ',m'+G',,খা ৹,2,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,দ,D,,জ্যো,1,,
,দ,D,,তি,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ণ,N,,স,1,,
,স',s',,মু,1,,
,-র',-r',,৹,1,,
,|,|,,,0,,
,র',r',BEGIN,দ্রে,1,,
,-জ্ঞ',-G',END,৹,1,,
,-,-,,ই,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶⌶⌶⌶,⌶⌶⌶⌶,,,0,,
