misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,{গ,g,,তু,1,,
,গ,g,,মি,1,,
,গ,g,,অ,1,,
,^গঋ,^g+R,,তি,1,,
,|,|,,,0,,
,গ,g,,থি,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-প,-p,,৹,1,,
,⌶,⌶,,,0,,
,^পগ,^p+g,,অ,1,,
,গ,g,,তি,1,,
,গঋ,g+R,,থি ৹,2,,
,ঋ,R,,আ,1,,
,|,|,,,0,,
,স,s,,মা,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,(সদ,s+D,,ব ৹,2,,
,দ,D,,লো,1,,
,দ,D,,কো,1,,
,-,-,,ন্,1,,
,|,|,,,0,,
,দ,D,,না,1,,
,-প,-p,,৹,1,,
,প,p,,মে,1,,
,-দ,-D,,৹,1,,
,⌶,⌶,,,0,,
,ম,m,,ক,1,,
,প,p,,রি,1,,
,দ,D,,স,1,,
,-প,-p,,ৎ,1,,
,|,|,,,0,,
,ম,m,,কা,1,,
,-গ,-g,,৹,1,,
,-,-,,৹,1,,
,-প)},-p,,র্,1,,
,⌶,⌶,,,0,,
