misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,স,s,,ন,1,,
,র,r,,মো,1,,
,গ,g,,ন,1,,
,গ,g,,মো,1,,
,|,|,,,0,,
,গ,g,,হে,1,,
,-,-,,৹,1,,
,গ,g,,বৈ,1,,
,-র,-r,,৹,1,,
,⌶,⌶,,,0,,
,^রন,^r+n,BEGIN,রা,1,,
,-র,-r,END,৹,1,,
,স,s,,গী,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স',s',,ত,1,,
,স',s',,পো,1,,
,স',s',,ব,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স',s',,হ্নি,1,,
,স',s',,র,1,,
,স',s',,শি,1,,
,স',s',,খা,1,,
,⌶,⌶,,,0,,
,^স'ন,^s'+n,,জ্বা,1,,
,-র',-r',,৹,1,,
,স',s',,লো,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ন,n,,জ্বা,1,,
,-র',-r',,৹,1,,
,স',s',BEGIN,লো,1,,
,-প,-p,END,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ধ,d,,নি,1,,
,-,-,,র্,1,,
,র',r',,বা,1,,
,স',s',,ণ,1,,
,|,|,,,0,,
,স',s',,হী,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,প,p,,ন,1,,
,⌶,⌶,,,0,,
,ধ,d,,নি,1,,
,-,-,,র্,1,,
,র',r',,ম,1,,
,স',s',,ল,1,,
,|,|,,,0,,
,স',s',,আ,1,,
,-,-,,৹,1,,
,ধ,d,,লো,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ধ,d,BEGIN,অ,1,,
,-স',-s',END,ন্,1,,
,স',s',,ত,1,,
,ধ,d,,রে,1,,
,|,|,,,0,,
,প,p,,থা,1,,
,-,-,,ক্,1,,
,গ,g,,জা,1,,
,-র,-r,,৹,1,,
,⌶,⌶,,,0,,
,স,s,,গি,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স,s,,ন,1,,
,র,r,,মো,1,,
,গ,g,,ন,1,,
,গ,g,,মো,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,গ,g,,হে,1,,
,-,-,,৹,1,,
,গ,g,,বৈ,1,,
,-র,-r,,৹,1,,
,|,|,,,0,,
,^রন.,^r+n.,BEGIN,রা,1,,
,-র,-r,END,৹,1,,
,স,s,,গী,1,,
|,-,-,,৹,1,,
,⌶⌶⌶⌶,⌶⌶⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
