misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
1',স,s,,এ,1,,
,-,-,,ক্,1,,
,ণ,N,,টি,1,,
,|,|,,,0,,
2,^ণধ,^N+d,,ন,1,,
,ধ,d,,ম,1,,
,-ণ,-N,,স্,1,,
,|,|,,,0,,
,ধ,d,,কা,1,,
,ধণ,d+N,,রে ৹,2,,
,-স'ণ,-s'+N,,৹ ৹,2,,
,|,|,,,0,,
3,^ণধ,^N+d,,প্র,1,,
,প:,p,BEGIN,ভু,1,,
,-র:,-r,END,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,রগ:,r+g,,এ ৹,2,,
,-র:,-r,,ক্,1,,
,গ,g,,টি,1,,
,|,|,,,0,,
,^গম,^g+m,,ন,1,,
,প,p,BEGIN,ম,1,,
,-ধ,-d,END,স্,1,,
,|,|,,,0,,
,^ধপ,^d+p,,কা,1,,
,ম,m,,রে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,স,1,,
,ম,m,,ক,1,,
,-,-,,ল্,1,,
,|,|,,,0,,
,ম,m,,দে,1,,
,ম,m,BEGIN,হ,1,,
,-গপ,-g+p,END,৹ ৹,2,,
,|,|,,,0,,
,প,p,,লু,1,,
,প,p,,টি,1,,
,প,p,,য়ে,1,,
,|,|,,,0,,
,ধ,d,,প,1,,
,ধ,d,,ড়ু,1,,
,-ন,-n,,ক্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স',s',,তো,1,,
,স',s',,মা,1,,
,-নগ',-n+g',,৹ ৹,2,,
,|,|,,,0,,
,^গ'র',^g'+r',,রি,1,,
,স',s',,স,1,,
,-,-,,ঙ্,1,,
,|,|,,,0,,
,র,r,,সা,1,,
,-গ,-g,,৹,1,,
,-ম,-m,,৹,1,,
,|,|,,,0,,
,প,p,,রে,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,প,p,,ঘ,1,,
,প,p,,ন,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,পন,p+n,,শ্রা ৹,2,,
,নধ,n+d,,ব ৹,2,,
,ন,n,,ণ,1,,
,|,|,,,0,,
,^নস',^n+s',,মে,1,,
,স',s',,ঘে,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,স',s',,ম,1,,
,স',s',,তো,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স',s',,র,1,,
,স',s',,সে,1,,
,-ধন,-d+n,,৹ র্,2,,
,|,|,,,0,,
,স',s',,ভা,1,,
,স',s',,রে,1,,
,-^নর',-^n+r',,৹,1,,
,|,|,,,0,,
,স',s',,ন,1,,
,-ন,-n,,৹,1,,
,নস',n+s',,ম্র ৹,2,,
,|,|,,,0,,
,ধ,d,,ন,1,,
,প,p,,ত,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ধ,d,,এ,1,,
,-,-,,ক্,1,,
,ণ,N,,টি,1,,
,|,|,,,0,,
,ধ,d,,ন,1,,
,ধ,d,,ম,1,,
,-ণ,-N,,স্,1,,
,|,|,,,0,,
,ধ,d,,কা,1,,
,ধ,d,,রে,1,,
,-ণ,-N,,৹,1,,
,|,|,,,0,,
,ধ,d,,প্র,1,,
,প,p,BEGIN,ভু,1,,
,-র,-r,END,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^রগ:,^r+g,,এ,1,,
,-র:,-r,,ক্,1,,
,গ,g,,টি,1,,
,|,|,,,0,,
,^গম,^g+m,,ন,1,,
,প,p,,ম,1,,
,-ধ,-d,,স্,1,,
,|,|,,,0,,
,প,p,,কা,1,,
,ম,m,,রে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,,স,1,,
,স,s,,ম,1,,
,-ম,-m,,স্,1,,
,|,|,,,0,,
,ম,m,,ত,1,,
,ম,m,BEGIN,ম,1,,
,-গপ,-g+p,END,৹ ন্,2,,
,|,|,,,0,,
,প,p,,প,1,,
