misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,{স,s,,সে,1,,
,-,-,,ই,1,,
,র,r,,তো,1,,
,|,|,,,0,,
,মজ্ঞ,m+G,,আ ৹,2,,
,-রস,-r+s,,৹ ৹,2,,
,|,|,,,0,,
,র,r,,মি,1,,
,-গ,-g,,৹,1,,
,⌶,⌶,,,0,,
,ম,m,BEGIN,চা,1,,
,-প,-p,END,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
|,-,-,,ই,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,(মগ,m+g,,চা ৹,2,,
,-,-,,৹,1,,
,-ম,-m,,ই,1,,
,|,|,,,0,,
,গম,g+m,,রে ৹,2,,
,-পম,-p+m,,৹ ৹,2,,
,|,|,,,0,,
,-জ্ঞর,-G+r,,৹ ৹,2,,
,-মজ্ঞর)},-m+G+r,,৹ ৹ ৹,3,,
,⌶,⌶,,,0,,
,স,s,,সা,1,,
,স,s,,ধ,1,,
,-রজ্ঞ,-r+G,,৹ ৹,2,,
,|,|,,,0,,
,জ্ঞ,G,,না,1,,
,-র,-r,,৹,1,,
,|,|,,,0,,
,জ্ঞ,G,,যে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,জ্ঞ,G,,শে,1,,
,-রম,-r+m,,৹ ষ্,2,,
,^মজ্ঞ,^m+G,,হ,1,,
,|,|,,,0,,
,র,r,,বে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স,s,,মো,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,স,s,,সে,1,,
,স,s,BEGIN,ভা,1,,
,-ণ,-N,END,ব্,1,,
,|,|,,,0,,
,ধ,d,,না,1,,
,-প,-p,,৹,1,,
,|,|,,,0,,
,মগ,m+g,,তো ৹,2,,
,-রগ,-r+g,,৹ ৹,2,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,গ,g,BEGIN,না,1,,
,-ম,-m,END,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,ই,1,,
,⌶,⌶,,,0,,
,পধ,p+d,,না ৹,2,,
,-প,-p,BEGIN,৹,1,,
,-স',-s',END,ই,1,,
,|,|,,,0,,
,^স'ণ,^s'+N,,রে,1,,
,-ধ,-d,,৹,1,,
,|,|,,,0,,
,-প,-p,,৹,1,,
,-,-,,৹,1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
[স',{^মপ,^m+p,,ফ,1,,
^স'ণ,প,p,,লে,1,,
-ধপ],-,-,,র্,1,,
,|,|,,,0,,
,প,p,,ত,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,প,p,,রে,1,,
,-ধ,-d,,৹,1,,
,⌶,⌶,,,0,,
,ন,n,,ন,1,,
,-,-,,য়্,1,,
,স',s',,তো,1,,
,|,|,,,0,,
,র'স',r'+s',,খোঁ ৹,2,,
,-ন,-n,,৹,1,,
,|,|,,,0,,
,স',s',,জা,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,^স'জ্ঞ',^s'+G',,কে,1,,
,জ্ঞ',G',,ব,1,,
,-,-,,ই,1,,
,|,|,,,0,,
,^জ্ঞ'র',^G'+r',,বে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স':,s',BEGIN,সে,1,,
,-ন:,-n,END,৹,1,,
,⌶,⌶,,,0,,
,স'র',s'+r',,বি ৹,2,,
,^র'স',^r'+s',,ষ,1,,
,-,-,,ম্,1,,
,|,|,,,0,,
,ণ,N,,বো,1,,
,-^ণধ,-^N+d,,৹,1,,
,|,|,,,0,,
,(ণ,N,,ঝা,1,,
,-ধর')},-d+r',,৹ ৹,2,,
,⌶,⌶,,,0,,
,পম,p+m,,ঝা ৹,2,,
,-গম,-g+m,,৹ ৹,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,যে,1,,
,-স',-s',,ই,1,,
,^স'ন,^s'+n,,ফ,1,,
,|,|,,,0,,
,স',s',,লে,1,,
,-ন,-n,,৹,1,,
,|,|,,,0,,
,স',s',,ফ,1,,
,-নর',-n+r',,৹ ল্,2,,
,⌶,⌶,,,0,,
,^র'স',^r'+s',,ধু,1,,
,^স'ণ,^s'+N,,লা,1,,
,-,-,,য়,1,,
,|,|,,,0,,
,ধ,d,,ফে,1,,
,-প,-p,,৹,1,,
,|,|,,,0,,
,মগ,m+g,,লে ৹,2,,
,-ম,-m,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,পণ,p+N,,আ ৹,2,,
,ণ,N,,বা,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,^ণধ,^N+d,,ফু,1,,
,-প,-p,,ল্,1,,
,|,|,,,0,,
,মগ,m+g,,ফু ৹,2,,
,-রগ,-r+g,,৹ ৹,2,,
,⌶,⌶,,,0,,
,গ,g,BEGIN,টা,1,,
,-ম,-m,END,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,ই,1,,
,|,|,,,0,,
,প,p,,ফু,1,,
,-ধ,-d,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,পধ,p+d,,টা ৹,2,,
,-প,-p,,৹,1,,
,-স',-s',,ই,1,,
,|,|,,,0,,
,^স'ণ,^s'+N,,রে,1,,
,-ধ,-d,,৹,1,,
,|,|,,,0,,
,-প,-p,,৹,1,,
,-,-,,৹,1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
