misc,onote,note,meed,words,noteCount,slurOK,countOK
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,স,s,,অ,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,ম,m,,জ্ঞা,1,,
,-,-,,৹,1,,
,জ্ঞ,G,,নে,1,,
,জ্ঞ,G,,ক,1,,
,|,|,,,0,,
,র,r,,র,1,,
,র,r,,হে,1,,
,স,s,,ক্ষ,1,,
,স,s,,মা,1,,
,|,|,,,0,,
,স,s,,তা,1,,
,র,r,,ত,1,,
,ণ.,N.,,ধ,1,,
,স,s,,রি,1,,
,|,|,,,0,,
,র,r,,চ,1,,
,ম,m,,র,1,,
,ম,m,,ণে,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,-,-,,৹,1,,
,ম,m,,কে,1,,
,গ,g,,ম,1,,
,ম,m,,নে,1,,
,|,|,,,0,,
,প,p,,ক,1,,
,প,p,,হি,1,,
,প,p,,ব,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,ধ,d,,শি,1,,
,প,p,,হ,1,,
,|,|,,,0,,
,ম,m,,রি,1,,
,-,-,,৹,1,,
,গ,g,,আ,1,,
,-ম,-m,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,ত,1,,
,-স',-s',,ঙ্,1,,
,স',s',,কে,1,,
,-ণ,-N,,৹,1,,
,|,|,,,0,,
,-ধ,-d,,৹,1,,
,-প,-p,,৹,1,,
,-ম,-m,,৹,1,,
,-জ্ঞ,-G,,৹,1,,
,|,|,,,0,,
,-র,-r,,৹,1,,
,-ম,-m,,৹,1,,
,-জ্ঞ,-G,,৹,1,,
,-র,-r,,৹,1,,
,|,|,,,0,,
,-স,-s,,৹,1,,
,-ন.,-n.,,৹,1,,
,স,s,,"অ,1,,
,-,-,,৹ ",1,,CHECK
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,{ম,m,,আঁ,1,,
,প,p,,ধা,1,,
,প,p,,রে,1,,
,-ন,-n,,৹,1,,
,|,|,,,0,,
,ন,n,,স,1,,
,-,-,,ন্,1,,
,ন,n,,ধা,1,,
,ন,n,,নি,1,,
,|,|,,,0,,
,স',s',,শ,1,,
,স',s',,র,1,,
,স',s',,খ,1,,
,-ন,-n,,৹,1,,
,|,|,,,0,,
,ধন,d+n,,র ৹,2,,
,-স',-s',,৹,1,,
,স',s',,ত,1,,
,স',s',,র,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,ক,1,,
,স',s',,রী,1,,
,স',s',,ভ্র,1,,
,-ন,-n,,৹,1,,
,|,|,,,0,,
,স',s',,মে,1,,
,-,-,,৹,1,,
,র',r',,ব,1,,
,র',r',,ধি,1,,
,|,|,,,0,,
,স',s',,ত,1,,
,র',r',,ব,1,,
,স',s',,পু,1,,
,-ণধ,-N+d,,৹ ৹,2,,
,|,|,,,0,,
,ণস',N+s',,ত্র ৹,2,,
,-ণ,-N,,৹,1,,
,ধ,d,,ব,1,,
,প},p,,র,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,গ্র,1,,
,প,p,,হ,1,,
,-,-,,৹,1,,
,প,p,,দো,1,,
,|,|,,,0,,
,প,p,,ষে,1,,
,-,-,,৹,1,,
,ধ,d,,প,1,,
,প,p,,ড়ে,1,,
,|,|,,,0,,
,ম,m,,ছি,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-পম,-p+m,,৹ ৹,2,,
,|,|,,,0,,
,-গ,-g,,৹,1,,
,-,-,,৹,1,,
,গ,g,,পা,1,,
,ম,m,,প,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,প,1,,
,-স',-s',,ঙ্,1,,
,স',s',,কে,1,,
,-ণ,-N,,৹,1,,
,|,|,,,0,,
,-ধ,-d,,৹,1,,
,-প,-p,,৹,1,,
,-ম,-m,,৹,1,,
,-জ্ঞ,-G,,৹,1,,
,|,|,,,0,,
,-র,-r,,৹,1,,
,-ম,-m,,৹,1,,
,-জ্ঞ,-G,,৹,1,,
,-র,-r,,৹,1,,
,|,|,,,0,,
,-স,-s,,৹,1,,
,-ন.,-n.,,৹,1,,
,স,s,,"অ,1,,
,-,-,,৹ ",1,,CHECK
,⌶⌶⌶⌶,⌶⌶⌶⌶,,,0,,
