misc,onote,note,meed,words,noteCount,slurOK,countOK
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,ম,m,,দ,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
,প,p,,খি,1,,
,-ন,-n,,ন্,1,,
,^নধ,^n+d,,হা,1,,
,-স',-s',,ও,1,,
,|,|,,,0,,
,^স'ন,^s'+n,,য়া,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,পহ্ম,p+M,,জা ৹,2,,
,⌶,⌶,,,0,,
,ধপ,d+p,,গো ৹,2,,
,-,-,,৹,1,,
,^পম,^p+m,,জা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,গ,g,,গো,1,,
,-,-,,৹,1,,
|,-,-,,৹,1,,
,গ,g,,জা,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,গ,g,,গা,1,,
,-,-,,ও,1,,
,গম,g+m,,জা ৹,2,,
,-রগ,-r+g,,৹ ৹,2,,
,|,|,,,0,,
,গপ,g+p,,গা ৹,2,,
,-,-,,৹,1,,
,-,-,,ও,1,,
,প,p,,জা,1,,
,⌶,⌶,,,0,,
,প,p,,গা,1,,
,-ন,-n,,ও,1,,
,^নধ,^n+d,,আ,1,,
,-স',-s',,৹,1,,
,|,|,,,0,,
,^স'ন,^s'+n,,মা,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,প,p,,সু,1,,
,-হ্মধ,-M+d,,৹ প্,2,,
,^ধপ,^d+p,,ত,1,,
,ম,m,,এ,1,,
,|,|,,,0,,
,গ,g,,প্রা,1,,
,-,-,,৹,1,,
,-,-,,ণ্,1,,
,স',s',,আ,1,,
,⌶,⌶,,,0,,
,স',s',,মি,1,,
,-গ',-g',,৹,1,,
,^গ'র',^g'+r',,বে,1,,
,-ম',-m',,৹,1,,
,|,|,,,0,,
,^ম'গ',^m'+g',,ণু,1,,
,-,-,,৹,1,,
,-স',-s',,৹,1,,
,স'গ',s'+g',,আ ৹,2,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,গ',g',,মা,1,,
,-,-,,র্,1,,
,র',r',,শা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,^র'স',^r'+s',,খা,1,,
,-,-,,৹,1,,
,-,-,,য়্,1,,
,স'র',s'+r',,নী ৹,2,,
,⌶,⌶,,,0,,
,র',r',,র,1,,
,-,-,,র্,1,,
,^র'স',^r'+s',,যে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,^স'ন,^s'+n,,হা,1,,
,-,-,,৹,1,,
,-,-,,য়্,1,,
,নস',n+s',,ক ৹,2,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,ধন,d+n,,ত ৹,2,,
,-,-,,৹,1,,
,নস',n+s',,না ৹,2,,
,-^স'ন,-^s'+n,,৹,1,,
,|,|,,,0,,
,ধপ,d+p,,গা ৹,2,,
,-,-,,৹,1,,
,-,-,,ন্,1,,
,ন,n,,জা,1,,
,⌶,⌶,,,0,,
,নস',n+s',,গো ৹,2,,
,-,-,,৹,1,,
,প,p,,জা,1,,
,-ম,-m,,৹,1,,
,|,|,,,0,,
,^মগ,^m+g,,গো,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,ম,m,,''দ'',1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,প,p,,প,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
