misc,onote,note,meed,words,noteCount,slurOK,countOK
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,গ,g,,ও,1,,
,গ,g,,হে,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
,{গ,g,,ন,1,,
,গ,g,,বী,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,ন,1,,
,ম,m,,অ,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,^মপ,^m+p,,তি,1,,
,^মজ্ঞ,^m+G,,থি,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,র,r,,তু,1,,
,স,s,,মি,1,,
,-ন.,-n.,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,স,s,,নূ,1,,
,সর,s+r,,ত ৹,2,,
,-জ্ঞ,-G,,৹,1,,
,|,|,,,0,,
,জ্ঞ,G,,ন,1,,
,-র,-r,,৹,1,,
,জ্ঞ,G,,কি,1,,
,⌶,⌶,,,0,,
,র,r,,তু,1,,
,র,r,,মি,1,,
,-জ্ঞ,-G,,৹,1,,
,|,|,,,0,,
,^জ্ঞপ,^G+p,,চি,1,,
,প,p,,র,1,,
,-,-,,ন্,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,ম,m,,ত,1,,
,-জ্ঞ,-G,,৹,1,,
,-র,-r,,৹,1,,
,|,|,,,0,,
,স,s,,ন,1,,
,(গ,g,,ও,1,,
,গ)},g,,হে,1,,
,⌶,⌶,,,0,,
,-,-,,৹,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,প,p,,যু,1,,
,ন,n,,গে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স',s',,যু,1,,
,স',s',,গে,1,,
,-র',-r',,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,স',s',,কো,1,,
,^স'ণ,^s'+N,,থা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ধ,d,,তু,1,,
,প,p,,মি,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,ম,m,,ছি,1,,
,^মজ্ঞ,^m+G,,লে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,র,r,,স,1,,
,-স,-s,,ঙ্,1,,
,সন.,s+n.,,গো ৹,2,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,সর,s+r,,প ৹,2,,
,-জ্ঞ,-G,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,র,r,,ন,1,,
,গ,g,,"ও,1,,
,গ,g,,হে",1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
[ধ],{প,p,,য,1,,
,^পধ,^p+d,,ত,1,,
,-ম,-m,,৹,1,,
,|,|,,,0,,
,প,p,,নে,1,,
,প,p,,ক,1,,
,-ধ,-d,,৹,1,,
,⌶,⌶,,,0,,
,ন,n,,ত,1,,
,স',s',,কী,1,,
,-র'স',-r'+s',,৹ ৹,2,,
,|,|,,,0,,
,ন,n,,আ,1,,
,স',s',,নি,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,^পস',^p+s',,বেঁ,1,,
,স',s',,ধে,1,,
,-ন,-n,,৹,1,,
,|,|,,,0,,
,স',s',,ছি,1,,
,স'র',s'+r',,নু ৹,2,,
,-জ্ঞ'র',-G'+r',,৹ ৹,2,,
,⌶,⌶,,,0,,
,স'র',s'+r',,গৃ ৹,2,,
,^স'ণ,^s'+N,,হ,1,,
,-,-,,৹,1,,
,|,|,,,0,,
