misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
1',স,s,,দ,1,,
,স,s,,য়া,1,,
,-জ্ঞ,-G,,৹,1,,
,|,|,,,0,,
2,র,r,,দি,1,,
,জ্ঞ,G,,য়ে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
0,র,r,,হ,1,,
,^মজ্ঞ,^m+G,,বে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
3,ঋ,R,,গো,1,,
,স,s,,মো,1,,
,-দ.,-D.,,র্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ণ.,N.,,জী,1,,
,স,s,,ব,1,,
,-জ্ঞ,-G,,ন্,1,,
,|,|,,,0,,
,ঋ,R,,ধু,1,,
,স,s,,তে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^সদ,^s+D,,ন,1,,
,-,-,,ই,1,,
,স,s,,লে,1,,
,|,|,,,0,,
,প,p,,কি,1,,
,প,p,,আ,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,প,p,,পা,1,,
,-,-,,র্,1,,
,স,s,,ব,1,,
,|,|,,,0,,
,প,p,,তো,1,,
,ম,m,,মা,1,,
,-প,-p,,র্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,জ্ঞ,G,,চ,1,,
,মম,m+m,,র ৹,2,,
,-প,-p,,ণ্,1,,
,|,|,,,0,,
,^মপম,^m+p+m,,ছুঁ ৹,2,,
,^জ্ঞমজ্ঞ,^G+m+G,,তে ৹,2,,
,-,-,,৹,1,,
,|,|,,,0,,
,-র,-r,,৹,1,,
,-,-,,৹,1,,
,-,-,BEGIN,৹,1,,
,|,|,CONTINUE,,0,,
,-দ.,-D.,END,৹,1,,
,-,-,,৹,1,,
,-ণ.,-N.,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ণ.,N.,,দ,1,,
,স,s,,য়া,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,^ণ.দ.,^N.+D.,,ত,1,,
,ণ.,N.,,ব,1,,
,|,|,,,0,,
,ণ.,N.,,দ,1,,
,স,s,,য়া,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,^ণ.দ.,^N.+D.,,ত,1,,
,ণ.,N.,,ব,1,,
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,{দ,D,,তো,1,,
,ণ,N,BEGIN,মা,1,,
,-দ,-D,END,৹,1,,
,|,|,,,0,,
,-,-,,য়্,1,,
,দ,D,,দি,1,,
,ণ,N,,তে,1,,
,|,|,,,0,,
,ণ,N,,পূ,1,,
,স',s',,জা,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,ণ,N,,ডা,1,,
,স',s',,লি,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^স'জ্ঞ',^s'+G',,বে,1,,
,জ্ঞ',G',,রি,1,,
,জ্ঞ',G',,য়ে,1,,
,|,|,,,0,,
,র',r',,প,1,,
,জ্ঞ',G',,ড়ে,1,,
,-ঋ'স',-R'+s',,৹ ৹,2,,
,|,|,,,0,,
,স',s',,স,1,,
,স'ঋ',s'+R',,ক ৹,2,,
,-জ্ঞ',-G',,ল্,1,,
,|,|,,,0,,
,ঋ',R',,কা,1,,
,স',s',,লি,1,,
,-},-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ঋ',R',,প,1,,
,^স'ঋ',^s'+R',,রা,1,,
,-,-,,ন্,1,,
,|,|,,,0,,
,স',s',,আ,1,,
,ণ,N,,মা,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,স',s',,পা,1,,
,^ণস',^N+s',,রি,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ণ,N,,নে,1,,
,ণ,N,,তা,1,,
,-দ,-D,,ই,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^দণ,^D+N,,পা,1,,
,ণ,N,,য়ে,1,,
,-ণ,-N,,৹,1,,
,|,|,,,0,,
,দ,D,,থু,1,,
,প,p,,তে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,BEGIN,৹,1,,
,|,|,CONTINUE,,0,,
,-দ.,-D.,END,৹,1,,
,-,-,,৹,1,,
,-ণ.,-N.,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ণ.,N.,,দ,1,,
,স,s,,য়া,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,^ণ.দ.,^N.+D.,,ত,1,,
,ণ.,N.,,ব,1,,
,|,|,,,0,,
,ণ.,N.,,দ,1,,
,স,s,,য়া,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,^ণ.দ.,^N.+D.,,ত,1,,
,ণ.,N.,,ব,1,,
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,{স,s,,এ,1,,
,স,s,,ত,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স,s,,দি,1,,
,-,-,,ন্,1,,
,র,r,,তো,1,,
,|,|,,,0,,
,জ্ঞ,G,,ছি,1,,
,জ্ঞ,G,,ল,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,না,1,,
,ম,m,,মো,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,কো,1,,
,^মপ:,^m+p,,নো,1,,
,-ম:,-m,,৹,1,,
,|,|,,,0,,
,জ্ঞর,G+r,,ব্য ৹,2,,
,জ্ঞ,G,,থা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,BEGIN,৹,1,,
,|,|,CONTINUE,,0,,
,-স,-s,END,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,,স,1,,
,-,-,,র্,1,,
,ম,m,,ব,1,,
,|,|,,,0,,
,জ্ঞ,G,,অ,1,,
,-,-,,ঙ্,1,,
,ম,m,,গে,1,,
,|,|,,,0,,
,^জ্ঞমজ্ঞ,^G+m+G,,মা ৹,2,,
,ঋ,R,,খা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স,s,,ছি,1,,
,^ণ.দ.,^N.+D.,,ল,1,,
,-ণ.,-N.,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,,ম,1,,
,জ্ঞ,G,,লি,1,,
,-জ্ঞ,-G,,৹,1,,
,|,|,,,0,,
,ঋ,R,,ন,1,,
,স,s,,তা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-},-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,{দ,D,,আজ্,1,,
,দ,D,,ও,1,,
,-,-,,ই,1,,
,|,|,,,0,,
,দ,D,,সু,1,,
,-,-,,ভ্,1,,
,ণ,N,,ভ্র,1,,
,|,|,,,0,,
,ণ,N,,কো,1,,
,স',s',,লে,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,ণ,N,,ত,1,,
,স',s',,রে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^স'জ্ঞ',^s'+G',,ব্যা,1,,
,জ্ঞ',G',,কু,1,,
,-,-,,ল্,1,,
,|,|,,,0,,
,র',r',,হৃ,1,,
,জ্ঞ',G',,দ,1,,
,-ঋ'স',-R'+s',,৹ য়্,2,,
,|,|,,,0,,
,স',s',,কেঁ,1,,
,স'ঋ',s'+R',,দে ৹,2,,
,-জ্ঞ',-G',,৹,1,,
,|,|,,,0,,
,ঋ',R',,ম,1,,
,স',s',,রে,1,,
,-},-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ঋ',R',,দি,1,,
,^স'ঋ',^s'+R',,য়ো,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স',s',,না,1,,
,ণ,N,,গো,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,স',s',,দি,1,,
,^ণস',^N+s',,য়ো,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ণ,N,,না,1,,
,ণ,N,,আ,1,,
,-দ,-D,,র্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^দণ,^D+N,,ধু,1,,
,ণ,N,,লা,1,,
,-ণ,-N,,য়্,1,,
,|,|,,,0,,
,দ,D,,শু,1,,
,প,p,,তে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,BEGIN,৹,1,,
,|,|,CONTINUE,,0,,
,-দ.,-D.,END,৹,1,,
,-,-,,৹,1,,
,-ণ.,-N.,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ণ.,N.,,দ,1,,
,স,s,,য়া,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,^ণ.দ.,^N.+D.,,ত,1,,
,ণ.,N.,,ব,1,,
,|,|,,,0,,
,ণ.,N.,,দ,1,,
,স,s,,য়া,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,^ণ.দ.,^N.+D.,,ত,1,,
,ণ.,N.,,ব,1,,
,⌶⌶⌶⌶,⌶⌶⌶⌶,,,0,,
