misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,{ম,m,,পা,1,,
,-ণ,-N,,ণ্,1,,
,ণ,N,,ড,1,,
,|,|,,,0,,
,ণ,N,,ব,1,,
,ণ,N,,আ,1,,
,ণদ,N+D,,মি ৹,2,,
,⌶,⌶,,,0,,
,দ,D,,অ,1,,
,-,-,,র্,1,,
,দপ,D+p,,জু ৹,2,,
,|,|,,,0,,
,প,p,,ন,1,,
,-,-,BEGIN,৹,1,,
,-দ,-D,END,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^দম,^D+m,,গা,1,,
,-,-,,ণ্,1,,
,প,p,,ডী,1,,
,|,|,,,0,,
,প,p,,ব,1,,
,দ,D,,ধ,1,,
,-প,-p,,ন্,1,,
,⌶,⌶,,,0,,
,মগ,m+g,,না ৹,2,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,(^সগ,^s+g,,নৃ,1,,
,ম,m,,প,1,,
,ম,m,,তি,1,,
,|,|,,,0,,
,ম,m,,ক,1,,
,-,-,,৹,1,,
,-গ,-g,,ন্,1,,
,⌶,⌶,,,0,,
,ম,m,BEGIN,না,1,,
,-দ,-D,END,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-প,-p,BEGIN,৹,1,,
,-দ,-D,END BEGIN,৹,1,,
,-ম)},-m,END,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^মদ,^m+D,,ল,1,,
,দ,D,,হো,1,,
,দ,D,,মো,1,,
,|,|,,,0,,
,দ,D,,র,1,,
,^দন,^D+n,,খ্যা,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,স',s',,তি,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,BEGIN,৹,1,,
,-ঋ',-R',END,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^নস',^n+s',,ল,1,,
,^নস',^n+s',,হো,1,,
,^স'দ,^s'+D,,মো,1,,
,|,|,,,0,,
,দ,D,,র,1,,
,ন,n,,কী,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,স',s',,তি,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^স'জ্ঞ',^s'+G',,ল,1,,
,জ্ঞ',G',,হো,1,,
,জ্ঞ',G',,পৌ,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,জ্ঞ',G',,রু,1,,
,জ্ঞ'র',G'+r',,ষ ৹,2,,
,⌶,⌶,,,0,,
,^ম'জ্ঞ',^m'+G',,গ,1,,
,-,-,,৹,1,,
,-ঋ',-R',,র্,1,,
,|,|,,,0,,
,ঋ',R',,ব,1,,
,-স',-s',,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^স'ঋ',^s'+R',,ল,1,,
,ঋ',R',,হো,1,,
,ঋ'স',R'+s',,আ ৹,2,,
,|,|,,,0,,
,ঋ',R',,মা,1,,
,-,-,,৹,1,,
,স'ণ,s'+N,,র ৹,2,,
,⌶,⌶,,,0,,
,ণ,N,,স,1,,
,-,-,,৹,1,,
,-দ,-D,,র্,1,,
,|,|,,,0,,
,দ,D,,ব,1,,
,-প,-p,,৹,1,,
,-মগ,-m+g,,৹ ৹,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,পা,1,,
,-ণ,-N,,ণ্,1,,
,ণ,N,,ড,1,,
,|,|,,,0,,
,ণ,N,,ব,1,,
,ণ,N,,আ,1,,
,ণদ,N+D,,মি,2,,CHECK
,⌶,⌶,,,0,,
,দ,D,,অ,1,,
,-,-,,র্,1,,
,দপ,D+p,,জু ৹,2,,
,|,|,,,0,,
,প,p,,ন্,1,,
,-,-,BEGIN,৹,1,,
,-দ,-D,END,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,^দম,^D+m,,গা,1,,
,-,-,,ণ্,1,,
,প,p,,ডী,1,,
,|,|,,,0,,
,প,p,,ব,1,,
,দ,D,,ধ,1,,
,-প,-p,,ন্,1,,
,⌶,⌶,,,0,,
,মগ,m+g,,না ৹,2,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶⌶⌶⌶,⌶⌶⌶⌶,,,0,,
