misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,গ,g,,প,1,,
,-,-,,থ্,1,,
,গ,g,,ভু,1,,
,|,|,,,0,,
,গ,g,,লে,1,,
,গ,g,,ছি,1,,
,-,-,,স্,1,,
,|,|,,,0,,
,ম,m,,স,1,,
,-,-,,ৎ,1,,
,ম,m,,তি,1,,
,|,|,,,0,,
,ম,m,,ব,1,,
,ম,m,,টে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,সি,1,,
,প,p,,ধে,1,,
,ম,m,,রা,1,,
,|,|,,,0,,
,-,-,,স্,1,,
,গ,g,,তা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,দে,1,,
,-,-,,খ্,1,,
,দ,D,,তে,1,,
,|,|,,,0,,
,প,p,,চা,1,,
,-,-,,৹,1,,
,-,-,,স্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,এ,1,,
,স',s',,ম,1,,
,-,-,,ন্,1,,
,|,|,,,0,,
,ণ,N,,জা,1,,
,-,-,,য়্,1,,
,স',s',,গায়্,1,,
,|,|,,,0,,
,ণ,N,,পা,1,,
,ণ,N,,ঠি,1,,
,দ,D,,য়ে,1,,
,|,|,,,0,,
,প,p,,দে,1,,
,ম,m,,ব,1,,
,-পম,-p+m,,৹ ৹,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,গ,g,,সু,1,,
,গ,g,,খে,1,,
,ম,m,,থা,1,,
,|,|,,,0,,
,-,-,,ক্,1,,
,মপ,m+p,,বি ৹,2,,
,-ম,-m,,৹,1,,
,,,,,0,,
,গ,g,,বা,1,,
,^গম,^g+m,,রো,1,,
,-গ,-g,,৹,1,,
,|,|,,,0,,
,ঋ,R,,মা,1,,
,-স,-s,,৹,1,,
,-,-,,স্,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স',s',,হাঃ,1,,
,-,-,,৹,1,,
,ন,n,,হাঃ,1,,
,|,|,,,0,,
,-দ,-D,,৹,1,,
,প,p,,হাঃ,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,হাঃ,1,,
,-গ,-g,,৹,1,,
,ঋ,R,,হাঃ,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,স,s,,হাঃ,1,,
,-,-,,৹,1,,
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,গ,g,,কে,1,,
,গ,g,,ম,1,,
,-,-,,ন্,1,,
,|,|,,,0,,
,গ,g,,হে,1,,
,গ,g,,ভা,1,,
,-,-,,ই,1,,
,|,|,,,0,,
,ম,m,,কে,1,,
,ম,m,,ম,1,,
,-,-,,ন্,1,,
,|,|,,,0,,
,ম,m,,সে,1,,
,ম,m,,ঠাঁ,1,,
,-,-,,ই,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,ম,1,,
,-,-,,ন্,1,,
,প,p,,দ,1,,
,|,|,,,0,,
,ম,m,,ন,1,,
,গ,g,,হে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,ব,1,,
,-দ,-D,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,প,p,,ড়ো,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,এ,1,,
,-,-,,ক্,1,,
,স',s',,দি,1,,
,|,|,,,0,,
,-ণ,-N,,ন্,1,,
,স',s',,না,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ণ,N,,এ,1,,
,-,-,,ক্,1,,
,দ,D,,দিন্,1,,
,|,|,,,0,,
,প,p,,স,1,,
,ম,m,,বা,1,,
,-পম,-p+m,,৹ ই,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,গ,g,,সে,1,,
,গ,g,,থা,1,,
,-,-,,য়্,1,,
,|,|,,,0,,
,ম,m,,হ,1,,
,ম,m,,ব,1,,
,-প,-p,,৹,1,,
,|,|,,,0,,
,গ,g,,জ,1,,
,-ম,-m,,৹,1,,
,-গ,-g,,৹,1,,
,|,|,,,0,,
,ঋ,R,,ড়ো,1,,
,-স,-s,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স',s',,হাঃ,1,,
,-,-,,৹,1,,
,ন,n,,হাঃ,1,,
,|,|,,,0,,
,-দ,-D,,৹,1,,
,প,p,,হাঃ,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,হাঃ,1,,
,-গ,-g,,৹,1,,
,ঋ,R,,হাঃ,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,স,s,,হাঃ,1,,
,-,-,,৹,1,,
,⌶⌶,⌶⌶,,,0,,
,⌶⌶,⌶⌶,,,0,,
,গ,g,,আ,1,,
,-,-,,য়্,1,,
,গ,g,,সা,1,,
,|,|,,,0,,
,গ,g,,থে,1,,
,গ,g,,আ,1,,
,-,-,,য়্,1,,
,|,|,,,0,,
,ম,m,,রা,1,,
,-,-,,স্,1,,
,ম,m,,তা,1,,
,|,|,,,0,,
,ম,m,,তো,1,,
,ম,m,,রে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,ম,m,,দে,1,,
,ম,m,,খি,1,,
,প,p,,য়ে,1,,
,|,|,,,0,,
,ম,m,,দিই,1,,
,গ,g,,গে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,ত,1,,
,-দ,-D,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,প,p,,বে,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,প,p,,আ,1,,
,-,-,,র্,1,,
,স',s',,তা,1,,
,|,|,,,0,,
,ণ,N,,হ,1,,
,স',s',,লে,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ণ,N,,রা,1,,
,-,-,,স্,1,,
,দ,D,,তা,1,,
,|,|,,,0,,
,প,p,,ভু,1,,
,ম,m,,লে,1,,
,-পম,-p+m,,৹ ৹,2,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,গ,g,,ঘু,1,,
,-,-,,র্,1,,
,গ,g,,তে,1,,
,|,|,,,0,,
,ম,m,,না,1,,
,ম,m,,হি,1,,
,-প,-p,,৹,1,,
,|,|,,,0,,
,গ,g,,হ,1,,
,-ম,-m,,৹,1,,
,-গ,-g,,৹,1,,
,|,|,,,0,,
,ঋ,R,,বে,1,,
,-স,-s,,৹,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স',s',,হাঃ,1,,
,-,-,,৹,1,,
,ন,n,,হাঃ,1,,
,|,|,,,0,,
,-দ,-D,,৹,1,,
,প,p,,হাঃ,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,ম,m,,হাঃ,1,,
,-গ,-g,,৹,1,,
,ঋ,R,,হাঃ,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,স,s,,হাঃ,1,,
,-,-,,৹,1,,
,⌶⌶⌶⌶,⌶⌶⌶⌶,,,0,,
