misc,onote,note,meed,words,noteCount,slurOK,countOK
,⌶⌶,⌶⌶,,,0,,
,{^ণ.দ.,^N.+D.,,তো,1,,
,-ণ.,-N.,,৹,1,,
,স,s,,মা,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-,-,,৹,1,,
,-,-,,য়্,1,,
,সঋ,s+R,,কি ৹,2,,
,^ঋণ.,^R+N.,,ছু,1,,
,|,|,,,0,,
,স,s,,দে,1,,
,-ঋ,-R,,৹,1,,
,ঋজ্ঞ,R+G,,ব ৹,2,,
,-স,-s,,৹,1,,
,|,|,,,0,,
,সঋ,s+R,,ব ৹,2,,
,-ণ.,-N.,,৹,1,,
,স,s,,লে,1,,
,-,-,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,স,s,BEGIN,চা,1,,
,-জ্ঞ,-G,END,৹,1,,
,-,-,,য়্,1,,
,ঋ,R,,যে,1,,
,|,|,,,0,,
,^ঋস,^R+s,,আ,1,,
,-ঋ,-R,,৹,1,,
,^ঋস,^R+s,,মা,1,,
,-ণ.ধ,-N.+d,,র্,2,,CHECK
,|,|,,,0,,
,সঋ,s+R,,ম ৹,2,,
,-জ্ঞ,-G,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,(ঋ,R,,৹,1,CHECK,
,-স',-s',,৹,1,,
,-ণ.,-N.,,৹,1,,
,-স)},-s,,ন্,1,,
,⌶,⌶,,,0,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
|,-,-,,৹,1,,
,⌶,⌶,,,0,,
,⌶,⌶,,,0,,
,স,s,BEGIN,না,1,,
,-দ,-D,END,৹,1,,
,-,-,,ই,1,,
,দ,D,,বা,1,,
,|,|,,,0,,
,দ,D,,তো,1,,
,-,-,,৹,1,,
,^দপ,^D+p,,মা,1,,
,-দ,-D,,৹,1,,
,|,|,,,0,,
,-ম,-m,,৹,1,,
,-প,-p,,৹,1,,
,-,-,,৹,1,,
,-ম,-m,,৹,1,,
,|,|,,,0,,
,-জ্ঞ,-G,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,র্,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶,⌶,,,0,,
,^জ্ঞম,^G+m,,থা,1,,
,-,-,,৹,1,,
,-,-,,ক্,1,,
,হ্ম,M,,ল,1,,
,|,|,,,0,,
,জ্ঞম,G+m,,প্র ৹,2,,
,-,-,,৹,1,,
,জ্ঞ,G,,য়ো,1,,
,-র,-r,,৹,1,,
,|,|,,,0,,
,মজ্ঞ,m+G,,জ ৹,2,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,-,-,,৹,1,,
,|,|,,,0,,
,-ঋ,-R,,৹,1,,
,-স,-s,,৹,1,,
,-ণ.,-N.,,৹,1,,
,-স,-s,,ন্,1,,
,⌶⌶,⌶⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,⌶⌶,⌶⌶,,,0,,
,স,s,,য,1,,
,-দ,-D,,৹,1,,
,দ,D,,খ,1,,
,-,-,,ন্,1,,
,|,|,,,0,,
,দ,D,,তো,1,,
,-,-,,৹,1,,
,প,p,,মা,1,,
,-,-,,র্,1,,
,|,|,,,0,,
,প,p,,পে,1,,
,-,-,,৹,1,,
,প,p,,লে,1,,
,-,-,,ম্,1,,
,|,|,,,0,,
,প,p,,দে,1,,
,-,-,,৹,1,,
,প,p,,খা,1,,
,-ম,-m,,৹,1,,
,⌶,⌶,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
