tstart,tend,fstart,fend,newnote
0,0.1,622.25,698.46,1
0.1,0.4,698.46,698.46,1
0.4,0.5,622.25,698.46,1
0.5,0.8,698.46,698.46,1
0.8,1.2,587.33,587.33,1
1.2,1.6,587.33,587.33,1
1.6,2,523.25,523.25,1
2,2.4,523.25,523.25,1
2.4,2.77,587.33,587.33,1
2.77,2.8,587.33,783.99,0
2.8,3.2,783.99,783.99,0
3.2,3.57,698.46,698.46,1
3.57,3.6,698.46,622.25,0
3.6,3.97,622.25,622.25,0
3.97,4,622.25,622.25,0
4,4.4,622.25,622.25,0
4.4,4.8,622.25,622.25,1
4.8,4.9,622.25,698.46,1
4.9,5.2,698.46,698.46,1
5.2,5.6,698.46,698.46,1
5.6,6,698.46,698.46,1
6,6.4,587.33,587.33,1
6.4,6.8,523.25,523.25,1
6.8,7.2,523.25,523.25,1
7.2,7.6,587.33,587.33,1
7.6,8,587.33,587.33,1
8,8.4,622.25,622.25,1
8.4,8.8,587.33,587.33,1
8.8,8.9,523.25,493.88,1
8.9,9.17,493.88,493.88,1
9.17,9.2,493.88,493.88,0
9.2,9.6,493.88,493.88,0
9.6,9.97,523.25,523.25,1
9.97,10,523.25,523.25,0
10,10.37,523.25,523.25,0
10.37,10.4,523.25,523.25,0
10.4,10.77,523.25,523.25,0
10.77,10.8,523.25,523.25,0
10.8,11.17,523.25,523.25,0
11.17,11.2,523.25,523.25,0
11.2,11.57,523.25,523.25,0
11.57,11.6,523.25,523.25,0
11.6,12,523.25,523.25,0
12,12.17,1046.5,1046.5,1
12.17,12.2,1046.5,1244.51,0
12.2,12.4,1244.51,1244.51,0
12.4,12.8,1244.51,1244.51,1
12.8,13.2,1244.51,1244.51,1
13.2,13.6,1244.51,1244.51,1
13.6,14,1244.51,1244.51,1
14,14.4,1244.51,1244.51,1
14.4,14.57,1244.51,1244.51,1
14.57,14.6,1244.51,1396.91,0
14.6,14.8,1396.91,1396.91,0
14.8,15.2,1396.91,1396.91,1
15.2,15.57,1174.66,1174.66,1
15.57,15.6,1174.66,1046.5,0
15.6,15.97,1046.5,1046.5,0
15.97,16,1046.5,1046.5,0
16,16.37,1046.5,1046.5,0
16.37,16.4,1046.5,1046.5,0
16.4,16.77,1046.5,1046.5,0
16.77,16.8,1046.5,698.46,0
16.8,17.17,698.46,698.46,0
17.17,17.2,698.46,783.99,0
17.2,17.57,783.99,783.99,0
17.57,17.6,783.99,1046.5,0
17.6,17.97,1046.5,1046.5,0
17.97,18,1046.5,987.77,0
18,18.37,987.77,987.77,0
18.37,18.4,987.77,1046.5,0
18.4,18.77,1046.5,1046.5,0
18.77,18.8,1046.5,1174.66,0
18.8,19.17,1174.66,1174.66,0
19.17,19.2,1174.66,987.77,0
19.2,19.57,987.77,987.77,0
19.57,19.6,987.77,1046.5,0
19.6,19.97,1046.5,1046.5,0
19.97,20,1046.5,1046.5,0
20,20.37,1046.5,1046.5,0
20.37,20.4,1046.5,698.46,0
20.4,20.77,698.46,698.46,0
20.77,20.8,698.46,622.25,0
20.8,21.2,622.25,622.25,0
21.2,21.6,622.25,622.25,1
21.6,22,698.46,698.46,1
22,22.4,783.99,783.99,1
22.4,22.57,932.33,932.33,1
22.57,22.6,932.33,783.99,0
22.6,22.8,783.99,783.99,0
22.8,22.97,932.33,932.33,1
22.97,23,932.33,783.99,0
23,23.2,783.99,783.99,0
23.2,23.6,987.77,987.77,1
23.6,24,987.77,987.77,1
24,24.4,987.77,987.77,1
24.4,24.8,987.77,987.77,1
24.8,25.17,1046.5,1046.5,1
25.17,25.2,1046.5,1046.5,0
25.2,25.57,1046.5,1046.5,0
25.57,25.6,1046.5,1046.5,0
25.6,25.97,1046.5,1046.5,0
25.97,26,1046.5,1046.5,0
26,26.4,1046.5,1046.5,0
26.4,26.8,698.46,698.46,1
26.8,27.2,698.46,698.46,1
27.2,27.6,783.99,783.99,1
27.6,28,783.99,783.99,1
28,28.17,932.33,932.33,1
28.17,28.2,932.33,783.99,0
28.2,28.4,783.99,783.99,0
28.4,28.8,987.77,987.77,1
28.8,29.2,987.77,987.77,1
29.2,29.6,987.77,987.77,1
29.6,29.97,1046.5,1046.5,1
29.97,30,1046.5,1046.5,0
30,30.37,1046.5,1046.5,0
30.37,30.4,1046.5,1046.5,0
30.4,30.77,1046.5,1046.5,0
30.77,30.8,1046.5,1046.5,0
30.8,31.2,1046.5,1046.5,0
31.2,31.57,698.46,698.46,1
31.57,31.6,698.46,783.99,0
31.6,32,783.99,783.99,0
32,32.4,783.99,783.99,1
32.4,32.8,783.99,783.99,1
32.8,33.2,783.99,783.99,1
33.2,33.37,783.99,783.99,1
33.37,33.4,783.99,698.46,0
33.4,33.6,698.46,698.46,0
33.6,33.97,783.99,783.99,1
33.97,34,783.99,932.33,0
34,34.4,932.33,932.33,0
34.4,34.57,932.33,932.33,1
34.57,34.6,932.33,880,0
34.6,34.8,880,880,0
34.8,34.97,932.33,932.33,1
34.97,35,932.33,880,0
35,35.2,880,880,0
35.2,35.37,880,880,1
35.37,35.4,880,932.33,0
35.4,35.6,932.33,932.33,0
35.6,36,783.99,783.99,1
36,36.1,783.99,1244.51,1
36.1,36.4,1244.51,1244.51,1
36.4,36.8,1244.51,1244.51,1
36.8,37.2,1244.51,1244.51,1
37.2,37.6,1244.51,1244.51,1
37.6,38,1244.51,1244.51,1
38,38.4,1244.51,1244.51,1
38.4,38.57,1174.66,1174.66,1
38.57,38.6,1174.66,1244.51,0
38.6,38.77,1244.51,1244.51,0
38.77,38.8,1244.51,1396.91,0
38.8,39.2,1396.91,1396.91,0
39.2,39.57,1174.66,1174.66,1
39.57,39.6,1174.66,1174.66,0
39.6,39.97,1174.66,1174.66,0
39.97,40,1174.66,1046.5,0
40,40.37,1046.5,1046.5,0
40.37,40.4,1046.5,1046.5,0
40.4,40.77,1046.5,1046.5,0
40.77,40.8,1046.5,698.46,0
40.8,41.17,698.46,698.46,0
41.17,41.2,698.46,783.99,0
41.2,41.57,783.99,783.99,0
41.57,41.6,783.99,1046.5,0
41.6,41.97,1046.5,1046.5,0
41.97,42,1046.5,987.77,0
42,42.37,987.77,987.77,0
42.37,42.4,987.77,1046.5,0
42.4,42.77,1046.5,1046.5,0
42.77,42.8,1046.5,1174.66,0
42.8,43.17,1174.66,1174.66,0
43.17,43.2,1174.66,987.77,0
43.2,43.57,987.77,987.77,0
43.57,43.6,987.77,1046.5,0
43.6,43.97,1046.5,1046.5,0
43.97,44,1046.5,1046.5,0
44,44.37,1046.5,1046.5,0
44.37,44.4,1046.5,698.46,0
44.4,44.77,698.46,698.46,0
44.77,44.8,698.46,622.25,0
44.8,45.2,622.25,622.25,0
45.2,45.6,622.25,622.25,1
45.6,46,698.46,698.46,1
46,46.4,698.46,698.46,1
46.4,46.8,783.99,783.99,1
46.8,47.2,783.99,783.99,1
47.2,47.6,783.99,783.99,1
47.6,48,783.99,783.99,1
48,48.37,783.99,783.99,1
48.37,48.4,783.99,698.46,0
48.4,48.8,698.46,698.46,0
48.8,49.17,698.46,932.33,1
49.17,49.2,932.33,932.33,0
49.2,49.57,932.33,932.33,0
49.57,49.6,932.33,932.33,0
