tstart,tend,fstart,fend,newnote
0,0.17,783.99,783.99,1
0.17,0.2,783.99,932.33,0
0.2,0.4,932.33,932.33,0
0.4,0.5,932.33,830.61,1
0.5,0.77,830.61,830.61,1
0.77,0.8,830.61,783.99,0
0.8,1.2,783.99,783.99,0
1.2,1.37,698.46,698.46,1
1.37,1.4,698.46,783.99,0
1.4,1.6,783.99,783.99,0
1.6,1.7,783.99,622.25,1
1.7,2,622.25,622.25,1
2,2.4,622.25,622.25,1
2.4,2.8,698.46,698.46,1
2.8,2.9,698.46,554.37,1
2.9,3.2,554.37,554.37,1
3.2,3.6,554.37,554.37,1
3.6,4,622.25,622.25,1
4,4.1,554.37,523.25,1
4.1,4.37,523.25,523.25,1
4.37,4.4,523.25,523.25,0
4.4,4.8,523.25,523.25,0
4.8,5.2,830.61,830.61,1
5.2,5.6,830.61,830.61,1
5.6,6,830.61,830.61,1
6,6.4,830.61,830.61,1
6.4,6.57,830.61,830.61,1
6.57,6.6,830.61,1046.5,0
6.6,6.77,1046.5,1046.5,0
6.77,6.8,1046.5,1108.73,0
6.8,7.17,1108.73,1108.73,0
7.17,7.2,1108.73,932.33,0
7.2,7.37,932.33,932.33,0
7.37,7.4,932.33,1046.5,0
7.4,7.57,1046.5,1046.5,0
7.57,7.6,1046.5,1046.5,0
7.6,7.97,1046.5,1046.5,0
7.97,8,1046.5,1046.5,0
8,8.37,1046.5,1046.5,0
8.37,8.4,1046.5,932.33,0
8.4,8.77,932.33,932.33,0
8.77,8.8,932.33,830.61,0
8.8,9.17,830.61,830.61,0
9.17,9.2,830.61,783.99,0
9.2,9.37,783.99,783.99,0
9.37,9.4,783.99,698.46,0
9.4,9.6,698.46,698.46,0
9.6,9.7,698.46,830.61,1
9.7,10,830.61,830.61,1
10,10.4,830.61,830.61,1
10.4,10.8,830.61,830.61,1
10.8,11.2,830.61,830.61,1
11.2,11.57,1046.5,1046.5,1
11.57,11.6,1046.5,1244.51,0
11.6,12,1244.51,1244.51,0
12,12.1,1244.51,1108.73,1
12.1,12.4,1108.73,1108.73,1
12.4,12.77,1046.5,1046.5,1
12.77,12.8,1046.5,1046.5,0
12.8,13.17,1046.5,1046.5,0
13.17,13.2,1046.5,1046.5,0
13.2,13.6,1046.5,1046.5,0
13.6,14,932.33,932.33,1
14,14.17,830.61,830.61,1
14.17,14.2,830.61,783.99,0
14.2,14.4,783.99,783.99,0
14.4,14.8,523.25,523.25,1
14.8,15.17,523.25,523.25,1
15.17,15.2,523.25,830.61,0
15.2,15.6,830.61,830.61,0
15.6,16,830.61,830.61,1
16,16.1,830.61,783.99,1
16.1,16.37,783.99,783.99,1
16.37,16.4,783.99,783.99,0
16.4,16.77,783.99,783.99,0
16.77,16.8,783.99,783.99,0
16.8,17.17,783.99,783.99,0
17.17,17.2,783.99,783.99,0
17.2,17.57,783.99,783.99,0
17.57,17.6,783.99,783.99,0
