tstart,tend,fstart,fend,newnote
0,0.4,698.46,698.46,1
0.4,0.8,783.99,783.99,1
0.8,1.2,783.99,783.99,1
1.2,1.6,880,880,1
1.6,2,698.46,698.46,1
2,2.37,783.99,783.99,1
2.37,2.4,783.99,783.99,0
2.4,2.8,783.99,783.99,0
2.8,3.2,783.99,783.99,1
3.2,3.6,783.99,783.99,1
3.6,4,880,880,1
4,4.4,880,880,1
4.4,4.8,932.33,932.33,1
4.8,5.2,880,880,1
5.2,5.6,783.99,783.99,1
5.6,5.97,698.46,698.46,1
5.97,6,698.46,783.99,0
6,6.27,783.99,698.46,0
6.27,6.3,698.46,698.46,0
6.3,6.4,698.46,698.46,0
6.4,6.77,698.46,622.25,1
6.77,6.8,622.25,622.25,0
6.8,7.2,622.25,622.25,0
7.2,7.6,622.25,622.25,1
7.6,8,622.25,622.25,1
8,8.4,698.46,698.46,1
8.4,8.8,587.33,587.33,1
8.8,9.2,587.33,587.33,1
9.2,9.6,587.33,587.33,1
9.6,10,523.25,523.25,1
10,10.4,523.25,523.25,1
10.4,10.77,523.25,523.25,1
10.77,10.8,523.25,1046.5,0
10.8,11.2,1046.5,1046.5,0
11.2,11.6,1046.5,1046.5,1
11.6,12,932.33,932.33,1
12,12.4,783.99,783.99,1
12.4,12.5,698.46,622.25,1
12.5,12.77,622.25,622.25,1
12.77,12.8,622.25,622.25,0
12.8,13.2,622.25,622.25,0
13.2,13.37,698.46,698.46,1
13.37,13.4,698.46,587.33,0
13.4,13.57,587.33,587.33,0
13.57,13.6,587.33,698.46,0
13.6,14,698.46,698.46,0
14,14.4,698.46,698.46,1
14.4,14.8,783.99,783.99,1
14.8,14.97,932.33,932.33,1
14.97,15,932.33,783.99,0
15,15.2,783.99,783.99,0
15.2,15.6,987.77,987.77,1
15.6,16,987.77,987.77,1
16,16.4,987.77,987.77,1
16.4,16.8,1046.5,1046.5,1
16.8,17.2,1046.5,1046.5,1
17.2,17.6,1046.5,1046.5,1
17.6,18,1046.5,1046.5,1
18,18.4,1046.5,1046.5,1
18.4,18.8,1046.5,1046.5,1
18.8,19.2,1046.5,1046.5,1
19.2,19.6,1046.5,1046.5,1
19.6,19.77,1046.5,1046.5,1
19.77,19.8,1046.5,987.77,0
19.8,20,987.77,987.77,0
20,20.17,1046.5,1046.5,1
20.17,20.2,1046.5,932.33,0
20.2,20.4,932.33,932.33,0
20.4,20.77,932.33,932.33,1
20.77,20.8,932.33,880,0
20.8,21.2,880,880,0
21.2,21.6,880,880,1
21.6,22,932.33,932.33,1
22,22.4,880,880,1
22.4,22.8,783.99,783.99,1
22.8,23.2,783.99,783.99,1
23.2,23.6,880,880,1
23.6,24,698.46,698.46,1
24,24.4,783.99,783.99,1
24.4,24.8,783.99,783.99,1
24.8,25.2,523.25,523.25,1
25.2,25.6,523.25,523.25,1
25.6,26,523.25,523.25,1
26,26.4,587.33,587.33,1
26.4,26.8,587.33,587.33,1
26.8,27.17,587.33,587.33,1
27.17,27.2,587.33,587.33,0
27.2,27.6,587.33,587.33,0
27.6,27.7,698.46,622.25,1
27.7,27.97,622.25,622.25,1
27.97,28,622.25,622.25,0
28,28.4,622.25,622.25,0
28.4,28.8,622.25,622.25,1
28.8,29.2,622.25,622.25,1
