tstart,tend,fstart,fend,newnote
0,0.37,987.77,987.77,1
0.37,0.4,987.77,1046.5,0
0.4,0.57,1046.5,1046.5,0
0.57,0.6,1046.5,987.77,0
0.6,0.8,987.77,987.77,0
0.8,1.17,1046.5,1046.5,1
1.17,1.2,1046.5,1046.5,0
1.2,1.6,1046.5,1046.5,0
1.6,1.77,1046.5,1046.5,1
1.77,1.8,1046.5,987.77,0
1.8,2,987.77,987.77,0
2,2.17,1046.5,1046.5,1
2.17,2.2,1046.5,987.77,0
2.2,2.4,987.77,987.77,0
2.4,2.8,1174.66,1174.66,1
2.8,2.97,1046.5,1046.5,1
2.97,3,1046.5,987.77,0
3,3.2,987.77,987.77,0
3.2,3.30333333333333,1046.5,1046.5,1
3.30333333333333,3.33333333333333,1046.5,932.33,0
3.33333333333333,3.43666666666667,932.33,932.33,0
3.43666666666667,3.46666666666667,932.33,783.99,0
3.46666666666667,3.57,783.99,783.99,0
3.57,3.6,783.99,932.33,0
3.6,4,932.33,932.33,0
4,4.4,783.99,783.99,1
4.4,4.8,698.46,698.46,1
4.8,5.2,698.46,698.46,1
5.2,5.37,783.99,783.99,1
5.37,5.4,783.99,698.46,0
5.4,5.6,698.46,698.46,0
5.6,6,783.99,783.99,1
6,6.1,783.99,1046.5,1
6.1,6.4,1046.5,1046.5,1
6.4,6.8,1046.5,1046.5,1
6.8,6.97,698.46,698.46,1
6.97,7,698.46,622.25,0
7,7.17,622.25,622.25,0
7.17,7.2,622.25,698.46,0
7.2,7.37,698.46,698.46,0
7.37,7.4,698.46,622.25,0
7.4,7.6,622.25,622.25,0
7.6,7.77,698.46,698.46,1
7.77,7.8,698.46,783.99,0
7.8,8,783.99,783.99,0
8,8.4,587.33,587.33,1
8.4,8.8,523.25,523.25,1
8.8,8.97,523.25,523.25,1
8.97,9,523.25,493.88,0
9,9.2,493.88,493.88,0
9.2,9.57,523.25,523.25,1
9.57,9.6,523.25,523.25,0
9.6,10,523.25,523.25,0
10,10.17,698.46,698.46,1
10.17,10.2,698.46,622.25,0
10.2,10.37,622.25,622.25,0
10.37,10.4,622.25,698.46,0
10.4,10.57,698.46,698.46,0
10.57,10.6,698.46,622.25,0
10.6,10.8,622.25,622.25,0
10.8,11.2,698.46,698.46,1
11.2,11.6,783.99,783.99,1
11.6,11.97,783.99,783.99,1
11.97,12,783.99,783.99,0
12,12.4,783.99,783.99,0
12.4,12.57,932.33,932.33,1
12.57,12.6,932.33,830.61,0
12.6,12.77,830.61,830.61,0
12.77,12.8,830.61,932.33,0
12.8,13.2,932.33,932.33,0
13.2,13.57,783.99,783.99,1
13.57,13.6,783.99,783.99,0
13.6,14,783.99,783.99,0
14,14.37,698.46,698.46,1
14.37,14.4,698.46,783.99,0
14.4,14.8,783.99,783.99,0
14.8,15.17,987.77,987.77,1
15.17,15.2,987.77,1046.5,0
15.2,15.37,1046.5,1046.5,0
15.37,15.4,1046.5,987.77,0
15.4,15.6,987.77,987.77,0
15.6,15.77,1046.5,1046.5,1
15.77,15.8,1046.5,987.77,0
15.8,16,987.77,987.77,0
16,16.27,1174.66,1046.5,1
16.27,16.3,1046.5,1046.5,0
16.3,16.4,1046.5,1046.5,0
16.4,16.57,1046.5,1046.5,1
16.57,16.6,1046.5,987.77,0
16.6,16.77,987.77,987.77,0
16.77,16.8,987.77,1046.5,0
16.8,17.2,1046.5,1046.5,0
17.2,17.3033333333333,1046.5,1046.5,1
17.3033333333333,17.3333333333333,1046.5,932.33,0
17.3333333333333,17.4366666666667,932.33,932.33,0
17.4366666666667,17.4666666666667,932.33,783.99,0
17.4666666666667,17.57,783.99,783.99,0
17.57,17.6,783.99,932.33,0
17.6,18,932.33,932.33,0
18,18.4,783.99,783.99,1
18.4,18.8,698.46,698.46,1
18.8,18.97,932.33,932.33,1
18.97,19,932.33,783.99,0
19,19.17,783.99,783.99,0
19.17,19.2,783.99,932.33,0
19.2,19.37,932.33,932.33,0
19.37,19.4,932.33,783.99,0
19.4,19.6,783.99,783.99,0
19.6,19.97,987.77,987.77,1
19.97,20,987.77,1046.5,0
20,20.17,1046.5,1046.5,0
20.17,20.2,1046.5,987.77,0
20.2,20.4,987.77,987.77,0
20.4,20.8,1046.5,1046.5,1
20.8,21.07,1174.66,1046.5,1
21.07,21.1,1046.5,1046.5,0
21.1,21.2,1046.5,1046.5,0
21.2,21.57,1046.5,1046.5,1
21.57,21.6,1046.5,1046.5,0
21.6,22,1046.5,1046.5,0
22,22.17,1046.5,1046.5,1
22.17,22.2,1046.5,987.77,0
22.2,22.37,987.77,987.77,0
22.37,22.4,987.77,1046.5,0
22.4,22.8,1046.5,1046.5,0
22.8,23.2,1046.5,1046.5,1
23.2,23.37,1046.5,1046.5,1
23.37,23.4,1046.5,987.77,0
23.4,23.6,987.77,987.77,0
23.6,23.77,1046.5,1046.5,1
23.77,23.8,1046.5,987.77,0
23.8,24,987.77,987.77,0
24,24.4,1046.5,1046.5,1
24.4,24.5,1046.5,1396.91,1
24.5,24.8,1396.91,1396.91,1
24.8,25.07,1174.66,1046.5,1
25.07,25.1,1046.5,1046.5,0
25.1,25.2,1046.5,1046.5,0
25.2,25.37,1046.5,1046.5,1
25.37,25.4,1046.5,987.77,0
25.4,25.6,987.77,987.77,0
25.6,25.77,1046.5,1046.5,1
25.77,25.8,1046.5,932.33,0
25.8,26,932.33,932.33,0
26,26.17,932.33,932.33,1
26.17,26.2,932.33,830.61,0
26.2,26.4,830.61,830.61,0
