tstart,tend,fstart,fend,newnote
0,0.37,523.25,523.25,1
0.37,0.4,523.25,523.25,0
0.4,0.77,523.25,523.25,0
0.77,0.8,523.25,1046.5,0
0.8,1.2,1046.5,1046.5,0
1.2,1.57,932.33,830.61,1
1.57,1.6,830.61,830.61,0
1.6,2,830.61,830.61,0
2,2.1,830.61,932.33,1
2.1,2.4,932.33,932.33,1
2.4,2.8,830.61,830.61,1
2.8,3.17,783.99,783.99,1
3.17,3.2,783.99,698.46,0
3.2,3.6,698.46,698.46,0
3.6,3.97,783.99,783.99,1
3.97,4,783.99,932.33,0
4,4.4,932.33,932.33,0
4.4,4.8,830.61,830.61,1
4.8,4.9,698.46,622.25,1
4.9,5.2,622.25,622.25,1
5.2,5.6,622.25,622.25,1
5.6,6,698.46,698.46,1
6,6.4,622.25,622.25,1
6.4,6.8,554.37,554.37,1
6.8,7.2,523.25,523.25,1
7.2,7.6,554.37,554.37,1
7.6,8,523.25,523.25,1
8,8.1,466.16,415.3,1
8.1,8.4,415.3,415.3,1
8.4,8.8,466.16,466.16,1
8.8,9.17,523.25,523.25,1
9.17,9.2,523.25,554.37,0
9.2,9.6,554.37,554.37,0
9.6,10,622.25,622.25,1
10,10.4,622.25,622.25,1
10.4,10.8,698.46,698.46,1
10.8,11.2,698.46,698.46,1
11.2,11.57,783.99,783.99,1
11.57,11.6,783.99,932.33,0
11.6,12,932.33,932.33,0
12,12.4,830.61,830.61,1
12.4,12.8,783.99,783.99,1
12.8,13.17,698.46,698.46,1
13.17,13.2,698.46,783.99,0
13.2,13.57,783.99,783.99,0
13.57,13.6,783.99,622.25,0
13.6,13.77,622.25,622.25,0
13.77,13.8,622.25,698.46,0
13.8,13.97,698.46,698.46,0
13.97,14,698.46,622.25,0
14,14.37,622.25,622.25,0
14.37,14.4,622.25,554.37,0
14.4,14.8,554.37,554.37,0
14.8,15.17,523.25,523.25,1
15.17,15.2,523.25,523.25,0
15.2,15.6,523.25,523.25,0
15.6,16,830.61,830.61,1
16,16.4,830.61,830.61,1
16.4,16.8,830.61,830.61,1
16.8,17.2,932.33,932.33,1
17.2,17.6,932.33,932.33,1
17.6,18,1046.5,1046.5,1
18,18.4,1046.5,1046.5,1
18.4,18.77,1046.5,1046.5,1
18.77,18.8,1046.5,1046.5,0
18.8,19.2,1046.5,1046.5,0
19.2,19.6,1046.5,1046.5,1
19.6,20,830.61,830.61,1
20,20.17,1244.51,1244.51,1
20.17,20.2,1244.51,1108.73,0
20.2,20.4,1108.73,1108.73,0
20.4,20.57,1244.51,1244.51,1
20.57,20.6,1244.51,1108.73,0
20.6,20.8,1108.73,1108.73,0
20.8,21.2,1244.51,1244.51,1
21.2,21.6,1396.91,1396.91,1
21.6,21.97,1396.91,1396.91,1
21.97,22,1396.91,1396.91,0
22,22.37,1396.91,1396.91,0
22.37,22.4,1396.91,1396.91,0
22.4,22.77,1396.91,1396.91,0
22.77,22.8,1396.91,1396.91,0
22.8,23.17,1396.91,830.61,0
23.17,23.2,830.61,830.61,0
23.2,23.6,830.61,830.61,0
23.6,23.97,783.99,783.99,1
23.97,24,783.99,830.61,0
24,24.37,830.61,830.61,0
24.37,24.4,830.61,932.33,0
24.4,24.77,932.33,932.33,0
24.77,24.8,932.33,1046.5,0
24.8,25.17,1046.5,1046.5,0
25.17,25.2,1046.5,1108.73,0
25.2,25.57,1108.73,1108.73,0
25.57,25.6,1108.73,1244.51,0
25.6,25.97,1244.51,1244.51,0
25.97,26,1244.51,1244.51,0
26,26.17,1244.51,1244.51,0
26.17,26.2,1244.51,1046.5,0
26.2,26.37,1046.5,1046.5,0
26.37,26.4,1046.5,1108.73,0
26.4,26.57,1108.73,1108.73,0
26.57,26.6,1108.73,932.33,0
26.6,26.8,932.33,932.33,0
26.8,27.17,1046.5,1046.5,1
27.17,27.2,1046.5,1046.5,0
27.2,27.6,1046.5,1046.5,0
27.6,27.97,830.61,830.61,1
27.97,28,830.61,1046.5,0
28,28.17,1046.5,1046.5,0
28.17,28.2,1046.5,932.33,0
28.2,28.4,932.33,932.33,0
28.4,28.8,1046.5,1046.5,1
28.8,29.2,1046.5,1046.5,1
29.2,29.57,1046.5,1046.5,1
29.57,29.6,1046.5,1108.73,0
29.6,29.77,1108.73,1108.73,0
29.77,29.8,1108.73,1046.5,0
29.8,30,1046.5,1046.5,0
30,30.4,932.33,932.33,1
30.4,30.57,1046.5,1046.5,1
30.57,30.6,1046.5,932.33,0
30.6,30.8,932.33,932.33,0
30.8,31.2,830.61,830.61,1
31.2,31.37,783.99,783.99,1
31.37,31.4,783.99,698.46,0
31.4,31.6,698.46,698.46,0
31.6,31.97,783.99,783.99,1
31.97,32,783.99,932.33,0
32,32.37,932.33,932.33,0
32.37,32.4,932.33,830.61,0
32.4,32.77,830.61,830.61,0
32.77,32.8,830.61,783.99,0
32.8,33.17,783.99,783.99,0
33.17,33.2,783.99,698.46,0
33.2,33.57,698.46,698.46,0
33.57,33.6,698.46,783.99,0
33.6,33.97,783.99,783.99,0
33.97,34,783.99,622.25,0
34,34.17,622.25,622.25,0
34.17,34.2,622.25,698.46,0
34.2,34.37,698.46,698.46,0
34.37,34.4,698.46,622.25,0
34.4,34.77,622.25,622.25,0
34.77,34.8,622.25,554.37,0
34.8,35.2,554.37,554.37,0
35.2,35.57,523.25,523.25,1
35.57,35.6,523.25,523.25,0
35.6,36,523.25,523.25,0
36,36.4,523.25,523.25,1
36.4,36.8,523.25,523.25,1
36.8,37.2,523.25,523.25,1
37.2,37.6,554.37,554.37,1
37.6,38,622.25,622.25,1
38,38.4,622.25,622.25,1
38.4,38.8,698.46,698.46,1
38.8,39.17,698.46,698.46,1
39.17,39.2,698.46,698.46,0
39.2,39.57,698.46,698.46,0
39.57,39.6,698.46,698.46,0
39.6,40,698.46,698.46,0
40,40.4,698.46,698.46,1
40.4,40.8,698.46,698.46,1
40.8,41.2,739.99,739.99,1
41.2,41.6,698.46,698.46,1
41.6,41.97,622.25,622.25,1
41.97,42,622.25,554.37,0
42,42.4,554.37,554.37,0
42.4,42.77,622.25,622.25,1
42.77,42.8,622.25,622.25,0
42.8,43.17,622.25,622.25,0
43.17,43.2,622.25,622.25,0
43.2,43.57,622.25,622.25,0
43.57,43.6,622.25,622.25,0
43.6,44,622.25,622.25,0
44,44.4,415.3,415.3,1
44.4,44.8,415.3,415.3,1
44.8,45.2,466.16,466.16,1
45.2,45.6,622.25,622.25,1
45.6,46,622.25,622.25,1
46,46.4,698.46,698.46,1
46.4,46.8,622.25,622.25,1
46.8,47.2,554.37,554.37,1
47.2,47.6,523.25,523.25,1
47.6,48,523.25,523.25,1
48,48.37,783.99,783.99,1
48.37,48.4,783.99,932.33,0
48.4,48.8,932.33,932.33,0
48.8,49.2,830.61,830.61,1
49.2,49.6,783.99,783.99,1
49.6,49.97,698.46,698.46,1
49.97,50,698.46,783.99,0
50,50.4,783.99,783.99,0
50.4,50.57,622.25,622.25,1
50.57,50.6,622.25,698.46,0
50.6,50.77,698.46,698.46,0
50.77,50.8,698.46,622.25,0
50.8,51.17,622.25,622.25,0
51.17,51.2,622.25,554.37,0
51.2,51.6,554.37,554.37,0
51.6,52,523.25,523.25,1
52,52.37,830.61,830.61,1
52.37,52.4,830.61,783.99,0
52.4,52.47,783.99,830.61,0
52.47,52.5,830.61,830.61,0
52.5,52.8,830.61,830.61,0
52.8,53.2,698.46,698.46,1
53.2,53.57,830.61,830.61,1
53.57,53.6,830.61,932.33,0
