tstart,tend,fstart,fend,newnote
0,0.4,523.25,523.25,1
0.4,0.5,523.25,493.88,1
0.5,0.8,493.88,493.88,1
0.8,1.2,523.25,523.25,1
1.2,1.57,523.25,523.25,1
1.57,1.6,523.25,587.33,0
1.6,1.77,587.33,587.33,0
1.77,1.8,587.33,622.25,0
1.8,1.97,622.25,622.25,0
1.97,2,622.25,587.33,0
2,2.07,587.33,523.25,0
2.07,2.1,523.25,523.25,0
2.1,2.37,523.25,523.25,0
2.37,2.4,523.25,587.33,0
2.4,2.8,587.33,587.33,0
2.8,3.17,587.33,783.99,1
3.17,3.2,783.99,783.99,0
3.2,3.57,783.99,783.99,0
3.57,3.6,783.99,783.99,0
3.6,3.97,783.99,783.99,0
3.97,4,783.99,783.99,0
4,4.37,783.99,783.99,0
4.37,4.4,783.99,783.99,0
4.4,4.77,783.99,783.99,0
4.77,4.8,783.99,880,0
4.8,5.2,880,880,0
5.2,5.3,880,698.46,1
5.3,5.6,698.46,698.46,1
5.6,6,698.46,698.46,1
6,6.4,783.99,783.99,1
6.4,6.8,783.99,783.99,1
6.8,7.17,783.99,783.99,1
7.17,7.2,783.99,880,0
7.2,7.6,880,880,0
7.6,7.7,880,698.46,1
7.7,8,698.46,698.46,1
8,8.4,698.46,698.46,1
8.4,8.8,783.99,783.99,1
8.8,8.9,783.99,698.46,1
8.9,9.17,698.46,932.33,1
9.17,9.2,932.33,932.33,0
9.2,9.57,932.33,932.33,0
9.57,9.6,932.33,932.33,0
9.6,9.67,932.33,880,0
9.67,9.7,880,880,0
9.7,10,880,880,0
10,10.17,783.99,783.99,1
10.17,10.2,783.99,698.46,0
10.2,10.37,698.46,698.46,0
10.37,10.4,698.46,622.25,0
10.4,10.77,622.25,622.25,0
10.77,10.8,622.25,622.25,0
10.8,11.17,622.25,622.25,0
11.17,11.2,622.25,622.25,0
11.2,11.57,622.25,622.25,0
11.57,11.6,622.25,587.33,0
11.6,11.77,587.33,587.33,0
11.77,11.8,587.33,523.25,0
11.8,11.97,523.25,523.25,0
11.97,12,523.25,587.33,0
12,12.4,587.33,587.33,0
12.4,12.8,587.33,587.33,1
12.8,13.2,587.33,587.33,1
13.2,13.6,783.99,783.99,1
13.6,13.7,783.99,698.46,1
13.7,14,698.46,698.46,1
14,14.17,783.99,783.99,1
14.17,14.2,783.99,880,0
14.2,14.37,880,880,0
14.37,14.4,880,698.46,0
14.4,14.6,698.46,698.46,0
14.6,14.8,783.99,783.99,1
14.8,14.9,783.99,698.46,1
14.9,15.2,698.46,698.46,1
15.2,15.37,622.25,622.25,1
15.37,15.4,622.25,587.33,0
15.4,15.57,587.33,587.33,0
15.57,15.6,587.33,698.46,0
15.6,15.67,698.46,622.25,0
15.67,15.7,622.25,622.25,0
15.7,16,622.25,622.25,0
16,16.1,622.25,587.33,1
16.1,16.4,587.33,587.33,1
16.4,16.77,523.25,523.25,1
16.77,16.8,523.25,587.33,0
16.8,17.2,587.33,587.33,0
17.2,17.57,587.33,587.33,1
17.57,17.6,587.33,987.77,0
17.6,18,987.77,987.77,0
18,18.4,987.77,987.77,1
18.4,18.8,987.77,987.77,1
18.8,19.2,987.77,987.77,1
19.2,19.6,987.77,987.77,1
19.6,20,987.77,987.77,1
20,20.4,987.77,987.77,1
20.4,20.8,987.77,987.77,1
20.8,21.2,987.77,987.77,1
21.2,21.6,987.77,987.77,1
21.6,22,1046.5,1046.5,1
22,22.1,1046.5,987.77,1
22.1,22.4,987.77,987.77,1
22.4,22.57,1174.66,1174.66,1
22.57,22.6,1174.66,1046.5,0
22.6,22.77,1046.5,1046.5,0
22.77,22.8,1046.5,783.99,0
22.8,23.2,783.99,783.99,0
23.2,23.3,783.99,987.77,1
23.3,23.6,987.77,987.77,1
23.6,24,987.77,987.77,1
24,24.4,987.77,987.77,1
24.4,24.77,1046.5,1046.5,1
24.77,24.8,1046.5,1046.5,0
24.8,25.2,1046.5,1046.5,0
25.2,25.6,1046.5,1046.5,1
25.6,25.7,1046.5,987.77,1
25.7,26,987.77,987.77,1
26,26.4,1046.5,1046.5,1
26.4,26.8,1046.5,1046.5,1
26.8,27.2,1174.66,1174.66,1
27.2,27.57,1174.66,1174.66,1
27.57,27.6,1174.66,1174.66,0
27.6,28,1174.66,1174.66,0
28,28.37,1174.66,1174.66,1
28.37,28.4,1174.66,1396.91,0
28.4,28.8,1396.91,1396.91,0
28.8,29.2,1396.91,1396.91,1
29.2,29.3,1396.91,1174.66,1
29.3,29.6,1174.66,1174.66,1
29.6,29.97,1046.5,1046.5,1
29.97,30,1046.5,987.77,0
30,30.4,987.77,987.77,0
30.4,30.57,987.77,987.77,1
30.57,30.6,987.77,1174.66,0
30.6,30.8,1174.66,1174.66,0
30.8,30.9,1174.66,1046.5,1
30.9,31.2,1046.5,1046.5,1
31.2,31.6,1046.5,1046.5,1
31.6,31.7,1046.5,932.33,1
31.7,31.97,932.33,932.33,1
31.97,32,932.33,932.33,0
32,32.37,932.33,932.33,0
32.37,32.4,932.33,932.33,0
32.4,32.77,932.33,932.33,0
32.77,32.8,932.33,932.33,0
32.8,33.17,932.33,932.33,0
33.17,33.2,932.33,932.33,0
33.2,33.6,932.33,932.33,0
33.6,34,932.33,932.33,1
34,34.1,932.33,880,1
34.1,34.4,880,880,1
34.4,34.77,880,880,1
34.77,34.8,880,932.33,0
34.8,35.2,932.33,932.33,0
35.2,35.3,932.33,880,1
35.3,35.6,880,880,1
35.6,36,880,880,1
36,36.17,783.99,783.99,1
36.17,36.2,783.99,698.46,0
36.2,36.4,698.46,698.46,0
36.4,36.77,783.99,932.33,1
36.77,36.8,932.33,932.33,0
36.8,37.17,932.33,932.33,0
37.17,37.2,932.33,932.33,0
37.2,37.57,932.33,932.33,0
37.57,37.6,932.33,932.33,0
37.6,37.97,932.33,932.33,0
37.97,38,932.33,932.33,0
38,38.37,932.33,932.33,0
38.37,38.4,932.33,932.33,0
38.4,38.77,932.33,932.33,0
38.77,38.8,932.33,932.33,0
38.8,39.2,932.33,932.33,0
39.2,39.57,880,880,1
39.57,39.6,880,932.33,0
39.6,40,932.33,932.33,0
40,40.1,932.33,880,1
40.1,40.4,880,880,1
40.4,40.8,880,880,1
40.8,41.2,932.33,932.33,1
41.2,41.3,932.33,880,1
41.3,41.6,880,880,1
41.6,42,783.99,783.99,1
42,42.4,783.99,783.99,1
42.4,42.77,783.99,783.99,1
42.77,42.8,783.99,880,0
42.8,43.2,880,880,0
43.2,43.6,698.46,698.46,1
43.6,44,783.99,783.99,1
44,44.4,783.99,783.99,1
44.4,44.8,783.99,783.99,1
44.8,44.97,783.99,783.99,1
44.97,45,783.99,1046.5,0
45,45.2,1046.5,1046.5,0
45.2,45.3,1046.5,932.33,1
45.3,45.6,932.33,932.33,1
45.6,46,932.33,932.33,1
46,46.1,932.33,880,1
46.1,46.4,880,880,1
46.4,46.8,932.33,932.33,1
46.8,47.2,932.33,932.33,1
47.2,47.37,880,880,1
47.37,47.4,880,1046.5,0
47.4,47.6,1046.5,1046.5,0
47.6,47.7,1046.5,932.33,1
47.7,47.97,932.33,932.33,1
47.97,48,932.33,932.33,0
48,48.4,932.33,932.33,0
48.4,48.5,932.33,880,1
48.5,48.8,880,880,1
48.8,49.17,783.99,783.99,1
49.17,49.2,783.99,880,0
49.2,49.6,880,880,0
49.6,49.7,880,698.46,1
49.7,50,698.46,698.46,1
50,50.37,783.99,783.99,1
50.37,50.4,783.99,880,0
50.4,50.8,880,880,0
50.8,50.9,880,698.46,1
50.9,51.17,698.46,932.33,1
51.17,51.2,932.33,932.33,0
51.2,51.57,932.33,932.33,0
51.57,51.6,932.33,932.33,0
51.6,51.67,932.33,880,0
51.67,51.7,880,880,0
51.7,52,880,880,0
52,52.17,783.99,783.99,1
52.17,52.2,783.99,698.46,0
52.2,52.37,698.46,698.46,0
52.37,52.4,698.46,622.25,0
52.4,52.77,622.25,622.25,0
52.77,52.8,622.25,622.25,0
52.8,53.17,622.25,622.25,0
53.17,53.2,622.25,622.25,0
53.2,53.57,622.25,622.25,0
53.57,53.6,622.25,587.33,0
53.6,53.77,587.33,587.33,0
53.77,53.8,587.33,523.25,0
53.8,53.97,523.25,523.25,0
53.97,54,523.25,587.33,0
54,54.4,587.33,587.33,0
54.4,54.8,587.33,587.33,1
54.8,55.2,587.33,587.33,1
55.2,55.6,783.99,783.99,1
55.6,55.7,783.99,698.46,1
55.7,56,698.46,698.46,1
56,56.17,783.99,783.99,1
56.17,56.2,783.99,880,0
56.2,56.37,880,880,0
56.37,56.4,880,698.46,0
56.4,56.6,698.46,698.46,0
56.6,56.8,783.99,783.99,1
56.8,56.9,783.99,698.46,1
56.9,57.2,698.46,698.46,1
57.2,57.37,622.25,622.25,1
57.37,57.4,622.25,587.33,0
57.4,57.57,587.33,587.33,0
57.57,57.6,587.33,698.46,0
57.6,57.67,698.46,622.25,0
57.67,57.7,622.25,622.25,0
57.7,58,622.25,622.25,0
58,58.1,622.25,587.33,1
58.1,58.4,587.33,587.33,1
58.4,58.77,523.25,523.25,1
58.77,58.8,523.25,587.33,0
58.8,59.2,587.33,587.33,0
59.2,59.6,587.33,587.33,1
59.6,60,523.25,523.25,1
60,60.4,523.25,523.25,1
60.4,60.77,523.25,523.25,1
60.77,60.8,523.25,622.25,0
60.8,61.2,622.25,622.25,0
61.2,61.6,622.25,622.25,1
61.6,61.7,622.25,587.33,1
61.7,62,587.33,587.33,1
62,62.4,622.25,622.25,1
62.4,62.8,622.25,622.25,1
62.8,62.97,622.25,622.25,1
62.97,63,622.25,783.99,0
63,63.2,783.99,783.99,0
63.2,63.3,783.99,698.46,1
63.3,63.57,698.46,698.46,1
63.57,63.6,698.46,698.46,0
63.6,64,698.46,698.46,0
64,64.1,698.46,587.33,1
64.1,64.4,587.33,587.33,1
64.4,64.57,698.46,698.46,1
64.57,64.6,698.46,622.25,0
64.6,64.77,622.25,622.25,0
64.77,64.8,622.25,587.33,0
64.8,65.2,587.33,587.33,0
65.2,65.3,587.33,523.25,1
65.3,65.6,523.25,523.25,1
65.6,65.97,587.33,587.33,1
65.97,66,587.33,587.33,0
66,66.07,587.33,523.25,0
66.07,66.1,523.25,523.25,0
66.1,66.4,523.25,523.25,0
66.4,66.5,523.25,493.88,1
66.5,66.8,493.88,493.88,1
66.8,67.17,523.25,523.25,1
67.17,67.2,523.25,523.25,0
67.2,67.6,523.25,523.25,0
67.6,68,523.25,523.25,1
68,68.4,659.26,659.26,1
68.4,68.8,659.26,659.26,1
68.8,69.2,698.46,698.46,1
69.2,69.57,783.99,783.99,1
69.57,69.6,783.99,880,0
69.6,69.8,880,880,0
69.8,70,783.99,783.99,1
70,70.1,783.99,698.46,1
70.1,70.4,698.46,698.46,1
70.4,70.57,622.25,622.25,1
70.57,70.6,622.25,587.33,0
70.6,70.77,587.33,587.33,0
70.77,70.8,587.33,698.46,0
70.8,70.87,698.46,622.25,0
70.87,70.9,622.25,622.25,0
70.9,71.2,622.25,622.25,0
71.2,71.6,587.33,587.33,1
71.6,71.97,523.25,523.25,1
71.97,72,523.25,523.25,0
72,72.37,523.25,523.25,0
72.37,72.4,523.25,523.25,0
72.4,72.77,523.25,523.25,0
72.77,72.8,523.25,523.25,0
72.8,73.17,523.25,523.25,0
73.17,73.2,523.25,523.25,0
73.2,73.57,523.25,523.25,0
73.57,73.6,523.25,523.25,0
73.6,74,523.25,523.25,0
74,74.4,698.46,698.46,1
74.4,74.8,698.46,698.46,1
74.8,74.9,783.99,698.46,1
74.9,75.2,698.46,698.46,1
75.2,75.57,783.99,783.99,1
75.57,75.6,783.99,783.99,0
75.6,76,783.99,783.99,0
76,76.17,783.99,783.99,1
76.17,76.2,783.99,932.33,0
76.2,76.4,932.33,932.33,0
76.4,76.5,932.33,783.99,1
76.5,76.77,783.99,783.99,1
76.77,76.8,783.99,987.77,0
76.8,77.2,987.77,987.77,0
77.2,77.6,987.77,987.77,1
77.6,77.8,523.25,523.25,1
77.8,78,1046.5,1046.5,1
78,78.4,1046.5,1046.5,1
78.4,78.57,1046.5,1046.5,1
78.57,78.6,1046.5,987.77,0
78.6,78.8,987.77,987.77,0
78.8,79.17,1046.5,1046.5,1
79.17,79.2,1046.5,783.99,0
79.2,79.6,783.99,783.99,0
79.6,80,783.99,783.99,1
80,80.4,987.77,987.77,1
80.4,80.8,987.77,987.77,1
80.8,80.97,987.77,987.77,1
80.97,81,987.77,1046.5,0
81,81.17,1046.5,1046.5,0
81.17,81.2,1046.5,1046.5,0
81.2,81.57,1046.5,1046.5,0
81.57,81.6,1046.5,1046.5,0
81.6,81.97,1046.5,1046.5,0
81.97,82,1046.5,1046.5,0
82,82.37,1046.5,1046.5,0
82.37,82.4,1046.5,1046.5,0
82.4,82.77,1046.5,1046.5,0
82.77,82.8,1046.5,1046.5,0
82.8,83.17,1046.5,1046.5,0
83.17,83.2,1046.5,1046.5,0
83.2,83.57,1046.5,1046.5,0
83.57,83.6,1046.5,1046.5,0
83.6,84,1046.5,1046.5,0
84,84.4,1046.5,1046.5,1
84.4,84.5,1046.5,987.77,1
