tstart,tend,fstart,fend,newnote
0,0.4,523.25,523.25,1
0.4,0.77,587.33,587.33,1
0.77,0.8,587.33,659.26,0
0.8,1.2,659.26,659.26,0
1.2,1.3,659.26,587.33,1
1.3,1.57,587.33,587.33,1
1.57,1.6,587.33,659.26,0
1.6,1.77,659.26,659.26,0
1.77,1.8,659.26,783.99,0
1.8,2,783.99,783.99,0
2,2.1,783.99,698.46,1
2.1,2.4,698.46,698.46,1
2.4,2.8,659.26,659.26,1
2.8,3.17,659.26,659.26,1
3.17,3.2,659.26,659.26,0
3.2,3.6,659.26,659.26,0
3.6,4,659.26,659.26,1
4,4.37,698.46,698.46,1
4.37,4.4,698.46,659.26,0
4.4,4.8,659.26,659.26,0
4.8,4.9,659.26,587.33,1
4.9,5.2,587.33,587.33,1
5.2,5.57,587.33,587.33,1
5.57,5.6,587.33,659.26,0
5.6,5.8,659.26,659.26,0
5.8,6,698.46,698.46,1
6,6.1,698.46,659.26,1
6.1,6.4,659.26,659.26,1
6.4,6.77,587.33,659.26,1
6.77,6.8,659.26,659.26,0
6.8,7.2,659.26,659.26,0
7.2,7.37,659.26,659.26,1
7.37,7.4,659.26,783.99,0
7.4,7.6,783.99,783.99,0
7.6,7.97,783.99,783.99,1
7.97,8,783.99,783.99,0
8,8.4,783.99,783.99,0
8.4,8.8,739.99,739.99,1
8.8,9.17,783.99,783.99,1
9.17,9.2,783.99,783.99,0
9.2,9.6,783.99,783.99,0
9.6,10,739.99,739.99,1
10,10.37,783.99,783.99,1
10.37,10.4,783.99,783.99,0
10.4,10.8,783.99,783.99,0
10.8,11.2,880,880,1
11.2,11.57,987.77,987.77,1
11.57,11.6,987.77,987.77,0
11.6,12,987.77,987.77,0
12,12.4,783.99,783.99,1
12.4,12.8,880,880,1
12.8,13.2,783.99,783.99,1
13.2,13.37,698.46,698.46,1
13.37,13.4,698.46,659.26,0
13.4,13.6,659.26,659.26,0
13.6,13.97,587.33,659.26,1
13.97,14,659.26,659.26,0
14,14.4,659.26,659.26,0
14.4,14.8,659.26,659.26,1
14.8,15.2,659.26,659.26,1
15.2,15.57,783.99,783.99,1
15.57,15.6,783.99,880,0
15.6,16,880,880,0
16,16.37,880,1046.5,1
16.37,16.4,1046.5,1046.5,0
16.4,16.8,1046.5,1046.5,0
16.8,17.2,1046.5,1046.5,1
17.2,17.37,1046.5,1046.5,1
17.37,17.4,1046.5,987.77,0
17.4,17.6,987.77,987.77,0
17.6,17.77,1174.66,1174.66,1
17.77,17.8,1174.66,1046.5,0
17.8,17.97,1046.5,1046.5,0
17.97,18,1046.5,1046.5,0
18,18.37,1046.5,1046.5,0
18.37,18.4,1046.5,1046.5,0
18.4,18.77,1046.5,1046.5,0
18.77,18.8,1046.5,1046.5,0
18.8,19.2,1046.5,1046.5,0
19.2,19.6,1046.5,1046.5,1
19.6,19.97,987.77,987.77,1
19.97,20,987.77,880,0
20,20.4,880,880,0
20.4,20.8,880,880,1
20.8,21.2,880,880,1
21.2,21.37,783.99,783.99,1
21.37,21.4,783.99,880,0
21.4,21.57,880,880,0
21.57,21.6,880,987.77,0
21.6,21.77,987.77,987.77,0
21.77,21.8,987.77,1046.5,0
21.8,22,1046.5,1046.5,0
22,22.17,880,880,1
22.17,22.2,880,987.77,0
22.2,22.4,987.77,987.77,0
22.4,22.57,880,880,1
22.57,22.6,880,783.99,0
22.6,22.77,783.99,783.99,0
22.77,22.8,783.99,783.99,0
22.8,23.17,783.99,783.99,0
23.17,23.2,783.99,739.99,0
23.2,23.57,739.99,739.99,0
23.57,23.6,739.99,659.26,0
23.6,24,659.26,659.26,0
24,24.4,659.26,659.26,1
24.4,24.8,659.26,659.26,1
24.8,25.17,783.99,783.99,1
25.17,25.2,783.99,880,0
25.2,25.6,880,880,0
25.6,26,783.99,783.99,1
26,26.4,783.99,783.99,1
26.4,26.8,783.99,783.99,1
26.8,27.2,783.99,783.99,1
27.2,27.3,783.99,739.99,1
27.3,27.6,739.99,739.99,1
27.6,27.97,783.99,783.99,1
27.97,28,783.99,783.99,0
28,28.4,783.99,783.99,0
28.4,28.8,880,880,1
28.8,29.17,987.77,987.77,1
29.17,29.2,987.77,880,0
29.2,29.6,880,880,0
29.6,30,783.99,783.99,1
30,30.17,783.99,783.99,1
30.17,30.2,783.99,880,0
30.2,30.4,880,880,0
30.4,30.5,880,783.99,1
30.5,30.8,783.99,783.99,1
30.8,30.97,698.46,698.46,1
30.97,31,698.46,659.26,0
31,31.2,659.26,659.26,0
31.2,31.57,587.33,587.33,1
31.57,31.6,587.33,659.26,0
31.6,32,659.26,659.26,0
32,32.4,987.77,987.77,1
32.4,32.8,987.77,987.77,1
32.8,33.2,1046.5,1046.5,1
33.2,33.6,1174.66,1174.66,1
33.6,33.7,1174.66,1046.5,1
33.7,34,1046.5,1046.5,1
34,34.37,932.33,932.33,1
34.37,34.4,932.33,932.33,0
34.4,34.8,932.33,932.33,0
34.8,35.2,880,880,1
35.2,35.57,783.99,783.99,1
35.57,35.6,783.99,880,0
35.6,36,880,880,0
36,36.4,698.46,698.46,1
36.4,36.77,783.99,783.99,1
36.77,36.8,783.99,783.99,0
36.8,37.2,783.99,783.99,0
37.2,37.37,698.46,698.46,1
37.37,37.4,698.46,783.99,0
37.4,37.57,783.99,783.99,0
37.57,37.6,783.99,880,0
37.6,37.77,880,880,0
37.77,37.8,880,932.33,0
37.8,38,932.33,932.33,0
38,38.1,932.33,880,1
38.1,38.4,880,880,1
38.4,38.77,783.99,783.99,1
38.77,38.8,783.99,783.99,0
38.8,39.2,783.99,783.99,0
39.2,39.6,523.25,523.25,1
39.6,40,523.25,523.25,1
40,40.4,587.33,587.33,1
40.4,40.8,587.33,587.33,1
40.8,41.2,587.33,587.33,1
41.2,41.37,659.26,659.26,1
41.37,41.4,659.26,587.33,0
41.4,41.57,587.33,587.33,0
41.57,41.6,587.33,659.26,0
41.6,42,659.26,659.26,0
42,42.4,698.46,698.46,1
42.4,42.77,783.99,783.99,1
42.77,42.8,783.99,880,0
42.8,43.2,880,880,0
43.2,43.37,698.46,698.46,1
43.37,43.4,698.46,783.99,0
43.4,43.57,783.99,783.99,0
43.57,43.6,783.99,783.99,0
43.6,44,783.99,783.99,0
