tstart,tend,fstart,fend,newnote
0,0.4,523.25,523.25,1
0.4,0.8,587.33,587.33,1
0.8,0.97,587.33,587.33,1
0.97,1,587.33,783.99,0
1,1.2,783.99,783.99,0
1.2,1.6,783.99,783.99,1
1.6,1.97,698.46,698.46,1
1.97,2,698.46,698.46,0
2,2.4,698.46,698.46,0
2.4,2.57,622.25,622.25,1
2.57,2.6,622.25,587.33,0
2.6,2.8,587.33,587.33,0
2.8,2.97,587.33,587.33,1
2.97,3,587.33,698.46,0
3,3.2,698.46,698.46,0
3.2,3.37,622.25,622.25,1
3.37,3.4,622.25,587.33,0
3.4,3.6,587.33,587.33,0
3.6,3.97,523.25,523.25,1
3.97,4,523.25,523.25,0
4,4.4,523.25,523.25,0
4.4,4.8,587.33,587.33,1
4.8,4.97,523.25,523.25,1
4.97,5,523.25,493.88,0
5,5.17,493.88,493.88,0
5.17,5.2,493.88,493.88,0
5.2,5.6,493.88,493.88,0
5.6,5.97,523.25,523.25,1
5.97,6,523.25,523.25,0
6,6.37,523.25,523.25,0
6.37,6.4,523.25,523.25,0
6.4,6.8,523.25,523.25,0
6.8,7.2,698.46,698.46,1
7.2,7.37,698.46,698.46,1
7.37,7.4,698.46,783.99,0
7.4,7.6,783.99,783.99,0
7.6,7.97,783.99,783.99,1
7.97,8,783.99,783.99,0
8,8.4,783.99,783.99,0
8.4,8.8,783.99,783.99,1
8.8,9.2,783.99,783.99,1
9.2,9.6,783.99,783.99,1
9.6,9.97,783.99,880,1
9.97,10,880,880,0
10,10.4,880,880,0
10.4,10.5,880,698.46,1
10.5,10.8,698.46,698.46,1
10.8,11.2,698.46,698.46,1
11.2,11.57,783.99,880,1
11.57,11.6,880,880,0
11.6,12,880,880,0
12,12.4,932.33,932.33,1
12.4,12.57,932.33,932.33,1
12.57,12.6,932.33,1046.5,0
12.6,12.8,1046.5,1046.5,0
12.8,12.97,932.33,932.33,1
12.97,13,932.33,880,0
13,13.17,880,880,0
13.17,13.2,880,880,0
13.2,13.57,880,880,0
13.57,13.6,880,880,0
13.6,13.97,880,880,0
13.97,14,880,880,0
14,14.37,880,880,0
14.37,14.4,880,880,0
14.4,14.77,880,880,0
14.77,14.8,880,880,0
14.8,15.2,880,880,0
