tstart,tend,fstart,fend,newnote
0,0.37,1046.5,1046.5,1
0.37,0.4,1046.5,1046.5,0
0.4,0.77,1046.5,1046.5,0
0.77,0.8,1046.5,987.77,0
0.8,1.2,987.77,987.77,0
1.2,1.6,880,880,1
1.6,1.97,880,880,1
1.97,2,880,880,0
2,2.37,880,880,0
2.37,2.4,880,880,0
2.4,2.8,880,880,0
2.8,3.2,783.99,783.99,1
3.2,3.57,783.99,783.99,1
3.57,3.6,783.99,783.99,0
3.6,3.97,783.99,783.99,0
3.97,4,783.99,783.99,0
4,4.4,783.99,783.99,0
4.4,4.8,739.99,739.99,1
4.8,5.2,659.26,659.26,1
5.2,5.6,659.26,659.26,1
5.6,6,523.25,523.25,1
6,6.4,587.33,587.33,1
6.4,6.8,659.26,659.26,1
6.8,7.17,659.26,783.99,1
7.17,7.2,783.99,783.99,0
7.2,7.6,783.99,783.99,0
7.6,7.7,783.99,659.26,1
7.7,8,659.26,659.26,1
8,8.17,587.33,587.33,1
8.17,8.2,587.33,523.25,0
8.2,8.37,523.25,523.25,0
8.37,8.4,523.25,523.25,0
8.4,8.77,523.25,523.25,0
8.77,8.8,523.25,523.25,0
8.8,9.17,523.25,523.25,0
9.17,9.2,523.25,523.25,0
9.2,9.6,523.25,523.25,0
9.6,9.77,523.25,523.25,1
9.77,9.8,523.25,783.99,0
9.8,10,783.99,783.99,0
10,10.4,783.99,783.99,1
10.4,10.8,783.99,783.99,1
10.8,11.2,739.99,739.99,1
11.2,11.57,783.99,783.99,1
11.57,11.6,783.99,783.99,0
11.6,11.97,783.99,783.99,0
11.97,12,783.99,783.99,0
12,12.4,783.99,783.99,0
12.4,12.8,783.99,783.99,1
12.8,13.2,783.99,783.99,1
13.2,13.57,783.99,783.99,1
13.57,13.6,783.99,783.99,0
13.6,14,783.99,783.99,0
14,14.4,739.99,739.99,1
14.4,14.77,783.99,783.99,1
14.77,14.8,783.99,783.99,0
14.8,15.17,783.99,783.99,0
15.17,15.2,783.99,783.99,0
15.2,15.57,783.99,783.99,0
15.57,15.6,783.99,739.99,0
15.6,16,739.99,739.99,0
16,16.37,783.99,783.99,1
16.37,16.4,783.99,739.99,0
16.4,16.77,739.99,739.99,0
16.77,16.8,739.99,987.77,0
16.8,17.2,987.77,987.77,0
17.2,17.3,987.77,880,1
17.3,17.6,880,880,1
17.6,17.97,783.99,783.99,1
17.97,18,783.99,739.99,0
18,18.4,739.99,739.99,0
18.4,18.5,739.99,659.26,1
18.5,18.77,659.26,659.26,1
18.77,18.8,659.26,739.99,0
18.8,19.2,739.99,739.99,0
19.2,19.57,783.99,783.99,1
19.57,19.6,783.99,739.99,0
19.6,19.97,739.99,739.99,0
19.97,20,739.99,987.77,0
20,20.4,987.77,987.77,0
20.4,20.5,987.77,880,1
20.5,20.8,880,880,1
20.8,21.2,783.99,783.99,1
21.2,21.6,783.99,783.99,1
21.6,22,739.99,739.99,1
22,22.4,659.26,659.26,1
22.4,22.8,659.26,659.26,1
22.8,23.2,659.26,659.26,1
23.2,23.6,659.26,659.26,1
23.6,23.7,659.26,587.33,1
23.7,24,587.33,587.33,1
24,24.37,523.25,523.25,1
24.37,24.4,523.25,523.25,0
24.4,24.77,523.25,523.25,0
24.77,24.8,523.25,523.25,0
24.8,25.17,523.25,523.25,0
25.17,25.2,523.25,523.25,0
25.2,25.6,523.25,523.25,0
25.6,26,1046.5,1046.5,1
26,26.4,1046.5,1046.5,1
26.4,26.8,1046.5,1046.5,1
26.8,27.2,1046.5,1046.5,1
27.2,27.6,1046.5,1046.5,1
27.6,28,1046.5,1046.5,1
28,28.37,1046.5,1046.5,1
28.37,28.4,1046.5,1046.5,0
28.4,28.77,1046.5,1046.5,0
28.77,28.8,1046.5,1046.5,0
28.8,29.17,1046.5,1046.5,0
29.17,29.2,1046.5,987.77,0
29.2,29.6,987.77,987.77,0
29.6,29.77,880,880,1
29.77,29.8,880,987.77,0
29.8,30,987.77,987.77,0
30,30.4,987.77,987.77,1
30.4,30.8,987.77,987.77,1
30.8,31.2,987.77,987.77,1
31.2,31.37,880,880,1
31.37,31.4,880,987.77,0
31.4,31.57,987.77,987.77,0
31.57,31.6,987.77,987.77,0
31.6,31.97,987.77,987.77,0
31.97,32,987.77,987.77,0
32,32.37,987.77,987.77,0
32.37,32.4,987.77,880,0
32.4,32.8,880,880,0
32.8,33.17,880,880,1
33.17,33.2,880,987.77,0
33.2,33.6,987.77,987.77,0
33.6,33.7,987.77,880,1
33.7,33.97,880,880,1
33.97,34,880,880,0
34,34.4,880,880,0
34.4,34.5,880,739.99,1
34.5,34.77,739.99,739.99,1
34.77,34.8,739.99,880,0
34.8,35.2,880,880,0
35.2,35.3,880,783.99,1
35.3,35.57,783.99,783.99,1
35.57,35.6,783.99,783.99,0
35.6,36,783.99,783.99,0
36,36.1,783.99,739.99,1
36.1,36.37,739.99,739.99,1
36.37,36.4,739.99,880,0
36.4,36.8,880,880,0
36.8,36.9,880,783.99,1
36.9,37.17,783.99,783.99,1
37.17,37.2,783.99,739.99,0
37.2,37.6,739.99,739.99,0
37.6,37.77,659.26,659.26,1
37.77,37.8,659.26,739.99,0
37.8,37.97,739.99,739.99,0
37.97,38,739.99,739.99,0
38,38.4,739.99,739.99,0
38.4,38.5,739.99,659.26,1
38.5,38.77,659.26,659.26,1
38.77,38.8,659.26,659.26,0
38.8,39.2,659.26,659.26,0
39.2,39.37,659.26,659.26,1
39.37,39.4,659.26,739.99,0
39.4,39.6,739.99,739.99,0
39.6,39.7,739.99,659.26,1
39.7,39.97,659.26,783.99,1
39.97,40,783.99,783.99,0
40,40.4,783.99,783.99,0
40.4,40.57,783.99,783.99,1
40.57,40.6,783.99,739.99,0
40.6,40.8,739.99,739.99,0
40.8,41.17,783.99,783.99,1
41.17,41.2,783.99,783.99,0
41.2,41.57,783.99,783.99,0
41.57,41.6,783.99,783.99,0
41.6,41.97,783.99,783.99,0
41.97,42,783.99,783.99,0
42,42.4,783.99,783.99,0
42.4,42.5,783.99,739.99,1
42.5,42.8,739.99,739.99,1
42.8,43.17,783.99,783.99,1
43.17,43.2,783.99,739.99,0
43.2,43.37,739.99,739.99,0
43.37,43.4,739.99,987.77,0
43.4,43.6,987.77,987.77,0
43.6,43.7,987.77,880,1
43.7,44,880,880,1
44,44.1,880,783.99,1
44.1,44.37,783.99,783.99,1
44.37,44.4,783.99,783.99,0
44.4,44.77,783.99,783.99,0
44.77,44.8,783.99,783.99,0
44.8,45.17,783.99,783.99,0
45.17,45.2,783.99,739.99,0
45.2,45.6,739.99,739.99,0
45.6,45.7,739.99,659.26,1
45.7,45.97,659.26,659.26,1
45.97,46,659.26,698.46,0
46,46.4,698.46,698.46,0
46.4,46.5,698.46,659.26,1
46.5,46.77,659.26,659.26,1
46.77,46.8,659.26,659.26,0
46.8,47.2,659.26,659.26,0
47.2,47.57,659.26,659.26,1
47.57,47.6,659.26,698.46,0
47.6,48,698.46,698.46,0
48,48.1,698.46,659.26,1
48.1,48.37,659.26,659.26,1
48.37,48.4,659.26,659.26,0
48.4,48.8,659.26,659.26,0
48.8,48.97,659.26,659.26,1
48.97,49,659.26,783.99,0
49,49.17,783.99,783.99,0
49.17,49.2,783.99,783.99,0
49.2,49.57,783.99,587.33,0
49.57,49.6,587.33,587.33,0
49.6,50,587.33,587.33,0
50,50.4,587.33,587.33,1
50.4,50.57,587.33,587.33,1
50.57,50.6,587.33,987.77,0
50.6,50.8,987.77,987.77,0
50.8,51.2,987.77,987.77,1
51.2,51.3,987.77,880,1
51.3,51.6,880,880,1
51.6,52,783.99,783.99,1
52,52.4,659.26,659.26,1
52.4,52.8,659.26,659.26,1
52.8,53.2,659.26,659.26,1
53.2,53.3,659.26,587.33,1
53.3,53.6,587.33,587.33,1
53.6,53.97,523.25,523.25,1
53.97,54,523.25,523.25,0
54,54.37,523.25,523.25,0
54.37,54.4,523.25,523.25,0
54.4,54.77,523.25,523.25,0
54.77,54.8,523.25,523.25,0
54.8,55.2,523.25,523.25,0
55.2,55.6,523.25,523.25,1
55.6,56,587.33,587.33,1
56,56.17,587.33,587.33,1
56.17,56.2,587.33,659.26,0
56.2,56.4,659.26,659.26,0
56.4,56.8,659.26,659.26,1
56.8,57.2,659.26,659.26,1
57.2,57.6,659.26,659.26,1
57.6,57.97,659.26,659.26,1
57.97,58,659.26,659.26,0
58,58.4,659.26,659.26,0
58.4,58.5,659.26,523.25,1
58.5,58.8,523.25,523.25,1
58.8,59.2,587.33,587.33,1
59.2,59.6,659.26,659.26,1
59.6,59.97,659.26,659.26,1
59.97,60,659.26,783.99,0
60,60.4,783.99,783.99,0
60.4,60.5,783.99,659.26,1
60.5,60.8,659.26,659.26,1
60.8,60.97,587.33,587.33,1
60.97,61,587.33,523.25,0
61,61.17,523.25,523.25,0
61.17,61.2,523.25,523.25,0
61.2,61.57,523.25,523.25,0
61.57,61.6,523.25,523.25,0
61.6,61.97,523.25,523.25,0
61.97,62,523.25,523.25,0
62,62.4,523.25,523.25,0
62.4,62.57,523.25,523.25,1
62.57,62.6,523.25,783.99,0
62.6,62.8,783.99,783.99,0
62.8,63.2,783.99,783.99,1
63.2,63.6,783.99,783.99,1
63.6,64,739.99,739.99,1
64,64.37,783.99,783.99,1
64.37,64.4,783.99,783.99,0
64.4,64.77,783.99,783.99,0
64.77,64.8,783.99,783.99,0
64.8,65.17,783.99,783.99,0
65.17,65.2,783.99,739.99,0
65.2,65.6,739.99,739.99,0
65.6,65.77,783.99,783.99,1
65.77,65.8,783.99,739.99,0
65.8,66,739.99,739.99,0
66,66.37,783.99,783.99,1
66.37,66.4,783.99,739.99,0
66.4,66.57,739.99,739.99,0
66.57,66.6,739.99,987.77,0
66.6,66.8,987.77,987.77,0
66.8,66.9,987.77,880,1
66.9,67.2,880,880,1
67.2,67.3,880,783.99,1
67.3,67.57,783.99,783.99,1
67.57,67.6,783.99,783.99,0
67.6,68,783.99,783.99,0
68,68.4,523.25,523.25,1
68.4,68.77,587.33,587.33,1
68.77,68.8,587.33,587.33,0
68.8,69.17,587.33,587.33,0
69.17,69.2,587.33,587.33,0
69.2,69.6,587.33,587.33,0
69.6,69.77,783.99,783.99,1
69.77,69.8,783.99,1046.5,0
69.8,70,1046.5,1046.5,0
70,70.4,1046.5,1046.5,1
70.4,70.8,1046.5,1046.5,1
70.8,71.2,1046.5,1046.5,1
71.2,71.37,987.77,987.77,1
71.37,71.4,987.77,1046.5,0
71.4,71.57,1046.5,1046.5,0
71.57,71.6,1046.5,1046.5,0
71.6,71.97,1046.5,1046.5,0
71.97,72,1046.5,1046.5,0
72,72.37,1046.5,1046.5,0
72.37,72.4,1046.5,987.77,0
72.4,72.8,987.77,987.77,0
72.8,72.97,880,880,1
72.97,73,880,1046.5,0
73,73.2,1046.5,1046.5,0
73.2,73.57,1046.5,1046.5,1
73.57,73.6,1046.5,1046.5,0
73.6,74,1046.5,1046.5,0
74,74.4,987.77,987.77,1
74.4,74.57,880,880,1
74.57,74.6,880,987.77,0
74.6,74.77,987.77,987.77,0
74.77,74.8,987.77,987.77,0
74.8,75.17,987.77,987.77,0
75.17,75.2,987.77,987.77,0
75.2,75.57,987.77,987.77,0
75.57,75.6,987.77,880,0
75.6,76,880,880,0
76,76.37,880,880,1
76.37,76.4,880,987.77,0
76.4,76.8,987.77,987.77,0
76.8,76.9,987.77,880,1
76.9,77.2,880,880,1
77.2,77.6,880,880,1
77.6,77.7,880,739.99,1
77.7,77.97,739.99,739.99,1
77.97,78,739.99,880,0
78,78.4,880,880,0
78.4,78.5,880,783.99,1
78.5,78.8,783.99,783.99,1
78.8,79.2,783.99,783.99,1
79.2,79.3,783.99,739.99,1
79.3,79.57,739.99,739.99,1
79.57,79.6,739.99,880,0
79.6,80,880,880,0
80,80.1,880,783.99,1
80.1,80.37,783.99,783.99,1
80.37,80.4,783.99,739.99,0
80.4,80.8,739.99,739.99,0
80.8,80.97,659.26,659.26,1
80.97,81,659.26,739.99,0
81,81.17,739.99,739.99,0
81.17,81.2,739.99,739.99,0
81.2,81.6,739.99,739.99,0
81.6,81.97,659.26,659.26,1
81.97,82,659.26,659.26,0
82,82.4,659.26,659.26,0
82.4,82.6,659.26,659.26,1
82.6,82.8,739.99,739.99,1
82.8,82.9,739.99,659.26,1
82.9,83.17,659.26,783.99,1
83.17,83.2,783.99,783.99,0
83.2,83.6,783.99,783.99,0
83.6,83.77,783.99,783.99,1
83.77,83.8,783.99,739.99,0
83.8,84,739.99,739.99,0
84,84.37,783.99,783.99,1
84.37,84.4,783.99,783.99,0
84.4,84.77,783.99,783.99,0
84.77,84.8,783.99,783.99,0
84.8,85.17,783.99,783.99,0
85.17,85.2,783.99,783.99,0
85.2,85.6,783.99,783.99,0
85.6,85.7,783.99,739.99,1
85.7,86,739.99,739.99,1
86,86.37,783.99,783.99,1
86.37,86.4,783.99,739.99,0
86.4,86.6,739.99,739.99,0
86.6,86.8,987.77,987.77,1
86.8,86.9,783.99,880,1
86.9,87.2,880,880,1
87.2,87.3,880,783.99,1
87.3,87.57,783.99,783.99,1
87.57,87.6,783.99,783.99,0
87.6,87.97,783.99,783.99,0
87.97,88,783.99,783.99,0
88,88.37,783.99,783.99,0
88.37,88.4,783.99,739.99,0
88.4,88.8,739.99,739.99,0
88.8,89.17,659.26,698.46,1
89.17,89.2,698.46,698.46,0
89.2,89.6,698.46,698.46,0
89.6,89.7,698.46,659.26,1
89.7,89.97,659.26,659.26,1
89.97,90,659.26,659.26,0
90,90.4,659.26,659.26,0
90.4,90.77,659.26,698.46,1
90.77,90.8,698.46,698.46,0
90.8,91.2,698.46,698.46,0
91.2,91.3,698.46,659.26,1
91.3,91.57,659.26,659.26,1
91.57,91.6,659.26,659.26,0
91.6,92,659.26,659.26,0
92,92.17,659.26,659.26,1
92.17,92.2,659.26,783.99,0
92.2,92.37,783.99,783.99,0
92.37,92.4,783.99,783.99,0
92.4,92.77,783.99,587.33,0
92.77,92.8,587.33,587.33,0
92.8,93.2,587.33,587.33,0
93.2,93.6,587.33,587.33,1
93.6,93.77,587.33,587.33,1
93.77,93.8,587.33,987.77,0
93.8,94,987.77,987.77,0
94,94.4,987.77,987.77,1
94.4,94.5,987.77,880,1
94.5,94.8,880,880,1
94.8,95.2,783.99,783.99,1
95.2,95.6,659.26,659.26,1
95.6,96,659.26,659.26,1
96,96.4,659.26,659.26,1
96.4,96.5,659.26,587.33,1
96.5,96.8,587.33,587.33,1
96.8,97.17,523.25,523.25,1
97.17,97.2,523.25,523.25,0
97.2,97.57,523.25,523.25,0
97.57,97.6,523.25,523.25,0
97.6,97.97,523.25,523.25,0
97.97,98,523.25,523.25,0
98,98.4,523.25,523.25,0
