tstart,tend,fstart,fend,newnote
0,0.37,466.16,466.16,1
0.37,0.4,466.16,523.25,0
0.4,0.8,523.25,523.25,0
0.8,1.17,622.25,622.25,1
1.17,1.2,622.25,698.46,0
1.2,1.6,698.46,698.46,0
1.6,1.97,783.99,783.99,1
1.97,2,783.99,783.99,0
2,2.37,783.99,783.99,0
2.37,2.4,783.99,783.99,0
2.4,2.8,783.99,783.99,0
2.8,3.2,783.99,783.99,1
3.2,3.3,783.99,698.46,1
3.3,3.6,698.46,698.46,1
3.6,4,698.46,698.46,1
4,4.4,622.25,622.25,1
4.4,4.8,587.33,587.33,1
4.8,5.2,523.25,523.25,1
5.2,5.57,523.25,523.25,1
5.57,5.6,523.25,523.25,0
5.6,5.97,523.25,523.25,0
5.97,6,523.25,523.25,0
6,6.4,523.25,523.25,0
6.4,6.77,523.25,523.25,1
6.77,6.8,523.25,783.99,0
6.8,7.2,783.99,783.99,0
7.2,7.6,698.46,698.46,1
7.6,8,698.46,698.46,1
8,8.4,622.25,622.25,1
8.4,8.8,622.25,622.25,1
8.8,9.2,587.33,587.33,1
9.2,9.6,523.25,523.25,1
9.6,9.97,523.25,783.99,1
9.97,10,783.99,783.99,0
10,10.4,783.99,783.99,0
10.4,10.8,698.46,698.46,1
10.8,11.2,698.46,698.46,1
11.2,11.6,622.25,622.25,1
11.6,12,587.33,587.33,1
12,12.4,523.25,523.25,1
12.4,12.8,523.25,523.25,1
12.8,13.2,466.16,466.16,1
13.2,13.6,523.25,523.25,1
13.6,14,622.25,622.25,1
14,14.4,698.46,698.46,1
14.4,14.77,783.99,783.99,1
14.77,14.8,783.99,783.99,0
14.8,15.17,783.99,783.99,0
15.17,15.2,783.99,783.99,0
15.2,15.57,783.99,783.99,0
15.57,15.6,783.99,783.99,0
15.6,16,783.99,783.99,0
16,16.4,698.46,698.46,1
16.4,16.8,783.99,783.99,1
16.8,17.2,783.99,783.99,1
17.2,17.6,783.99,783.99,1
17.6,18,783.99,783.99,1
18,18.4,783.99,783.99,1
18.4,18.8,783.99,783.99,1
18.8,19.2,698.46,698.46,1
19.2,19.57,783.99,932.33,1
19.57,19.6,932.33,932.33,0
19.6,20,932.33,932.33,0
20,20.4,932.33,932.33,1
20.4,20.8,932.33,932.33,1
20.8,21.2,932.33,932.33,1
21.2,21.6,880,880,1
21.6,22,932.33,932.33,1
22,22.4,880,880,1
22.4,22.8,783.99,783.99,1
22.8,23.2,830.61,830.61,1
23.2,23.6,783.99,783.99,1
23.6,24,783.99,783.99,1
24,24.37,739.99,739.99,1
24.37,24.4,739.99,783.99,0
24.4,24.77,783.99,783.99,0
24.77,24.8,783.99,622.25,0
24.8,25.17,622.25,622.25,0
25.17,25.2,622.25,622.25,0
25.2,25.6,622.25,622.25,0
25.6,25.97,466.16,466.16,1
25.97,26,466.16,523.25,0
26,26.4,523.25,523.25,0
26.4,26.77,622.25,622.25,1
26.77,26.8,622.25,698.46,0
26.8,27.2,698.46,698.46,0
27.2,27.6,783.99,783.99,1
27.6,28,783.99,783.99,1
28,28.4,783.99,783.99,1
28.4,28.8,783.99,783.99,1
28.8,29.17,698.46,698.46,1
29.17,29.2,698.46,783.99,0
29.2,29.6,783.99,783.99,0
29.6,30,783.99,783.99,1
30,30.4,783.99,783.99,1
30.4,30.8,783.99,783.99,1
30.8,31.2,698.46,698.46,1
31.2,31.6,622.25,622.25,1
31.6,32,698.46,698.46,1
32,32.37,783.99,987.77,1
32.37,32.4,987.77,987.77,0
32.4,32.8,987.77,987.77,0
32.8,33.2,987.77,987.77,1
33.2,33.6,987.77,987.77,1
33.6,34,1046.5,1046.5,1
34,34.4,1046.5,1046.5,1
34.4,34.8,1046.5,1046.5,1
34.8,35.2,1046.5,1046.5,1
35.2,35.57,1046.5,1244.51,1
35.57,35.6,1244.51,1244.51,0
35.6,36,1244.51,1244.51,0
36,36.4,1244.51,1244.51,1
36.4,36.8,1244.51,1244.51,1
36.8,37.2,1108.73,1108.73,1
37.2,37.6,1108.73,1108.73,1
37.6,38,1046.5,1046.5,1
38,38.4,1108.73,1108.73,1
38.4,38.8,987.77,987.77,1
38.8,39.2,987.77,987.77,1
39.2,39.57,1046.5,1046.5,1
39.57,39.6,1046.5,1046.5,0
39.6,39.97,1046.5,1046.5,0
39.97,40,1046.5,1046.5,0
40,40.37,1046.5,1046.5,0
40.37,40.4,1046.5,1046.5,0
40.4,40.77,1046.5,1046.5,0
40.77,40.8,1046.5,1046.5,0
40.8,41.17,1046.5,1046.5,0
41.17,41.2,1046.5,1046.5,0
41.2,41.6,1046.5,1046.5,0
41.6,41.97,1046.5,1244.51,1
41.97,42,1244.51,1244.51,0
42,42.4,1244.51,1244.51,0
42.4,42.8,1244.51,1244.51,1
42.8,43.2,1244.51,1244.51,1
43.2,43.57,1244.51,1244.51,1
43.57,43.6,1244.51,1174.66,0
43.6,44,1174.66,1174.66,0
44,44.4,1244.51,1244.51,1
44.4,44.8,1244.51,1244.51,1
44.8,44.97,1174.66,1174.66,1
44.97,45,1174.66,1396.91,0
45,45.2,1396.91,1396.91,0
45.2,45.6,1396.91,1396.91,1
45.6,46,1244.51,1244.51,1
46,46.4,1244.51,1244.51,1
46.4,46.8,1108.73,1108.73,1
46.8,47.2,1108.73,1108.73,1
47.2,47.6,1046.5,1046.5,1
47.6,48,1046.5,1046.5,1
48,48.37,1046.5,1046.5,1
48.37,48.4,1046.5,1108.73,0
48.4,48.8,1108.73,1108.73,0
48.8,49.2,1046.5,1046.5,1
49.2,49.6,1046.5,1046.5,1
49.6,50,1046.5,1046.5,1
50,50.4,932.33,932.33,1
50.4,50.77,932.33,932.33,1
50.77,50.8,932.33,932.33,0
50.8,51.2,932.33,932.33,0
51.2,51.37,932.33,932.33,1
51.37,51.4,932.33,1046.5,0
51.4,51.6,1046.5,1046.5,0
51.6,52,932.33,932.33,1
52,52.4,830.61,830.61,1
52.4,52.8,783.99,783.99,1
52.8,53.17,739.99,739.99,1
53.17,53.2,739.99,783.99,0
53.2,53.57,783.99,783.99,0
53.57,53.6,783.99,622.25,0
53.6,53.97,622.25,622.25,0
53.97,54,622.25,622.25,0
54,54.4,622.25,622.25,0
54.4,54.8,523.25,523.25,1
54.8,55.2,523.25,523.25,1
55.2,55.37,523.25,523.25,1
55.37,55.4,523.25,622.25,0
55.4,55.6,622.25,622.25,0
55.6,56,622.25,622.25,1
56,56.4,622.25,622.25,1
56.4,56.8,587.33,587.33,1
56.8,57.17,622.25,622.25,1
57.17,57.2,622.25,622.25,0
57.2,57.6,622.25,622.25,0
57.6,58,622.25,622.25,1
58,58.4,622.25,622.25,1
58.4,58.8,698.46,698.46,1
58.8,59.2,698.46,698.46,1
59.2,59.6,622.25,622.25,1
59.6,60,622.25,622.25,1
60,60.37,554.37,554.37,1
60.37,60.4,554.37,554.37,0
60.4,60.8,554.37,554.37,0
60.8,61.2,523.25,523.25,1
61.2,61.6,523.25,523.25,1
61.6,61.97,523.25,622.25,1
61.97,62,622.25,622.25,0
62,62.4,622.25,622.25,0
62.4,62.8,622.25,622.25,1
62.8,63.2,622.25,622.25,1
63.2,63.6,554.37,554.37,1
63.6,64,554.37,554.37,1
64,64.37,523.25,523.25,1
64.37,64.4,523.25,493.88,0
64.4,64.8,493.88,493.88,0
64.8,65.17,523.25,523.25,1
65.17,65.2,523.25,587.33,0
65.2,65.6,587.33,587.33,0
65.6,65.97,622.25,622.25,1
65.97,66,622.25,622.25,0
66,66.37,622.25,622.25,0
66.37,66.4,622.25,622.25,0
66.4,66.77,622.25,622.25,0
66.77,66.8,622.25,622.25,0
66.8,67.2,622.25,622.25,0
67.2,67.6,622.25,622.25,1
67.6,68,698.46,698.46,1
68,68.4,698.46,698.46,1
68.4,68.8,783.99,783.99,1
68.8,69.2,783.99,783.99,1
69.2,69.6,783.99,783.99,1
69.6,70,783.99,783.99,1
70,70.4,783.99,783.99,1
70.4,70.8,783.99,783.99,1
70.8,71.2,698.46,698.46,1
71.2,71.57,783.99,932.33,1
71.57,71.6,932.33,932.33,0
71.6,72,932.33,932.33,0
72,72.4,932.33,932.33,1
72.4,72.8,880,880,1
72.8,73.2,932.33,932.33,1
73.2,73.6,932.33,932.33,1
73.6,74,932.33,932.33,1
74,74.4,830.61,830.61,1
74.4,74.77,783.99,830.61,1
74.77,74.8,830.61,830.61,0
74.8,75.2,830.61,830.61,0
75.2,75.6,830.61,830.61,1
75.6,76,783.99,783.99,1
76,76.4,698.46,698.46,1
76.4,76.8,783.99,783.99,1
76.8,77.2,622.25,622.25,1
77.2,77.6,622.25,622.25,1
77.6,77.97,622.25,622.25,1
77.97,78,622.25,783.99,0
78,78.17,783.99,783.99,0
78.17,78.2,783.99,698.46,0
78.2,78.4,698.46,698.46,0
78.4,78.77,783.99,783.99,1
78.77,78.8,783.99,783.99,0
78.8,79.17,783.99,783.99,0
79.17,79.2,783.99,783.99,0
79.2,79.57,783.99,783.99,0
79.57,79.6,783.99,783.99,0
79.6,80,783.99,783.99,0
80,80.4,783.99,783.99,1
80.4,80.8,783.99,783.99,1
80.8,81.17,698.46,698.46,1
81.17,81.2,698.46,783.99,0
81.2,81.6,783.99,783.99,0
81.6,82,783.99,783.99,1
82,82.37,783.99,783.99,1
82.37,82.4,783.99,783.99,0
82.4,82.8,783.99,783.99,0
82.8,83.2,698.46,698.46,1
83.2,83.6,622.25,622.25,1
83.6,84,698.46,698.46,1
84,84.37,783.99,987.77,1
84.37,84.4,987.77,987.77,0
84.4,84.8,987.77,987.77,0
84.8,85.2,987.77,987.77,1
85.2,85.6,987.77,987.77,1
85.6,86,1046.5,1046.5,1
86,86.4,1046.5,1046.5,1
86.4,86.8,1046.5,1046.5,1
86.8,87.2,1046.5,1046.5,1
87.2,87.6,1046.5,1046.5,1
87.6,88,1244.51,1244.51,1
88,88.4,1244.51,1244.51,1
88.4,88.8,1244.51,1244.51,1
88.8,89.17,1108.73,1108.73,1
89.17,89.2,1108.73,1108.73,0
89.2,89.6,1108.73,1108.73,0
89.6,90,1046.5,1046.5,1
90,90.4,1046.5,1046.5,1
90.4,90.8,987.77,987.77,1
90.8,91.2,987.77,987.77,1
91.2,91.57,1046.5,1046.5,1
91.57,91.6,1046.5,1046.5,0
