tstart,tend,fstart,fend,newnote
0,0.4,783.99,783.99,1
0.4,0.8,783.99,783.99,1
0.8,1.2,783.99,783.99,1
1.2,1.6,698.46,698.46,1
1.6,2,698.46,698.46,1
2,2.4,880,880,1
2.4,2.8,783.99,783.99,1
2.8,3.2,783.99,783.99,1
3.2,3.6,783.99,783.99,1
3.6,4,698.46,698.46,1
4,4.4,783.99,783.99,1
4.4,4.8,783.99,783.99,1
4.8,5.2,698.46,698.46,1
5.2,5.57,659.26,659.26,1
5.57,5.6,659.26,698.46,0
5.6,6,698.46,698.46,0
6,6.17,587.33,587.33,1
6.17,6.2,587.33,659.26,0
6.2,6.37,659.26,659.26,0
6.37,6.4,659.26,587.33,0
6.4,6.8,587.33,587.33,0
6.8,7.2,659.26,659.26,1
7.2,7.6,698.46,698.46,1
7.6,7.97,783.99,783.99,1
7.97,8,783.99,783.99,0
8,8.4,783.99,783.99,0
8.4,8.77,783.99,987.77,1
8.77,8.8,987.77,987.77,0
8.8,9.2,987.77,987.77,0
9.2,9.6,987.77,987.77,1
9.6,9.77,880,880,1
9.77,9.8,880,783.99,0
9.8,9.97,783.99,783.99,0
9.97,10,783.99,783.99,0
10,10.37,783.99,783.99,0
10.37,10.4,783.99,783.99,0
10.4,10.77,783.99,783.99,0
10.77,10.8,783.99,783.99,0
10.8,11.17,783.99,783.99,0
11.17,11.2,783.99,783.99,0
11.2,11.57,783.99,783.99,0
11.57,11.6,783.99,783.99,0
11.6,11.97,783.99,783.99,0
11.97,12,783.99,783.99,0
12,12.4,783.99,783.99,0
12.4,12.8,783.99,783.99,1
12.8,13.2,880,880,1
13.2,13.37,880,880,1
13.37,13.4,880,1046.5,0
13.4,13.6,1046.5,1046.5,0
13.6,13.97,1046.5,1046.5,1
13.97,14,1046.5,1046.5,0
14,14.4,1046.5,1046.5,0
14.4,14.8,1046.5,1046.5,1
14.8,15.17,1046.5,1046.5,1
15.17,15.2,1046.5,1174.66,0
15.2,15.6,1174.66,1174.66,0
15.6,16,987.77,987.77,1
16,16.4,987.77,987.77,1
16.4,16.8,1046.5,1046.5,1
16.8,16.9,523.25,987.77,1
16.9,17.2,987.77,987.77,1
17.2,17.3,987.77,880,1
