tstart,tend,fstart,fend,newnote
0,0.4,1046.5,1046.5,1
0.4,0.57,1046.5,1046.5,1
0.57,0.6,1046.5,932.33,0
0.6,0.8,932.33,932.33,0
0.8,1.2,1174.66,1174.66,1
1.2,1.6,1174.66,1174.66,1
1.6,2,1046.5,1046.5,1
2,2.17,1046.5,1046.5,1
2.17,2.2,1046.5,932.33,0
2.2,2.4,932.33,932.33,0
2.4,2.5,932.33,1046.5,1
2.5,2.8,1046.5,1046.5,1
2.8,3.2,1046.5,1046.5,1
3.2,3.6,932.33,932.33,1
3.6,3.77,932.33,932.33,1
3.77,3.8,932.33,880,0
3.8,4,880,880,0
4,4.1,783.99,880,1
4.1,4.4,880,880,1
4.4,4.8,880,880,1
4.8,5.2,783.99,783.99,1
5.2,5.6,783.99,783.99,1
5.6,6,698.46,698.46,1
6,6.4,698.46,698.46,1
6.4,6.8,698.46,698.46,1
6.8,7.2,698.46,698.46,1
7.2,7.6,698.46,698.46,1
7.6,8,698.46,698.46,1
8,8.4,783.99,783.99,1
8.4,8.8,783.99,783.99,1
8.8,9.2,783.99,783.99,1
9.2,9.6,783.99,783.99,1
9.6,10,880,880,1
10,10.4,783.99,783.99,1
10.4,10.77,783.99,783.99,1
10.77,10.8,783.99,932.33,0
10.8,11.2,932.33,932.33,0
11.2,11.57,880,880,1
11.57,11.6,880,880,0
11.6,11.97,880,880,0
11.97,12,880,880,0
12,12.37,880,880,0
12.37,12.4,880,783.99,0
12.4,12.8,783.99,783.99,0
12.8,13.2,698.46,698.46,1
13.2,13.6,659.26,659.26,1
13.6,14,698.46,698.46,1
14,14.4,698.46,698.46,1
14.4,14.8,783.99,783.99,1
14.8,15.2,783.99,783.99,1
15.2,15.6,783.99,783.99,1
15.6,16,783.99,783.99,1
16,16.4,880,880,1
16.4,16.8,783.99,783.99,1
16.8,17.17,783.99,783.99,1
17.17,17.2,783.99,932.33,0
17.2,17.6,932.33,932.33,0
17.6,17.97,880,880,1
17.97,18,880,880,0
18,18.37,880,880,0
18.37,18.4,880,880,0
18.4,18.77,880,880,0
18.77,18.8,880,880,0
18.8,19.2,880,880,0
19.2,19.6,932.33,932.33,1
19.6,20,880,880,1
20,20.4,932.33,932.33,1
20.4,20.8,932.33,932.33,1
20.8,21.2,1046.5,1046.5,1
21.2,21.6,932.33,932.33,1
21.6,21.97,1046.5,1046.5,1
21.97,22,1046.5,1046.5,0
22,22.4,1046.5,1046.5,0
22.4,22.8,932.33,932.33,1
22.8,23.2,880,880,1
23.2,23.6,932.33,932.33,1
23.6,24,932.33,932.33,1
24,24.4,1174.66,1174.66,1
24.4,24.8,1174.66,1174.66,1
24.8,25.2,1046.5,1046.5,1
25.2,25.6,932.33,932.33,1
25.6,26,880,880,1
26,26.4,783.99,783.99,1
26.4,26.8,698.46,698.46,1
26.8,27.2,659.26,659.26,1
27.2,27.57,659.26,659.26,1
27.57,27.6,659.26,659.26,0
27.6,28,659.26,659.26,0
28,28.37,698.46,698.46,1
28.37,28.4,698.46,698.46,0
28.4,28.8,698.46,698.46,0
28.8,29.2,1318.51,1318.51,1
29.2,29.6,1318.51,1318.51,1
29.6,30,1318.51,1318.51,1
30,30.4,1318.51,1318.51,1
30.4,30.77,1318.51,1318.51,1
30.77,30.8,1318.51,1318.51,0
30.8,31.17,1318.51,1318.51,0
31.17,31.2,1318.51,1318.51,0
31.2,31.57,1318.51,1318.51,0
31.57,31.6,1318.51,1318.51,0
31.6,32,1318.51,1318.51,0
32,32.4,1318.51,1318.51,1
32.4,32.8,1318.51,1318.51,1
32.8,33.17,1318.51,1318.51,1
33.17,33.2,1318.51,1396.91,0
33.2,33.6,1396.91,1396.91,0
33.6,33.7,1396.91,1174.66,1
33.7,33.97,1174.66,1174.66,1
33.97,34,1174.66,1174.66,0
34,34.37,1174.66,1174.66,0
34.37,34.4,1174.66,1174.66,0
34.4,34.77,1174.66,1174.66,0
34.77,34.8,1174.66,1244.51,0
34.8,35.2,1244.51,1244.51,0
35.2,35.6,1174.66,1174.66,1
35.6,36,1046.5,1046.5,1
36,36.4,987.77,987.77,1
36.4,36.8,987.77,987.77,1
36.8,37.17,1046.5,1046.5,1
37.17,37.2,1046.5,1046.5,0
37.2,37.57,1046.5,1046.5,0
37.57,37.6,1046.5,1046.5,0
37.6,37.97,1046.5,1046.5,0
37.97,38,1046.5,1046.5,0
38,38.37,1046.5,1046.5,0
38.37,38.4,1046.5,1046.5,0
38.4,38.77,1046.5,1046.5,0
38.77,38.8,1046.5,1046.5,0
38.8,39.2,1046.5,1046.5,0
39.2,39.37,1046.5,1046.5,1
39.37,39.4,1046.5,987.77,0
39.4,39.6,987.77,987.77,0
39.6,40,987.77,987.77,1
40,40.4,1174.66,1174.66,1
40.4,40.8,1046.5,1046.5,1
40.8,41.2,932.33,932.33,1
41.2,41.6,880,880,1
41.6,42,783.99,783.99,1
42,42.4,880,880,1
42.4,42.8,987.77,987.77,1
42.8,43.2,987.77,987.77,1
43.2,43.57,1046.5,1046.5,1
43.57,43.6,1046.5,1046.5,0
43.6,43.97,1046.5,1046.5,0
43.97,44,1046.5,1046.5,0
44,44.37,1046.5,1046.5,0
44.37,44.4,1046.5,1046.5,0
44.4,44.77,1046.5,1046.5,0
44.77,44.8,1046.5,1046.5,0
44.8,45.17,1046.5,1046.5,0
45.17,45.2,1046.5,1046.5,0
45.2,45.6,1046.5,1046.5,0
45.6,46,698.46,698.46,1
46,46.4,698.46,698.46,1
46.4,46.8,783.99,783.99,1
46.8,47.2,783.99,783.99,1
47.2,47.6,783.99,783.99,1
47.6,48,783.99,783.99,1
48,48.4,783.99,783.99,1
48.4,48.8,880,880,1
48.8,49.17,783.99,783.99,1
49.17,49.2,783.99,932.33,0
