tstart,tend,fstart,fend,newnote
0,0.37,523.25,523.25,1
0.37,0.4,523.25,698.46,0
0.4,0.8,698.46,698.46,0
0.8,1.17,698.46,698.46,1
1.17,1.2,698.46,622.25,0
1.2,1.6,622.25,622.25,0
1.6,1.97,622.25,622.25,1
1.97,2,622.25,554.37,0
2,2.4,554.37,554.37,0
2.4,2.5,622.25,554.37,1
2.5,2.77,554.37,554.37,1
2.77,2.8,554.37,523.25,0
2.8,3.2,523.25,523.25,0
3.2,3.57,523.25,523.25,1
3.57,3.6,523.25,523.25,0
3.6,3.97,523.25,523.25,0
3.97,4,523.25,523.25,0
4,4.37,523.25,523.25,0
4.37,4.4,523.25,523.25,0
4.4,4.8,523.25,523.25,0
4.8,5.2,415.3,415.3,1
5.2,5.6,415.3,415.3,1
5.6,5.97,466.16,466.16,1
5.97,6,466.16,523.25,0
6,6.4,523.25,523.25,0
6.4,6.77,523.25,523.25,1
6.77,6.8,523.25,587.33,0
6.8,7.2,587.33,587.33,0
7.2,7.57,622.25,622.25,1
7.57,7.6,622.25,587.33,0
7.6,8,587.33,587.33,0
8,8.37,622.25,622.25,1
8.37,8.4,622.25,587.33,0
8.4,8.8,587.33,587.33,0
8.8,9.17,622.25,622.25,1
9.17,9.2,622.25,554.37,0
9.2,9.57,554.37,554.37,0
9.57,9.6,554.37,554.37,0
9.6,9.97,554.37,554.37,0
9.97,10,554.37,554.37,0
10,10.4,554.37,554.37,0
10.4,10.77,523.25,523.25,1
10.77,10.8,523.25,466.16,0
10.8,11.2,466.16,466.16,0
11.2,11.6,523.25,523.25,1
11.6,12,523.25,523.25,1
12,12.4,830.61,830.61,1
12.4,12.8,830.61,830.61,1
12.8,12.97,830.61,830.61,1
12.97,13,830.61,783.99,0
13,13.17,783.99,783.99,0
13.17,13.2,783.99,783.99,0
13.2,13.6,783.99,783.99,0
13.6,14,783.99,783.99,1
14,14.4,830.61,830.61,1
14.4,14.57,783.99,783.99,1
14.57,14.6,783.99,932.33,0
14.6,14.77,932.33,932.33,0
14.77,14.8,932.33,830.61,0
14.8,14.97,830.61,830.61,0
14.97,15,830.61,783.99,0
15,15.2,783.99,783.99,0
15.2,15.3,698.46,622.25,1
15.3,15.57,622.25,622.25,1
15.57,15.6,622.25,622.25,0
15.6,15.97,622.25,622.25,0
15.97,16,622.25,622.25,0
16,16.37,622.25,622.25,0
16.37,16.4,622.25,622.25,0
16.4,16.8,622.25,622.25,0
16.8,17.2,415.3,415.3,1
17.2,17.6,415.3,415.3,1
17.6,18,466.16,466.16,1
18,18.4,466.16,466.16,1
18.4,18.8,523.25,523.25,1
18.8,19.2,523.25,523.25,1
19.2,19.57,523.25,523.25,1
19.57,19.6,523.25,587.33,0
19.6,20,587.33,587.33,0
20,20.37,622.25,622.25,1
20.37,20.4,622.25,554.37,0
20.4,20.8,554.37,554.37,0
20.8,21.17,523.25,523.25,1
21.17,21.2,523.25,698.46,0
21.2,21.6,698.46,698.46,0
21.6,21.97,698.46,698.46,1
21.97,22,698.46,622.25,0
22,22.4,622.25,622.25,0
22.4,22.77,622.25,622.25,1
22.77,22.8,622.25,554.37,0
22.8,23.2,554.37,554.37,0
23.2,23.3,622.25,554.37,1
23.3,23.57,554.37,554.37,1
23.57,23.6,554.37,523.25,0
23.6,24,523.25,523.25,0
24,24.37,523.25,523.25,1
24.37,24.4,523.25,523.25,0
24.4,24.77,523.25,523.25,0
24.77,24.8,523.25,523.25,0
24.8,25.17,523.25,523.25,0
25.17,25.2,523.25,523.25,0
25.2,25.57,523.25,523.25,0
25.57,25.6,523.25,523.25,0
25.6,25.97,523.25,523.25,0
25.97,26,523.25,523.25,0
26,26.37,523.25,523.25,0
26.37,26.4,523.25,523.25,0
26.4,26.77,523.25,523.25,0
26.77,26.8,523.25,523.25,0
26.8,27.2,523.25,523.25,0
27.2,27.57,523.25,523.25,1
27.57,27.6,523.25,523.25,0
27.6,28,523.25,523.25,0
28,28.4,523.25,523.25,1
28.4,28.8,523.25,523.25,1
28.8,29.17,523.25,523.25,1
29.17,29.2,523.25,523.25,0
29.2,29.6,523.25,523.25,0
29.6,29.97,523.25,523.25,1
29.97,30,523.25,554.37,0
30,30.4,554.37,554.37,0
30.4,30.77,622.25,622.25,1
30.77,30.8,622.25,622.25,0
30.8,31.2,622.25,622.25,0
31.2,31.57,698.46,698.46,1
31.57,31.6,698.46,698.46,0
31.6,31.97,698.46,698.46,0
31.97,32,698.46,698.46,0
32,32.37,698.46,698.46,0
32.37,32.4,698.46,698.46,0
32.4,32.77,698.46,698.46,0
32.77,32.8,698.46,698.46,0
32.8,33.17,698.46,698.46,0
33.17,33.2,698.46,783.99,0
33.2,33.6,783.99,783.99,0
33.6,33.7,783.99,698.46,1
33.7,34,698.46,698.46,1
34,34.4,698.46,698.46,1
34.4,34.57,698.46,698.46,1
34.57,34.6,698.46,932.33,0
34.6,34.8,932.33,932.33,0
34.8,34.9,932.33,830.61,1
34.9,34.97,830.61,830.61,1
34.97,35,830.61,783.99,0
35,35.2,783.99,783.99,0
35.2,35.3,698.46,622.25,1
35.3,35.57,622.25,622.25,1
35.57,35.6,622.25,622.25,0
35.6,35.97,622.25,622.25,0
35.97,36,622.25,622.25,0
36,36.37,622.25,622.25,0
36.37,36.4,622.25,622.25,0
36.4,36.8,622.25,622.25,0
36.8,37.17,622.25,622.25,1
37.17,37.2,622.25,698.46,0
37.2,37.6,698.46,698.46,0
37.6,37.7,698.46,622.25,1
37.7,38,622.25,622.25,1
38,38.4,554.37,554.37,1
38.4,38.77,523.25,523.25,1
38.77,38.8,523.25,523.25,0
38.8,39.17,523.25,523.25,0
39.17,39.2,523.25,523.25,0
39.2,39.57,523.25,523.25,0
39.57,39.6,523.25,523.25,0
39.6,40,523.25,523.25,0
40,40.4,523.25,523.25,1
40.4,40.8,830.61,830.61,1
40.8,41.2,830.61,830.61,1
41.2,41.37,830.61,830.61,1
41.37,41.4,830.61,783.99,0
41.4,41.6,783.99,783.99,0
41.6,42,783.99,783.99,1
42,42.4,783.99,783.99,1
42.4,42.8,783.99,783.99,1
42.8,43.2,783.99,783.99,1
43.2,43.57,783.99,783.99,1
43.57,43.6,783.99,783.99,0
43.6,44,783.99,783.99,0
44,44.4,783.99,783.99,1
44.4,44.47,698.46,783.99,1
44.47,44.5,783.99,783.99,0
44.5,44.8,783.99,783.99,0
44.8,45.17,783.99,932.33,1
45.17,45.2,932.33,932.33,0
45.2,45.57,932.33,830.61,0
45.57,45.6,830.61,830.61,0
45.6,46,830.61,830.61,0
46,46.4,830.61,830.61,1
46.4,46.5,830.61,783.99,1
46.5,46.8,783.99,783.99,1
46.8,47.2,698.46,698.46,1
47.2,47.6,622.25,622.25,1
47.6,48,587.33,587.33,1
48,48.4,622.25,622.25,1
48.4,48.8,698.46,698.46,1
48.8,48.97,622.25,622.25,1
48.97,49,622.25,554.37,0
49,49.17,554.37,554.37,0
49.17,49.2,554.37,523.25,0
49.2,49.6,523.25,523.25,0
49.6,49.97,523.25,523.25,1
49.97,50,523.25,523.25,0
50,50.37,523.25,523.25,0
50.37,50.4,523.25,523.25,0
50.4,50.8,523.25,523.25,0
50.8,51.2,523.25,523.25,1
51.2,51.57,830.61,830.61,1
51.57,51.6,830.61,830.61,0
51.6,52,830.61,830.61,0
52,52.4,932.33,932.33,1
52.4,52.8,932.33,932.33,1
52.8,53.17,1046.5,1046.5,1
53.17,53.2,1046.5,1046.5,0
53.2,53.57,1046.5,1046.5,0
53.57,53.6,1046.5,1046.5,0
53.6,53.97,1046.5,1046.5,0
53.97,54,1046.5,1046.5,0
54,54.4,1046.5,1046.5,0
54.4,54.77,830.61,830.61,1
54.77,54.8,830.61,830.61,0
54.8,55.2,830.61,830.61,0
55.2,55.6,932.33,932.33,1
55.6,56,932.33,932.33,1
