tstart,tend,fstart,fend,newnote
0,0.4,523.25,523.25,1
0.4,0.8,587.33,587.33,1
0.8,1.2,587.33,587.33,1
1.2,1.37,698.46,698.46,1
1.37,1.4,698.46,622.25,0
1.4,1.57,622.25,622.25,0
1.57,1.6,622.25,622.25,0
1.6,2,622.25,622.25,0
2,2.4,698.46,698.46,1
2.4,2.77,783.99,783.99,1
2.77,2.8,783.99,783.99,0
2.8,3.17,783.99,783.99,0
3.17,3.2,783.99,783.99,0
3.2,3.57,783.99,783.99,0
3.57,3.6,783.99,783.99,0
3.6,3.97,783.99,783.99,0
3.97,4,783.99,783.99,0
4,4.37,783.99,783.99,0
4.37,4.4,783.99,783.99,0
4.4,4.8,783.99,783.99,0
4.8,4.97,783.99,783.99,1
4.97,5,783.99,880,0
5,5.2,880,880,0
5.2,5.3,880,783.99,1
5.3,5.6,783.99,783.99,1
5.6,6,783.99,783.99,1
6,6.17,698.46,698.46,1
6.17,6.2,698.46,659.26,0
6.2,6.37,659.26,659.26,0
6.37,6.4,659.26,659.26,0
6.4,6.8,659.26,659.26,0
6.8,7.2,659.26,659.26,1
7.2,7.57,698.46,698.46,1
7.57,7.6,698.46,698.46,0
7.6,7.97,698.46,698.46,0
7.97,8,698.46,698.46,0
8,8.37,698.46,698.46,0
8.37,8.4,698.46,698.46,0
8.4,8.77,698.46,698.46,0
8.77,8.8,698.46,698.46,0
8.8,9.17,698.46,698.46,0
9.17,9.2,698.46,698.46,0
9.2,9.6,698.46,698.46,0
9.6,9.77,698.46,698.46,1
9.77,9.8,698.46,880,0
9.8,10,880,880,0
10,10.4,880,880,1
10.4,10.8,880,880,1
10.8,11.2,880,880,1
11.2,11.6,880,880,1
11.6,12,880,880,1
12,12.4,880,880,1
12.4,12.8,880,880,1
12.8,13.2,880,880,1
13.2,13.37,783.99,783.99,1
13.37,13.4,783.99,880,0
13.4,13.6,880,880,0
13.6,14,880,880,1
14,14.4,698.46,698.46,1
14.4,14.57,698.46,698.46,1
14.57,14.6,698.46,880,0
14.6,14.8,880,880,0
14.8,15.2,880,880,1
15.2,15.6,880,880,1
15.6,15.97,932.33,932.33,1
15.97,16,932.33,1174.66,0
16,16.4,1174.66,1174.66,0
16.4,16.5,1174.66,1046.5,1
16.5,16.8,1046.5,1046.5,1
16.8,16.9,1046.5,880,1
16.9,17.17,880,880,1
17.17,17.2,880,1046.5,0
17.2,17.6,1046.5,1046.5,0
17.6,17.77,932.33,932.33,1
17.77,17.8,932.33,880,0
17.8,18,880,880,0
18,18.17,783.99,783.99,1
18.17,18.2,783.99,880,0
18.2,18.37,880,880,0
18.37,18.4,880,783.99,0
18.4,18.8,783.99,783.99,0
18.8,19.2,783.99,783.99,1
19.2,19.37,783.99,783.99,1
19.37,19.4,783.99,880,0
19.4,19.6,880,880,0
19.6,20,783.99,783.99,1
20,20.37,698.46,698.46,1
20.37,20.4,698.46,659.26,0
20.4,20.8,659.26,659.26,0
20.8,21.2,659.26,659.26,1
21.2,21.6,698.46,698.46,1
21.6,22,659.26,659.26,1
22,22.37,698.46,698.46,1
22.37,22.4,698.46,698.46,0
22.4,22.77,698.46,698.46,0
22.77,22.8,698.46,698.46,0
22.8,23.17,698.46,698.46,0
23.17,23.2,698.46,698.46,0
23.2,23.57,698.46,698.46,0
23.57,23.6,698.46,698.46,0
23.6,24,698.46,698.46,0
24,24.17,698.46,698.46,1
24.17,24.2,698.46,783.99,0
24.2,24.4,783.99,783.99,0
24.4,24.8,698.46,698.46,1
24.8,25.2,622.25,622.25,1
25.2,25.57,587.33,587.33,1
25.57,25.6,587.33,622.25,0
25.6,26,622.25,622.25,0
26,26.4,698.46,698.46,1
26.4,26.57,698.46,698.46,1
26.57,26.6,698.46,783.99,0
26.6,26.77,783.99,783.99,0
26.77,26.8,783.99,783.99,0
26.8,27.17,783.99,783.99,0
27.17,27.2,783.99,783.99,0
27.2,27.57,783.99,783.99,0
27.57,27.6,783.99,783.99,0
27.6,27.97,783.99,783.99,0
27.97,28,783.99,783.99,0
28,28.37,783.99,783.99,0
28.37,28.4,783.99,783.99,0
28.4,28.8,783.99,783.99,0
28.8,28.97,783.99,783.99,1
28.97,29,783.99,880,0
29,29.2,880,880,0
29.2,29.6,783.99,783.99,1
29.6,30,783.99,783.99,1
30,30.37,698.46,698.46,1
30.37,30.4,698.46,659.26,0
30.4,30.8,659.26,659.26,0
30.8,31.2,659.26,659.26,1
31.2,31.57,698.46,698.46,1
31.57,31.6,698.46,698.46,0
31.6,31.97,698.46,698.46,0
31.97,32,698.46,698.46,0
32,32.37,698.46,698.46,0
32.37,32.4,698.46,698.46,0
32.4,32.77,698.46,698.46,0
32.77,32.8,698.46,698.46,0
32.8,33.17,698.46,698.46,0
33.17,33.2,698.46,698.46,0
33.2,33.6,698.46,698.46,0
