tstart,tend,fstart,fend,newnote
0,0.4,523.25,523.25,1
0.4,0.8,523.25,523.25,1
0.8,1.17,523.25,523.25,1
1.17,1.2,523.25,587.33,0
1.2,1.57,587.33,587.33,0
1.57,1.6,587.33,523.25,0
1.6,1.70333333333333,523.25,523.25,0
1.70333333333333,1.73333333333333,523.25,587.33,0
1.73333333333333,1.86666666666667,587.33,587.33,0
1.86666666666667,2,659.26,659.26,1
2,2.4,659.26,659.26,1
2.4,2.5,659.26,587.33,1
2.5,2.77,587.33,587.33,1
2.77,2.8,587.33,659.26,0
2.8,3.2,659.26,659.26,0
3.2,3.3,659.26,587.33,1
3.3,3.57,587.33,587.33,1
3.57,3.6,587.33,523.25,0
3.6,3.97,523.25,523.25,0
3.97,4,523.25,523.25,0
4,4.4,523.25,523.25,0
4.4,4.8,523.25,523.25,1
4.8,5.2,523.25,523.25,1
5.2,5.6,523.25,523.25,1
5.6,5.77,523.25,523.25,1
5.77,5.8,523.25,587.33,0
5.8,5.97,587.33,587.33,0
5.97,6,587.33,659.26,0
6,6.37,659.26,659.26,0
6.37,6.4,659.26,783.99,0
6.4,6.8,783.99,783.99,0
6.8,7.2,783.99,783.99,1
7.2,7.57,783.99,880,1
7.57,7.6,880,880,0
7.6,8,880,880,0
8,8.17,783.99,783.99,1
8.17,8.2,783.99,880,0
8.2,8.37,880,880,0
8.37,8.4,880,987.77,0
8.4,8.77,987.77,987.77,0
8.77,8.8,987.77,987.77,0
8.8,9.17,987.77,987.77,0
9.17,9.2,987.77,987.77,0
9.2,9.27,987.77,880,0
9.27,9.3,880,880,0
9.3,9.57,880,880,0
9.57,9.6,880,783.99,0
9.6,10,783.99,783.99,0
10,10.4,783.99,783.99,1
10.4,10.77,783.99,783.99,1
10.77,10.8,783.99,783.99,0
10.8,11.17,783.99,987.77,0
11.17,11.2,987.77,987.77,0
11.2,11.6,987.77,987.77,0
11.6,11.7,987.77,880,1
11.7,12,880,880,1
12,12.37,880,880,1
12.37,12.4,880,987.77,0
12.4,12.8,987.77,987.77,0
12.8,12.9,987.77,783.99,1
12.9,13.2,783.99,783.99,1
13.2,13.57,783.99,783.99,1
13.57,13.6,783.99,987.77,0
13.6,14,987.77,987.77,0
14,14.1,987.77,880,1
14.1,14.4,880,880,1
14.4,14.77,880,880,1
14.77,14.8,880,987.77,0
14.8,15.2,987.77,987.77,0
15.2,15.37,783.99,783.99,1
15.37,15.4,783.99,987.77,0
15.4,15.6,987.77,987.77,0
15.6,16,987.77,987.77,1
16,16.4,987.77,987.77,1
16.4,16.5,987.77,880,1
16.5,16.8,880,880,1
16.8,17.17,783.99,783.99,1
17.17,17.2,783.99,783.99,0
17.2,17.6,783.99,783.99,0
17.6,17.77,783.99,783.99,1
17.77,17.8,783.99,880,0
17.8,18,880,880,0
18,18.1,880,783.99,1
18.1,18.37,783.99,783.99,1
18.37,18.4,783.99,783.99,0
18.4,18.8,783.99,783.99,0
18.8,19.2,698.46,698.46,1
19.2,19.57,659.26,659.26,1
19.57,19.6,659.26,587.33,0
19.6,20,587.33,587.33,0
20,20.37,523.25,523.25,1
20.37,20.4,523.25,587.33,0
20.4,20.77,587.33,587.33,0
20.77,20.8,587.33,523.25,0
20.8,20.9033333333333,523.25,523.25,0
20.9033333333333,20.9333333333333,523.25,587.33,0
20.9333333333333,21.0666666666667,587.33,587.33,0
21.0666666666667,21.2,659.26,659.26,1
21.2,21.6,659.26,659.26,1
21.6,21.7,659.26,587.33,1
21.7,21.97,587.33,587.33,1
21.97,22,587.33,659.26,0
22,22.4,659.26,659.26,0
22.4,22.5,659.26,587.33,1
22.5,22.77,587.33,587.33,1
22.77,22.8,587.33,523.25,0
22.8,23.17,523.25,523.25,0
23.17,23.2,523.25,523.25,0
23.2,23.6,523.25,523.25,0
23.6,24,523.25,523.25,1
24,24.4,783.99,783.99,1
24.4,24.8,783.99,783.99,1
24.8,25.2,783.99,783.99,1
25.2,25.57,880,880,1
25.57,25.6,880,1046.5,0
25.6,26,1046.5,1046.5,0
26,26.4,1046.5,1046.5,1
26.4,26.8,1046.5,1046.5,1
26.8,27.2,1046.5,1046.5,1
27.2,27.37,987.77,987.77,1
27.37,27.4,987.77,1046.5,0
27.4,27.57,1046.5,1046.5,0
27.57,27.6,1046.5,1174.66,0
27.6,28,1174.66,1174.66,0
28,28.1,1174.66,1046.5,1
28.1,28.4,1046.5,1046.5,1
28.4,28.5,1046.5,987.77,1
28.5,28.8,987.77,987.77,1
28.8,29.17,880,880,1
29.17,29.2,880,987.77,0
29.2,29.6,987.77,987.77,0
29.6,29.7,987.77,880,1
29.7,30,880,880,1
30,30.4,783.99,783.99,1
30.4,30.8,783.99,783.99,1
30.8,31.2,783.99,783.99,1
31.2,31.57,783.99,783.99,1
31.57,31.6,783.99,880,0
31.6,32,880,880,0
32,32.1,880,698.46,1
32.1,32.4,698.46,698.46,1
32.4,32.77,783.99,783.99,1
32.77,32.8,783.99,783.99,0
32.8,33.2,783.99,783.99,0
33.2,33.6,880,880,1
33.6,33.97,987.77,987.77,1
33.97,34,987.77,880,0
34,34.17,880,880,0
34.17,34.2,880,783.99,0
34.2,34.4,783.99,783.99,0
34.4,34.57,783.99,783.99,1
34.57,34.6,783.99,880,0
34.6,34.8,880,880,0
34.8,34.9,880,783.99,1
34.9,35.17,783.99,783.99,1
35.17,35.2,783.99,783.99,0
35.2,35.6,783.99,783.99,0
35.6,35.7,783.99,698.46,1
35.7,36,698.46,698.46,1
36,36.37,659.26,659.26,1
36.37,36.4,659.26,587.33,0
36.4,36.77,587.33,587.33,0
36.77,36.8,587.33,587.33,0
36.8,37.17,587.33,587.33,0
37.17,37.2,587.33,587.33,0
37.2,37.6,587.33,587.33,0
37.6,38,1046.5,1046.5,1
38,38.37,1046.5,1046.5,1
38.37,38.4,1046.5,1318.51,0
38.4,38.8,1318.51,1318.51,0
38.8,38.9,1318.51,1174.66,1
38.9,39.2,1174.66,1174.66,1
39.2,39.57,1174.66,1174.66,1
39.57,39.6,1174.66,1318.51,0
39.6,39.77,1318.51,1318.51,0
39.77,39.8,1318.51,1174.66,0
39.8,40,1174.66,1174.66,0
40,40.1,1174.66,1046.5,1
40.1,40.4,1046.5,1046.5,1
40.4,40.8,1046.5,1046.5,1
40.8,41.2,1174.66,1174.66,1
41.2,41.3,1174.66,1046.5,1
41.3,41.6,1046.5,1046.5,1
41.6,41.97,1046.5,1046.5,1
41.97,42,1046.5,1174.66,0
42,42.17,1174.66,1174.66,0
42.17,42.2,1174.66,1046.5,0
42.2,42.4,1046.5,1046.5,0
42.4,42.5,1046.5,987.77,1
42.5,42.8,987.77,987.77,1
42.8,43.17,987.77,987.77,1
43.17,43.2,987.77,1046.5,0
43.2,43.6,1046.5,1046.5,0
43.6,43.7,1046.5,987.77,1
43.7,44,987.77,987.77,1
44,44.37,880,880,1
44.37,44.4,880,987.77,0
44.4,44.8,987.77,987.77,0
44.8,45.17,783.99,783.99,1
45.17,45.2,783.99,783.99,0
45.2,45.6,783.99,783.99,0
45.6,46,880,880,1
46,46.4,880,880,1
46.4,46.77,987.77,987.77,1
46.77,46.8,987.77,987.77,0
46.8,47.17,987.77,987.77,0
47.17,47.2,987.77,987.77,0
47.2,47.57,987.77,987.77,0
47.57,47.6,987.77,987.77,0
47.6,47.97,987.77,987.77,0
47.97,48,987.77,987.77,0
48,48.37,987.77,987.77,0
48.37,48.4,987.77,987.77,0
48.4,48.77,987.77,987.77,0
48.77,48.8,987.77,987.77,0
48.8,48.97,987.77,987.77,0
48.97,49,987.77,1046.5,0
49,49.17,1046.5,1046.5,0
49.17,49.2,1046.5,1046.5,0
49.2,49.27,1046.5,987.77,0
49.27,49.3,987.77,987.77,0
49.3,49.6,987.77,987.77,0
49.6,49.77,880,880,1
49.77,49.8,880,783.99,0
49.8,49.97,783.99,783.99,0
49.97,50,783.99,783.99,0
50,50.37,783.99,783.99,0
50.37,50.4,783.99,783.99,0
50.4,50.77,783.99,783.99,0
50.77,50.8,783.99,783.99,0
50.8,51.17,783.99,783.99,0
51.17,51.2,783.99,783.99,0
51.2,51.57,783.99,783.99,0
51.57,51.6,783.99,783.99,0
51.6,52,783.99,783.99,0
52,52.4,783.99,783.99,1
52.4,52.8,783.99,783.99,1
52.8,53.2,783.99,783.99,1
53.2,53.6,880,880,1
53.6,54,880,880,1
54,54.17,880,880,1
54.17,54.2,880,1046.5,0
54.2,54.4,1046.5,1046.5,0
54.4,54.5,1046.5,987.77,1
54.5,54.77,987.77,987.77,1
54.77,54.8,987.77,1046.5,0
54.8,54.97,1046.5,1046.5,0
54.97,55,1046.5,987.77,0
55,55.2,987.77,987.77,0
55.2,55.3,987.77,880,1
